,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,scaffold,0,0,100,0.01,1,9,0.4496,0.45412,0.1831,0.18722,1.51414697265625,1.509176787109375,2.27259501953125,2.27279470703125
1,CIFAR10,scaffold,0,0,100,0.01,1,19,0.5486,0.55158,0.3601,0.3584,1.27953828125,1.2626204736328126,2.189608984375,2.190358916015625
2,CIFAR10,scaffold,0,0,100,0.01,1,29,0.597,0.60684,0.4022,0.39994,1.1730201171875,1.130981220703125,2.1209005859375,2.121446064453125
3,CIFAR10,scaffold,0,0,100,0.01,1,39,0.6168,0.63632,0.4598,0.4632,1.093873193359375,1.040225029296875,1.99286201171875,1.9920409375
4,CIFAR10,scaffold,0,0,100,0.01,1,49,0.6359,0.65768,0.5298,0.53824,1.0420978515625,0.9774609326171875,1.800005615234375,1.794228896484375
5,CIFAR10,scaffold,0,0,100,0.01,1,59,0.6782,0.70838,0.5815,0.59942,0.9382483154296875,0.8479965356445313,1.586815673828125,1.57265369140625
6,CIFAR10,scaffold,0,0,100,0.01,1,69,0.6553,0.67516,0.6248,0.64228,1.073762109375,0.9856014306640625,1.426405029296875,1.40379228515625
7,CIFAR10,scaffold,0,0,100,0.01,1,79,0.669,0.6916,0.6442,0.66186,1.0056697998046875,0.9131303393554687,1.335775048828125,1.3070234619140626
8,CIFAR10,scaffold,0,0,100,0.01,1,89,0.6377,0.6686,0.6616,0.67936,1.143539501953125,1.0258951611328124,1.254340087890625,1.219950419921875
9,CIFAR10,scaffold,0,0,100,0.01,1,99,0.6955,0.72356,0.6796,0.70144,0.896224755859375,0.8032184033203125,1.163548876953125,1.1226758203125
10,CIFAR10,scaffold,0,0,100,0.01,1,109,0.6101,0.63224,0.6925,0.72112,1.233909765625,1.1370665087890626,1.0738283203125,1.025445439453125
11,CIFAR10,scaffold,0,0,100,0.01,1,119,0.7218,0.75452,0.7092,0.7381,0.830832373046875,0.7073183569335938,0.999661376953125,0.9435741259765625
12,CIFAR10,scaffold,0,0,100,0.01,1,129,0.7113,0.74682,0.7202,0.75408,0.86219619140625,0.743374287109375,0.9237172607421875,0.8588062377929687
