,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,scaffold,0,0,100,0.01,2,9,0.1297,0.12898,0.0975,0.09604,2.29719697265625,2.29732330078125,2.3030427734375,2.3029989453125
1,CIFAR10,scaffold,0,0,100,0.01,2,19,0.15,0.15118,0.108,0.10654,2.29205126953125,2.292442041015625,2.301666015625,2.3016526953125
2,CIFAR10,scaffold,0,0,100,0.01,2,29,0.1634,0.16336,0.1213,0.12028,2.2874056640625,2.288088671875,2.29966025390625,2.299698759765625
3,CIFAR10,scaffold,0,0,100,0.01,2,39,0.1727,0.1762,0.1382,0.13608,2.28311103515625,2.2840469140625,2.2976939453125,2.297825654296875
4,CIFAR10,scaffold,0,0,100,0.01,2,49,0.1794,0.18224,0.1476,0.147,2.27879267578125,2.280038046875,2.29568623046875,2.295916611328125
5,CIFAR10,scaffold,0,0,100,0.01,2,59,0.1884,0.18866,0.159,0.15754,2.27467333984375,2.2761691015625,2.29244736328125,2.292791865234375
6,CIFAR10,scaffold,0,0,100,0.01,2,69,0.1893,0.1899,0.166,0.16674,2.2713935546875,2.27307814453125,2.28869501953125,2.2892401171875
7,CIFAR10,scaffold,0,0,100,0.01,2,79,0.1923,0.19236,0.1711,0.17378,2.26828515625,2.27014802734375,2.28514326171875,2.28591919921875
8,CIFAR10,scaffold,0,0,100,0.01,2,89,0.1912,0.19288,0.1761,0.17882,2.265432421875,2.267461630859375,2.2826041015625,2.2835423828125
9,CIFAR10,scaffold,0,0,100,0.01,2,99,0.1916,0.19294,0.1821,0.18414,2.26376025390625,2.265876796875,2.27981953125,2.2809391796875
10,CIFAR10,scaffold,0,0,100,0.01,2,109,0.1917,0.19296,0.185,0.1867,2.261715625,2.263971015625,2.27759970703125,2.278863955078125
11,CIFAR10,scaffold,0,0,100,0.01,2,119,0.1925,0.19282,0.1875,0.18966,2.2596796875,2.2619994140625,2.27492080078125,2.276359072265625
12,CIFAR10,scaffold,0,0,100,0.01,2,129,0.1922,0.19302,0.1906,0.19066,2.2581908203125,2.26060482421875,2.27222314453125,2.2738205078125
13,CIFAR10,scaffold,0,0,100,0.01,2,139,0.1939,0.19404,0.19,0.19194,2.2564037109375,2.258947919921875,2.2703806640625,2.272089736328125
14,CIFAR10,scaffold,0,0,100,0.01,2,149,0.1936,0.19376,0.1908,0.193,2.255028125,2.257680224609375,2.26846669921875,2.27028724609375
15,CIFAR10,scaffold,0,0,100,0.01,2,159,0.194,0.1942,0.1918,0.19364,2.25398330078125,2.25671017578125,2.2663724609375,2.26832181640625
16,CIFAR10,scaffold,0,0,100,0.01,2,169,0.1951,0.1949,0.1934,0.19398,2.25274248046875,2.255571923828125,2.26290107421875,2.265065595703125
17,CIFAR10,scaffold,0,0,100,0.01,2,179,0.1962,0.19532,0.1931,0.19404,2.2517318359375,2.2546295703125,2.26189296875,2.264115595703125
18,CIFAR10,scaffold,0,0,100,0.01,2,189,0.1949,0.19528,0.1938,0.19448,2.2511234375,2.254023701171875,2.259723046875,2.2620668359375
19,CIFAR10,scaffold,0,0,100,0.01,2,199,0.1951,0.19562,0.1947,0.19464,2.25037998046875,2.253333515625,2.2577751953125,2.26023326171875
20,CIFAR10,scaffold,0,0,100,0.01,2,209,0.1957,0.1961,0.1948,0.19492,2.24950595703125,2.252518310546875,2.25675576171875,2.2592722265625
21,CIFAR10,scaffold,0,0,100,0.01,2,219,0.196,0.1965,0.1953,0.19542,2.24881181640625,2.251864560546875,2.2557640625,2.25834169921875
22,CIFAR10,scaffold,0,0,100,0.01,2,229,0.1966,0.19722,0.1956,0.19584,2.2482064453125,2.251285537109375,2.25469931640625,2.25734478515625
23,CIFAR10,scaffold,0,0,100,0.01,2,239,0.1963,0.1971,0.1958,0.19606,2.24725205078125,2.250429638671875,2.25441806640625,2.25708150390625
24,CIFAR10,scaffold,0,0,100,0.01,2,249,0.1966,0.19732,0.1953,0.19618,2.24646318359375,2.249664423828125,2.25270576171875,2.2554891796875
25,CIFAR10,scaffold,0,0,100,0.01,2,259,0.1977,0.19778,0.1962,0.19602,2.24590390625,2.24916494140625,2.25155078125,2.25441791015625
26,CIFAR10,scaffold,0,0,100,0.01,2,269,0.197,0.1976,0.1967,0.19634,2.24528623046875,2.24862958984375,2.25074150390625,2.2536652734375
27,CIFAR10,scaffold,0,0,100,0.01,2,279,0.1969,0.19798,0.1971,0.19666,2.24464462890625,2.248018740234375,2.2503150390625,2.253270029296875
28,CIFAR10,scaffold,0,0,100,0.01,2,289,0.1972,0.19814,0.1967,0.19684,2.24432265625,2.247706640625,2.24947138671875,2.25248380859375
29,CIFAR10,scaffold,0,0,100,0.01,2,299,0.1981,0.19842,0.197,0.19732,2.2438640625,2.247270966796875,2.24880634765625,2.251864892578125
30,CIFAR10,scaffold,0,0,100,0.01,2,309,0.1976,0.1987,0.1975,0.19762,2.2434890625,2.246930283203125,2.24813125,2.251235556640625
31,CIFAR10,scaffold,0,0,100,0.01,2,319,0.1985,0.19848,0.1972,0.19768,2.243195703125,2.246667001953125,2.24719375,2.250366953125
32,CIFAR10,scaffold,0,0,100,0.01,2,329,0.1976,0.19888,0.1975,0.1979,2.24279921875,2.246335439453125,2.24684638671875,2.25004880859375
33,CIFAR10,scaffold,0,0,100,0.01,2,339,0.1984,0.19924,0.1973,0.19802,2.2425494140625,2.24606671875,2.24633896484375,2.249577802734375
34,CIFAR10,scaffold,0,0,100,0.01,2,349,0.1991,0.19974,0.1973,0.1981,2.24209306640625,2.2456466796875,2.2461138671875,2.249370234375
35,CIFAR10,scaffold,0,0,100,0.01,2,359,0.1992,0.19952,0.1972,0.19814,2.24173701171875,2.245314794921875,2.2456595703125,2.248948779296875
36,CIFAR10,scaffold,0,0,100,0.01,2,369,0.1998,0.19976,0.1971,0.19836,2.24157470703125,2.245177412109375,2.244984765625,2.248326357421875
37,CIFAR10,scaffold,0,0,100,0.01,2,379,0.2006,0.19944,0.1974,0.19872,2.2412154296875,2.2448343359375,2.24471298828125,2.24807833984375
38,CIFAR10,scaffold,0,0,100,0.01,2,389,0.2003,0.20004,0.1977,0.19894,2.24091494140625,2.24454078125,2.24440126953125,2.247789990234375
39,CIFAR10,scaffold,0,0,100,0.01,2,399,0.2001,0.2001,0.1983,0.19888,2.24060400390625,2.244263974609375,2.2440083984375,2.2474215625
40,CIFAR10,scaffold,0,0,100,0.01,2,409,0.2015,0.20062,0.1988,0.19904,2.24038564453125,2.244043876953125,2.24357666015625,2.24701974609375
41,CIFAR10,scaffold,0,0,100,0.01,2,419,0.2015,0.20052,0.1991,0.19914,2.24008525390625,2.243796357421875,2.24336513671875,2.24682375
42,CIFAR10,scaffold,0,0,100,0.01,2,429,0.2009,0.20022,0.1994,0.19938,2.2398220703125,2.2435616015625,2.243144921875,2.2466226171875
43,CIFAR10,scaffold,0,0,100,0.01,2,439,0.2021,0.20088,0.1998,0.19958,2.2396486328125,2.243387421875,2.24272890625,2.24623998046875
44,CIFAR10,scaffold,0,0,100,0.01,2,449,0.2019,0.20092,0.2002,0.19942,2.2394681640625,2.243242763671875,2.24215576171875,2.245710830078125
45,CIFAR10,scaffold,0,0,100,0.01,2,459,0.2026,0.20114,0.2001,0.19944,2.23928017578125,2.243044482421875,2.24199462890625,2.245562587890625
46,CIFAR10,scaffold,0,0,100,0.01,2,469,0.2023,0.20064,0.2004,0.19958,2.2391927734375,2.24293150390625,2.2416005859375,2.245194306640625
47,CIFAR10,scaffold,0,0,100,0.01,2,479,0.2025,0.20112,0.2008,0.19992,2.23908740234375,2.2428534765625,2.241297265625,2.244908798828125
48,CIFAR10,scaffold,0,0,100,0.01,2,489,0.2021,0.20086,0.2009,0.19994,2.23888564453125,2.24264888671875,2.24118466796875,2.244802080078125
