,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,scaffold,0,0,100,0.01,2,9,0.1031,0.10202,0.1001,0.10006,2.29696162109375,2.29718482421875,2.3038794921875,2.303986044921875
1,CIFAR10,scaffold,0,0,100,0.01,2,19,0.1077,0.10688,0.0998,0.09984,2.29236708984375,2.29266392578125,2.3021759765625,2.3022709765625
2,CIFAR10,scaffold,0,0,100,0.01,2,29,0.1206,0.11976,0.1004,0.10016,2.28787138671875,2.288298271484375,2.29978876953125,2.29993048828125
3,CIFAR10,scaffold,0,0,100,0.01,2,39,0.1296,0.13004,0.1013,0.10168,2.283662109375,2.28415875,2.29772783203125,2.29792748046875
4,CIFAR10,scaffold,0,0,100,0.01,2,49,0.144,0.14218,0.1041,0.10378,2.27998662109375,2.280529384765625,2.29581953125,2.296060048828125
5,CIFAR10,scaffold,0,0,100,0.01,2,59,0.1544,0.1516,0.1094,0.10874,2.27591767578125,2.276511083984375,2.29281533203125,2.29310962890625
6,CIFAR10,scaffold,0,0,100,0.01,2,69,0.1643,0.1597,0.1174,0.1169,2.27246748046875,2.273184775390625,2.28928798828125,2.28966388671875
7,CIFAR10,scaffold,0,0,100,0.01,2,79,0.1712,0.16726,0.1275,0.12544,2.26955126953125,2.2703176171875,2.2859619140625,2.286400322265625
8,CIFAR10,scaffold,0,0,100,0.01,2,89,0.1758,0.17202,0.1358,0.13212,2.2665134765625,2.2674034375,2.283532421875,2.28401705078125
9,CIFAR10,scaffold,0,0,100,0.01,2,99,0.1808,0.17674,0.1418,0.1397,2.2647009765625,2.265681025390625,2.28084345703125,2.281394990234375
10,CIFAR10,scaffold,0,0,100,0.01,2,109,0.1852,0.18166,0.1476,0.14586,2.2625458984375,2.2635750390625,2.2786587890625,2.2792706640625
11,CIFAR10,scaffold,0,0,100,0.01,2,119,0.19,0.18462,0.1545,0.15334,2.260446875,2.261527861328125,2.27599580078125,2.276683203125
