,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,scaffold,0,0.3,100,0.01,1,9,0.3212,0.319,0.1679,0.16766,1.948666357421875,1.95522099609375,2.28710419921875,2.287159228515625
1,CIFAR10,scaffold,0,0.3,100,0.01,1,19,0.4048,0.4034,0.266,0.25996,1.69378388671875,1.6991647900390625,2.2283984375,2.228754521484375
2,CIFAR10,scaffold,0,0.3,100,0.01,1,29,0.4218,0.42664,0.3891,0.3873,1.624974560546875,1.6030210107421874,2.17249013671875,2.1728769140625
3,CIFAR10,scaffold,0,0.3,100,0.01,1,39,0.4649,0.46952,0.4345,0.4363,1.508055419921875,1.4893321875,2.07181005859375,2.071890771484375
4,CIFAR10,scaffold,0,0.3,100,0.01,1,49,0.5123,0.51596,0.5048,0.50602,1.41002705078125,1.38961833984375,1.893819287109375,1.8925299560546875
5,CIFAR10,scaffold,0,0.3,100,0.01,1,59,0.5793,0.5947,0.5235,0.53024,1.190423583984375,1.1510148876953126,1.715413671875,1.711130087890625
6,CIFAR10,scaffold,0,0.3,100,0.01,1,69,0.4636,0.46414,0.5505,0.55854,1.91778837890625,1.8872132421875,1.579778271484375,1.57082916015625
7,CIFAR10,scaffold,0,0.3,100,0.01,1,79,0.4913,0.50816,0.563,0.57238,1.402942822265625,1.3533687158203125,1.502907763671875,1.49030357421875
8,CIFAR10,scaffold,0,0.3,100,0.01,1,89,0.4136,0.42214,0.5735,0.58178,2.73801123046875,2.694338984375,1.432440966796875,1.4160147705078125
9,CIFAR10,scaffold,0,0.3,100,0.01,1,99,0.5516,0.56922,0.5873,0.59902,1.39760517578125,1.3195509375,1.35780546875,1.33555884765625
10,CIFAR10,scaffold,0,0.3,100,0.01,1,109,0.522,0.5296,0.6115,0.6237,1.620908984375,1.5603394873046874,1.266751953125,1.2382172509765625
11,CIFAR10,scaffold,0,0.3,100,0.01,1,119,0.6557,0.67966,0.6337,0.6495,0.9829273681640625,0.9107684521484375,1.181215771484375,1.1463899609375
12,CIFAR10,scaffold,0,0.3,100,0.01,1,129,0.5701,0.58618,0.6497,0.6704,1.32875947265625,1.2551438427734376,1.1054544921875,1.063047724609375
13,CIFAR10,scaffold,0,0.3,100,0.01,1,139,0.5609,0.58028,0.6692,0.6957,1.4220416015625,1.3313574462890625,1.030184423828125,0.9795871655273437
14,CIFAR10,scaffold,0,0.3,100,0.01,1,149,0.5872,0.61206,0.6841,0.71156,1.231690380859375,1.13964169921875,0.9957253173828124,0.9402821875
15,CIFAR10,scaffold,0,0.3,100,0.01,1,159,0.5506,0.57014,0.6866,0.71402,1.43772177734375,1.3373591552734374,0.99117109375,0.9322506567382812
16,CIFAR10,scaffold,0,0.3,100,0.01,1,169,0.6424,0.67174,0.6931,0.723,1.050802099609375,0.9651675219726562,0.9631480712890625,0.9003594140625
17,CIFAR10,scaffold,0,0.3,100,0.01,1,179,0.5284,0.53836,0.7007,0.73028,1.62766611328125,1.5528478369140626,0.92359423828125,0.8565668408203125
18,CIFAR10,scaffold,0,0.3,100,0.01,1,189,0.7068,0.73492,0.7071,0.74124,0.8706301025390625,0.761604765625,0.9074080810546875,0.8377111328125
19,CIFAR10,scaffold,0,0.3,100,0.01,1,199,0.6591,0.68616,0.7179,0.7516,1.0175790283203126,0.903612783203125,0.88467431640625,0.8111727954101563
20,CIFAR10,scaffold,0,0.3,100,0.01,1,209,0.6274,0.65464,0.7226,0.75748,1.158143798828125,1.0259803735351563,0.8422595947265625,0.7603162915039062
21,CIFAR10,scaffold,0,0.3,100,0.01,1,219,0.6349,0.6529,0.7289,0.76292,1.189445947265625,1.0683160888671874,0.8065621826171875,0.71658005859375
22,CIFAR10,scaffold,0,0.3,100,0.01,1,229,0.4922,0.51502,0.7268,0.75884,1.78306826171875,1.6656879296875,0.8049885498046875,0.71229275390625
23,CIFAR10,scaffold,0,0.3,100,0.01,1,239,0.6297,0.64746,0.723,0.75642,1.24614423828125,1.13856185546875,0.80995791015625,0.7157645629882813
24,CIFAR10,scaffold,0,0.3,100,0.01,1,249,0.6256,0.6478,0.7232,0.75618,1.2126689453125,1.0998427880859376,0.8104410400390625,0.7155757177734375
25,CIFAR10,scaffold,0,0.3,100,0.01,1,259,0.6335,0.66284,0.7342,0.76718,1.129644384765625,1.025014638671875,0.7835310546875,0.6847312329101563
26,CIFAR10,scaffold,0,0.3,100,0.01,1,269,0.6768,0.7065,0.7357,0.769,0.93814580078125,0.8524166333007812,0.78359052734375,0.685530146484375
27,CIFAR10,scaffold,0,0.3,100,0.01,1,279,0.6506,0.66538,0.733,0.7677,1.130529052734375,1.032286240234375,0.7868354736328125,0.6904785498046875
28,CIFAR10,scaffold,0,0.3,100,0.01,1,289,0.6408,0.66726,0.738,0.77068,1.12621611328125,1.0159877197265625,0.7770137939453124,0.6817430932617188
29,CIFAR10,scaffold,0,0.3,100,0.01,1,299,0.5407,0.55728,0.7416,0.77342,1.7594955078125,1.6503208837890626,0.76925546875,0.674764150390625
30,CIFAR10,scaffold,0,0.3,100,0.01,1,309,0.5778,0.59658,0.7392,0.77194,1.487392138671875,1.4016398046875,0.7734773193359376,0.68087025390625
31,CIFAR10,scaffold,0,0.3,100,0.01,1,319,0.6858,0.7162,0.7395,0.7733,0.9249234375,0.8181790893554688,0.7657685302734375,0.6741862646484374
32,CIFAR10,scaffold,0,0.3,100,0.01,1,329,0.5654,0.58732,0.7433,0.77546,1.410649560546875,1.3028416455078125,0.7574364501953125,0.6654462866210937
33,CIFAR10,scaffold,0,0.3,100,0.01,1,339,0.5893,0.60752,0.7384,0.77298,1.423801708984375,1.3191721044921876,0.7644614501953125,0.6697447924804687
34,CIFAR10,scaffold,0,0.3,100,0.01,1,349,0.6434,0.6746,0.7384,0.7723,1.131337646484375,0.9941840380859375,0.76413076171875,0.6652186499023437
35,CIFAR10,scaffold,0,0.3,100,0.01,1,359,0.5395,0.5614,0.7442,0.7769,1.575135791015625,1.4655953173828125,0.7567619140625,0.657586513671875
36,CIFAR10,scaffold,0,0.3,100,0.01,1,369,0.6878,0.71366,0.7532,0.78754,0.926912548828125,0.8236174951171875,0.7359422119140625,0.6346873486328125
37,CIFAR10,scaffold,0,0.3,100,0.01,1,379,0.6413,0.66824,0.7565,0.79138,1.18260517578125,1.057542802734375,0.7256891357421875,0.6251037841796875
38,CIFAR10,scaffold,0,0.3,100,0.01,1,389,0.7153,0.74264,0.7582,0.78868,0.854580712890625,0.750367861328125,0.7310109619140625,0.6321802563476563
39,CIFAR10,scaffold,0,0.3,100,0.01,1,399,0.6166,0.64668,0.757,0.78914,1.230715478515625,1.1034070166015626,0.7316488525390625,0.6320836547851563
40,CIFAR10,scaffold,0,0.3,100,0.01,1,409,0.7195,0.74684,0.7595,0.7894,0.8419194580078125,0.7384823706054687,0.727628857421875,0.6279761962890625
41,CIFAR10,scaffold,0,0.3,100,0.01,1,419,0.6245,0.65274,0.7582,0.7876,1.1546998046875,1.038289208984375,0.7279446533203126,0.6273398876953125
42,CIFAR10,scaffold,0,0.3,100,0.01,1,429,0.5796,0.59018,0.7577,0.78622,1.425342578125,1.3651549951171875,0.7281426025390625,0.6284554541015624
43,CIFAR10,scaffold,0,0.3,100,0.01,1,439,0.5355,0.55256,0.7535,0.78276,1.83146689453125,1.7391971826171875,0.7374976806640625,0.6388729760742188
44,CIFAR10,scaffold,0,0.3,100,0.01,1,449,0.5497,0.56714,0.7471,0.7768,1.67625673828125,1.5571419775390625,0.7549506103515625,0.6581361450195312
45,CIFAR10,scaffold,0,0.3,100,0.01,1,459,0.5284,0.55166,0.7503,0.78048,1.79305107421875,1.6703456494140625,0.746246142578125,0.6492138232421875
46,CIFAR10,scaffold,0,0.3,100,0.01,1,469,0.5451,0.56474,0.7462,0.77994,1.738535986328125,1.6052243505859376,0.7514921875,0.6531046704101563
47,CIFAR10,scaffold,0,0.3,100,0.01,1,479,0.6586,0.68088,0.7553,0.78826,1.029941650390625,0.9197133544921875,0.73451728515625,0.6332156762695312
48,CIFAR10,scaffold,0,0.3,100,0.01,1,489,0.7176,0.73562,0.7561,0.7895,0.8936073486328125,0.7936184936523437,0.7342104736328126,0.6315622436523437
49,CIFAR10,scaffold,0,0.3,100,0.01,1,499,0.6691,0.69576,0.7631,0.79472,1.020196484375,0.901215234375,0.717236572265625,0.6144123315429687
50,CIFAR10,scaffold,0,0.3,100,0.01,1,509,0.7146,0.74836,0.7666,0.8024,0.8597779541015625,0.7453141235351562,0.6999082763671876,0.597219384765625
51,CIFAR10,scaffold,0,0.3,100,0.01,1,519,0.6668,0.70424,0.7675,0.80608,1.03921220703125,0.906493076171875,0.6935871826171875,0.5887788452148438
52,CIFAR10,scaffold,0,0.3,100,0.01,1,529,0.6947,0.72132,0.7706,0.81008,0.9255319091796875,0.812102509765625,0.6861124267578125,0.5801456127929687
53,CIFAR10,scaffold,0,0.3,100,0.01,1,539,0.6932,0.72322,0.7718,0.81194,0.9321850341796875,0.8111712329101562,0.678589990234375,0.5711791674804687
54,CIFAR10,scaffold,0,0.3,100,0.01,1,549,0.6272,0.65902,0.7753,0.81526,1.186247607421875,1.056041259765625,0.6708375,0.5622751733398438
55,CIFAR10,scaffold,0,0.3,100,0.01,1,559,0.6234,0.65346,0.7776,0.8149,1.167967431640625,1.072202470703125,0.6724635009765625,0.5634363330078125
56,CIFAR10,scaffold,0,0.3,100,0.01,1,569,0.6115,0.635,0.7744,0.80768,1.261649267578125,1.154343994140625,0.68689775390625,0.5786602783203125
57,CIFAR10,scaffold,0,0.3,100,0.01,1,579,0.6771,0.70062,0.7747,0.80386,1.008431201171875,0.9171102880859375,0.693537744140625,0.5864515600585938
58,CIFAR10,scaffold,0,0.3,100,0.01,1,589,0.6288,0.66246,0.7697,0.79896,1.173019677734375,1.04746984375,0.7056928955078124,0.596826357421875
59,CIFAR10,scaffold,0,0.3,100,0.01,1,599,0.6439,0.67092,0.764,0.7914,1.187515625,1.0637212646484375,0.7259595458984375,0.6146608251953125
60,CIFAR10,scaffold,0,0.3,100,0.01,1,609,0.579,0.60098,0.768,0.79662,1.52907138671875,1.38287123046875,0.7169712890625,0.6048865966796875
61,CIFAR10,scaffold,0,0.3,100,0.01,1,619,0.5904,0.61132,0.768,0.80126,1.33429541015625,1.230389423828125,0.7107670654296875,0.5970730932617188
62,CIFAR10,scaffold,0,0.3,100,0.01,1,629,0.7155,0.74714,0.7662,0.80208,0.8669366943359375,0.7341174389648437,0.7098499755859375,0.5929281689453125
63,CIFAR10,scaffold,0,0.3,100,0.01,1,639,0.7093,0.74022,0.7695,0.8063,0.92705439453125,0.7895678247070312,0.6995380126953125,0.57862154296875
64,CIFAR10,scaffold,0,0.3,100,0.01,1,649,0.6385,0.66418,0.7695,0.80798,1.25025302734375,1.1307842651367188,0.69758232421875,0.574562265625
65,CIFAR10,scaffold,0,0.3,100,0.01,1,659,0.6748,0.69276,0.7711,0.81076,1.086738818359375,0.99447876953125,0.6925697265625,0.5703186254882813
66,CIFAR10,scaffold,0,0.3,100,0.01,1,669,0.7087,0.73632,0.7754,0.81318,0.93165244140625,0.81298478515625,0.6841940185546875,0.5623578979492188
67,CIFAR10,scaffold,0,0.3,100,0.01,1,679,0.6485,0.67594,0.7754,0.8131,1.1115763671875,1.0104789404296874,0.6800462158203125,0.5598442602539062
68,CIFAR10,scaffold,0,0.3,100,0.01,1,689,0.712,0.74138,0.7809,0.8165,0.8818683349609375,0.7543503515625,0.66912880859375,0.5499131494140626
69,CIFAR10,scaffold,0,0.3,100,0.01,1,699,0.6833,0.70954,0.7837,0.8191,0.97802685546875,0.8649109765625,0.6596933349609375,0.5402253735351562
70,CIFAR10,scaffold,0,0.3,100,0.01,1,709,0.744,0.77404,0.7859,0.8221,0.767888037109375,0.6598964379882812,0.6454662841796875,0.5267075732421875
71,CIFAR10,scaffold,0,0.3,100,0.01,1,719,0.7162,0.74854,0.7837,0.82254,0.8293298828125,0.71711689453125,0.643822900390625,0.52584279296875
72,CIFAR10,scaffold,0,0.3,100,0.01,1,729,0.6793,0.6994,0.7827,0.82218,1.0229806640625,0.9099831958007812,0.6452301513671875,0.5280654443359375
73,CIFAR10,scaffold,0,0.3,100,0.01,1,739,0.6365,0.6581,0.7778,0.81472,1.1474900390625,1.0376792578125,0.662580908203125,0.5452877490234375
74,CIFAR10,scaffold,0,0.3,100,0.01,1,749,0.5973,0.62132,0.7779,0.81648,1.3160201171875,1.220006474609375,0.6594148193359375,0.5436092236328125
75,CIFAR10,scaffold,0,0.3,100,0.01,1,759,0.7319,0.75698,0.7774,0.8118,0.8123772705078125,0.7000186328125,0.668553515625,0.5533390063476562
76,CIFAR10,scaffold,0,0.3,100,0.01,1,769,0.6234,0.65214,0.7755,0.81116,1.139331982421875,1.0312648095703125,0.6740170166015625,0.5580360375976563
77,CIFAR10,scaffold,0,0.3,100,0.01,1,779,0.5295,0.54386,0.7708,0.80814,1.765284130859375,1.64396548828125,0.680684521484375,0.5632500024414062
78,CIFAR10,scaffold,0,0.3,100,0.01,1,789,0.6095,0.63892,0.7723,0.80906,1.3249685546875,1.2129701025390625,0.677245361328125,0.55969435546875
79,CIFAR10,scaffold,0,0.3,100,0.01,1,799,0.67,0.69594,0.7696,0.80504,1.0572845703125,0.9386459106445313,0.6849246826171875,0.566923701171875
80,CIFAR10,scaffold,0,0.3,100,0.01,1,809,0.6969,0.72546,0.771,0.80876,0.9274565185546875,0.8209076953125,0.6762348388671875,0.560485595703125
81,CIFAR10,scaffold,0,0.3,100,0.01,1,819,0.7362,0.75942,0.7692,0.80624,0.814579248046875,0.7078046313476563,0.6783512451171875,0.5661836181640625
82,CIFAR10,scaffold,0,0.3,100,0.01,1,829,0.7278,0.75734,0.7707,0.8056,0.825217236328125,0.7131007153320312,0.6773575927734375,0.5688875805664062
83,CIFAR10,scaffold,0,0.3,100,0.01,1,839,0.6327,0.66038,0.7759,0.80804,1.114726416015625,1.0017558862304687,0.6706561279296875,0.5622125830078125
84,CIFAR10,scaffold,0,0.3,100,0.01,1,849,0.6882,0.7267,0.7719,0.80674,0.9322909912109375,0.8020677124023438,0.67808935546875,0.5689653149414062
85,CIFAR10,scaffold,0,0.3,100,0.01,1,859,0.7104,0.73504,0.7724,0.8072,0.9055523681640625,0.7811623950195312,0.6792612548828125,0.5684758984375
86,CIFAR10,scaffold,0,0.3,100,0.01,1,869,0.7395,0.76466,0.7713,0.81002,0.7813301025390625,0.6755768041992187,0.6739912109375,0.5610648950195313
87,CIFAR10,scaffold,0,0.3,100,0.01,1,879,0.6535,0.68758,0.7757,0.81302,1.0191888916015626,0.89321490234375,0.6628591796875,0.5473558618164063
88,CIFAR10,scaffold,0,0.3,100,0.01,1,889,0.536,0.54624,0.7783,0.81508,1.796838232421875,1.6924286279296874,0.6608565185546875,0.5439613720703125
89,CIFAR10,scaffold,0,0.3,100,0.01,1,899,0.7043,0.73578,0.7756,0.81282,0.9047462890625,0.7707632153320313,0.666410888671875,0.5481932055664063
90,CIFAR10,scaffold,0,0.3,100,0.01,1,909,0.6482,0.6741,0.7772,0.81316,1.11364111328125,1.0013838403320312,0.666783203125,0.5468146606445312
91,CIFAR10,scaffold,0,0.3,100,0.01,1,919,0.7515,0.7813,0.7754,0.81134,0.755545849609375,0.6443299487304688,0.673213916015625,0.5539699389648437
92,CIFAR10,scaffold,0,0.3,100,0.01,1,929,0.5826,0.6099,0.776,0.81338,1.391771240234375,1.26514701171875,0.6711167724609375,0.5519938696289063
93,CIFAR10,scaffold,0,0.3,100,0.01,1,939,0.6658,0.68974,0.7744,0.80978,1.05693642578125,0.940788544921875,0.67820732421875,0.5610565502929687
94,CIFAR10,scaffold,0,0.3,100,0.01,1,949,0.5574,0.57834,0.7747,0.81116,1.51179248046875,1.3993032275390624,0.6732366943359375,0.558257470703125
95,CIFAR10,scaffold,0,0.3,100,0.01,1,959,0.6352,0.66194,0.7731,0.80768,1.1497224609375,1.045075078125,0.6824658447265625,0.5686869555664062
96,CIFAR10,scaffold,0,0.3,100,0.01,1,969,0.7179,0.74996,0.7758,0.80632,0.8485774169921875,0.7390794311523438,0.6865044189453124,0.5728319921875
97,CIFAR10,scaffold,0,0.3,100,0.01,1,979,0.7379,0.76978,0.7729,0.80442,0.7889695556640625,0.674920390625,0.692369482421875,0.5786262524414062
98,CIFAR10,scaffold,0,0.3,100,0.01,1,989,0.6472,0.6669,0.7699,0.80298,1.1542076171875,1.055260029296875,0.69699150390625,0.5822503759765625
99,CIFAR10,scaffold,0,0.3,100,0.01,1,999,0.7308,0.76204,0.7752,0.80852,0.815855908203125,0.7001870166015625,0.6793377197265625,0.5654059252929687
