,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,scaffold,0,0.3,100,0.01,1,9,0.3422,0.3383,0.1,0.1,1.90007734375,1.89916341796875,2.28991962890625,2.289912041015625
1,CIFAR10,scaffold,0,0.3,100,0.01,1,19,0.3799,0.38356,0.282,0.27826,1.79523720703125,1.787885234375,2.232632421875,2.233016181640625
2,CIFAR10,scaffold,0,0.3,100,0.01,1,29,0.446,0.45388,0.3523,0.34182,1.500212158203125,1.4794933447265626,2.170901171875,2.171666259765625
3,CIFAR10,scaffold,0,0.3,100,0.01,1,39,0.5047,0.51876,0.4231,0.41398,1.345218017578125,1.316020078125,2.05777490234375,2.0584162890625
4,CIFAR10,scaffold,0,0.3,100,0.01,1,49,0.5467,0.5574,0.5111,0.50536,1.26621064453125,1.23419875,1.88299765625,1.881590810546875
5,CIFAR10,scaffold,0,0.3,100,0.01,1,59,0.5629,0.57158,0.5374,0.53854,1.225742822265625,1.1865162353515626,1.703852734375,1.6985621875
6,CIFAR10,scaffold,0,0.3,100,0.01,1,69,0.4016,0.40656,0.5623,0.56946,2.388078125,2.33059181640625,1.56636376953125,1.555639140625
7,CIFAR10,scaffold,0,0.3,100,0.01,1,79,0.5235,0.54878,0.5803,0.59376,1.346618798828125,1.2873803271484374,1.493248095703125,1.4784035302734375
8,CIFAR10,scaffold,0,0.3,100,0.01,1,89,0.4236,0.43642,0.5818,0.59984,2.54964951171875,2.47299796875,1.431103466796875,1.4121907177734374
9,CIFAR10,scaffold,0,0.3,100,0.01,1,99,0.533,0.54794,0.5977,0.61408,1.495497265625,1.423661240234375,1.35883203125,1.3345705810546875
10,CIFAR10,scaffold,0,0.3,100,0.01,1,109,0.5535,0.56706,0.614,0.63636,1.359169287109375,1.2947356689453124,1.2771701171875,1.2467736474609374
11,CIFAR10,scaffold,0,0.3,100,0.01,1,119,0.6554,0.6783,0.6322,0.65724,0.9918792724609375,0.9084545434570312,1.19883994140625,1.1612572900390625
12,CIFAR10,scaffold,0,0.3,100,0.01,1,129,0.6206,0.63878,0.6481,0.67742,1.158786572265625,1.0689466064453126,1.116922021484375,1.071763505859375
13,CIFAR10,scaffold,0,0.3,100,0.01,1,139,0.5776,0.60116,0.6664,0.6978,1.262930615234375,1.177936025390625,1.043242578125,0.990665556640625
14,CIFAR10,scaffold,0,0.3,100,0.01,1,149,0.629,0.65392,0.6826,0.71196,1.0872294921875,0.9949143359375,1.0038494140625,0.9475184912109375
15,CIFAR10,scaffold,0,0.3,100,0.01,1,159,0.5012,0.51472,0.6855,0.71328,1.99674072265625,1.892111064453125,0.9977321044921875,0.9405577465820313
16,CIFAR10,scaffold,0,0.3,100,0.01,1,169,0.5894,0.6159,0.6906,0.72042,1.21627119140625,1.1276832568359374,0.969649658203125,0.9079487768554687
17,CIFAR10,scaffold,0,0.3,100,0.01,1,179,0.5138,0.53318,0.6967,0.72726,1.789784814453125,1.672424287109375,0.9379197021484375,0.8699121020507813
18,CIFAR10,scaffold,0,0.3,100,0.01,1,189,0.7028,0.73084,0.7035,0.73582,0.8704184326171875,0.7758341235351562,0.9237356201171875,0.85414248046875
19,CIFAR10,scaffold,0,0.3,100,0.01,1,199,0.6429,0.66886,0.717,0.74676,1.08381171875,0.978861884765625,0.902371923828125,0.829395576171875
20,CIFAR10,scaffold,0,0.3,100,0.01,1,209,0.6283,0.6526,0.7248,0.75544,1.164007080078125,1.0433100219726563,0.8488766357421875,0.7697271118164063
21,CIFAR10,scaffold,0,0.3,100,0.01,1,219,0.6398,0.65126,0.728,0.7609,1.1628591796875,1.0670182177734375,0.8098453369140625,0.722133974609375
22,CIFAR10,scaffold,0,0.3,100,0.01,1,229,0.4982,0.51858,0.7272,0.7584,1.807925927734375,1.692182919921875,0.804012158203125,0.7130876684570312
23,CIFAR10,scaffold,0,0.3,100,0.01,1,239,0.6012,0.61372,0.7254,0.75704,1.324129150390625,1.2551485546875,0.8067648193359375,0.7166887890625
24,CIFAR10,scaffold,0,0.3,100,0.01,1,249,0.6245,0.64246,0.7284,0.75976,1.216029931640625,1.121741455078125,0.800468359375,0.7110207275390625
25,CIFAR10,scaffold,0,0.3,100,0.01,1,259,0.6648,0.68548,0.7414,0.77064,1.022881201171875,0.9228890747070313,0.77272978515625,0.6803933862304687
26,CIFAR10,scaffold,0,0.3,100,0.01,1,269,0.6863,0.71352,0.7419,0.77416,0.93057578125,0.8315939501953125,0.7700966064453125,0.6766113110351563
27,CIFAR10,scaffold,0,0.3,100,0.01,1,279,0.6753,0.69198,0.7457,0.77578,1.02418408203125,0.936349169921875,0.7673103271484375,0.6761181787109375
28,CIFAR10,scaffold,0,0.3,100,0.01,1,289,0.6788,0.70894,0.7465,0.77566,0.957317431640625,0.8518739697265625,0.76311220703125,0.6714657983398438
29,CIFAR10,scaffold,0,0.3,100,0.01,1,299,0.5281,0.54442,0.7459,0.77524,1.71888720703125,1.62646162109375,0.766427001953125,0.6744487109375
30,CIFAR10,scaffold,0,0.3,100,0.01,1,309,0.6401,0.6507,0.7378,0.76938,1.19801376953125,1.1183759033203124,0.7808076416015625,0.6900454833984375
31,CIFAR10,scaffold,0,0.3,100,0.01,1,319,0.7032,0.73186,0.7455,0.774,0.8866890625,0.7842454614257812,0.7681610107421875,0.6796780712890625
32,CIFAR10,scaffold,0,0.3,100,0.01,1,329,0.5632,0.58562,0.7463,0.77526,1.46834951171875,1.3492753759765626,0.7627255859375,0.674079365234375
33,CIFAR10,scaffold,0,0.3,100,0.01,1,339,0.5611,0.58044,0.7381,0.77086,1.657301953125,1.522574091796875,0.7709060791015625,0.6798285009765626
34,CIFAR10,scaffold,0,0.3,100,0.01,1,349,0.6746,0.70068,0.7416,0.7701,0.9958828369140625,0.8945628466796876,0.767119482421875,0.6732800366210937
35,CIFAR10,scaffold,0,0.3,100,0.01,1,359,0.5497,0.56946,0.7482,0.77582,1.5270798828125,1.431897900390625,0.754721826171875,0.6613262939453125
36,CIFAR10,scaffold,0,0.3,100,0.01,1,369,0.6949,0.72122,0.7594,0.78506,0.89852119140625,0.8004496362304687,0.73102978515625,0.6356501928710937
37,CIFAR10,scaffold,0,0.3,100,0.01,1,379,0.6103,0.63396,0.7584,0.7876,1.324566064453125,1.19559388671875,0.729705322265625,0.6328519506835938
38,CIFAR10,scaffold,0,0.3,100,0.01,1,389,0.7162,0.74984,0.7599,0.78662,0.83270625,0.7161268188476563,0.7295369140625,0.6331562841796875
39,CIFAR10,scaffold,0,0.3,100,0.01,1,399,0.6224,0.64902,0.7599,0.79034,1.245966455078125,1.116357392578125,0.72542177734375,0.6265865576171875
40,CIFAR10,scaffold,0,0.3,100,0.01,1,409,0.7151,0.73524,0.7592,0.7919,0.884962744140625,0.77554728515625,0.7211944580078125,0.6200608447265625
41,CIFAR10,scaffold,0,0.3,100,0.01,1,419,0.6004,0.62914,0.7584,0.78934,1.241791552734375,1.1320223779296874,0.7223187255859375,0.6209782177734375
42,CIFAR10,scaffold,0,0.3,100,0.01,1,429,0.5934,0.61654,0.761,0.78908,1.248230224609375,1.1579623779296875,0.72292490234375,0.6216463549804687
43,CIFAR10,scaffold,0,0.3,100,0.01,1,439,0.6409,0.66252,0.7552,0.7859,1.12069619140625,1.0298927685546875,0.7321363037109375,0.62908935546875
44,CIFAR10,scaffold,0,0.3,100,0.01,1,449,0.5132,0.53174,0.7497,0.78056,1.896252294921875,1.7681262890625,0.7486158935546875,0.6455575146484375
45,CIFAR10,scaffold,0,0.3,100,0.01,1,459,0.6008,0.62412,0.7474,0.7796,1.378621240234375,1.259314677734375,0.7534136474609375,0.64935126953125
46,CIFAR10,scaffold,0,0.3,100,0.01,1,469,0.5185,0.5279,0.7395,0.77,2.017161328125,1.941247578125,0.7798679931640625,0.6762834423828125
47,CIFAR10,scaffold,0,0.3,100,0.01,1,479,0.6725,0.69572,0.7452,0.7759,0.9889212890625,0.8979075146484375,0.76430380859375,0.6611056005859375
48,CIFAR10,scaffold,0,0.3,100,0.01,1,489,0.7103,0.7417,0.7451,0.77704,0.8787127685546875,0.7642941259765625,0.7631788330078125,0.6610636450195313
49,CIFAR10,scaffold,0,0.3,100,0.01,1,499,0.6863,0.71928,0.7519,0.78542,0.9274081787109375,0.8166974340820312,0.744612353515625,0.6422894384765625
50,CIFAR10,scaffold,0,0.3,100,0.01,1,509,0.7175,0.74792,0.7565,0.79228,0.85274541015625,0.7411306665039062,0.728515625,0.6272425732421875
51,CIFAR10,scaffold,0,0.3,100,0.01,1,519,0.7099,0.74106,0.7631,0.79948,0.875609375,0.75071205078125,0.715297314453125,0.6107729150390625
52,CIFAR10,scaffold,0,0.3,100,0.01,1,529,0.6923,0.71492,0.7685,0.80544,0.9439,0.8411566845703125,0.70357099609375,0.5961517504882813
53,CIFAR10,scaffold,0,0.3,100,0.01,1,539,0.6774,0.71076,0.7704,0.8116,0.9744620849609374,0.8499994750976563,0.689736962890625,0.5814673779296875
54,CIFAR10,scaffold,0,0.3,100,0.01,1,549,0.6617,0.68614,0.7734,0.81398,1.02427548828125,0.9217596533203125,0.6799544921875,0.5693534521484375
55,CIFAR10,scaffold,0,0.3,100,0.01,1,559,0.6005,0.62304,0.7757,0.81388,1.33722763671875,1.22498392578125,0.67902998046875,0.5677856298828124
56,CIFAR10,scaffold,0,0.3,100,0.01,1,569,0.5753,0.60482,0.7711,0.80914,1.347693603515625,1.237752353515625,0.6849072998046875,0.5736096752929688
57,CIFAR10,scaffold,0,0.3,100,0.01,1,579,0.694,0.71854,0.7712,0.80528,0.91944130859375,0.8331498657226563,0.691875634765625,0.5812499877929688
58,CIFAR10,scaffold,0,0.3,100,0.01,1,589,0.6195,0.64872,0.7686,0.8012,1.234798388671875,1.12713408203125,0.6981242431640625,0.586332490234375
59,CIFAR10,scaffold,0,0.3,100,0.01,1,599,0.6639,0.68572,0.7636,0.79496,1.162949267578125,1.046735517578125,0.714601513671875,0.6018986254882812
60,CIFAR10,scaffold,0,0.3,100,0.01,1,609,0.5319,0.54524,0.7652,0.79742,1.737991796875,1.6287898193359376,0.71296962890625,0.6007673095703125
