,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,scaffold,0,0.3,100,0.01,1,9,0.1182,0.11674,0.1002,0.10166,2.29813359375,2.298457177734375,2.30326669921875,2.30348126953125
1,CIFAR10,scaffold,0,0.3,100,0.01,1,19,0.1282,0.12562,0.1022,0.10298,2.29441318359375,2.29467359375,2.3018296875,2.302077451171875
2,CIFAR10,scaffold,0,0.3,100,0.01,1,29,0.1307,0.12762,0.1041,0.104,2.2917740234375,2.29226126953125,2.300498046875,2.300760849609375
3,CIFAR10,scaffold,0,0.3,100,0.01,1,39,0.1342,0.13214,0.1105,0.1081,2.2891623046875,2.289723505859375,2.29846474609375,2.29873005859375
4,CIFAR10,scaffold,0,0.3,100,0.01,1,49,0.1386,0.13516,0.1202,0.11822,2.2862638671875,2.287106689453125,2.29591005859375,2.296222353515625
5,CIFAR10,scaffold,0,0.3,100,0.01,1,59,0.1294,0.12704,0.1274,0.12408,2.2835798828125,2.284629453125,2.2932564453125,2.2937103125
6,CIFAR10,scaffold,0,0.3,100,0.01,1,69,0.1353,0.1331,0.1298,0.12622,2.28168203125,2.282777666015625,2.29110048828125,2.29167962890625
7,CIFAR10,scaffold,0,0.3,100,0.01,1,79,0.1292,0.12622,0.1293,0.12612,2.2793634765625,2.28084759765625,2.2896486328125,2.290312744140625
8,CIFAR10,scaffold,0,0.3,100,0.01,1,89,0.1301,0.12984,0.1304,0.1273,2.27796474609375,2.279305224609375,2.28821279296875,2.288953349609375
9,CIFAR10,scaffold,0,0.3,100,0.01,1,99,0.1315,0.1298,0.1304,0.12792,2.276194140625,2.27759826171875,2.286269140625,2.287126884765625
10,CIFAR10,scaffold,0,0.3,100,0.01,1,109,0.1296,0.1304,0.1311,0.12872,2.27515029296875,2.27662171875,2.28459814453125,2.2855420703125
11,CIFAR10,scaffold,0,0.3,100,0.01,1,119,0.1305,0.13228,0.1301,0.12836,2.27359736328125,2.2751610546875,2.28277626953125,2.283817138671875
12,CIFAR10,scaffold,0,0.3,100,0.01,1,129,0.1366,0.13654,0.1314,0.1289,2.2722068359375,2.273789970703125,2.28091142578125,2.28203693359375
13,CIFAR10,scaffold,0,0.3,100,0.01,1,139,0.1362,0.1355,0.1335,0.13016,2.27101162109375,2.27257990234375,2.2789521484375,2.280161044921875
14,CIFAR10,scaffold,0,0.3,100,0.01,1,149,0.1427,0.14352,0.1336,0.13176,2.26996630859375,2.271610576171875,2.2775783203125,2.2788422265625
15,CIFAR10,scaffold,0,0.3,100,0.01,1,159,0.1421,0.1438,0.1347,0.13282,2.2689353515625,2.270550625,2.27687724609375,2.278147041015625
16,CIFAR10,scaffold,0,0.3,100,0.01,1,169,0.1408,0.14108,0.1358,0.1344,2.267637890625,2.269427294921875,2.27573671875,2.27704951171875
17,CIFAR10,scaffold,0,0.3,100,0.01,1,179,0.1484,0.14684,0.1373,0.13598,2.26669013671875,2.26843513671875,2.2740517578125,2.2754353125
18,CIFAR10,scaffold,0,0.3,100,0.01,1,189,0.1541,0.15152,0.139,0.1381,2.26579892578125,2.267572001953125,2.27333359375,2.27473861328125
19,CIFAR10,scaffold,0,0.3,100,0.01,1,199,0.1558,0.15502,0.1427,0.14096,2.26497646484375,2.266709873046875,2.27213447265625,2.273585732421875
20,CIFAR10,scaffold,0,0.3,100,0.01,1,209,0.1622,0.15916,0.1478,0.14668,2.26419443359375,2.2658882421875,2.27007451171875,2.271605439453125
21,CIFAR10,scaffold,0,0.3,100,0.01,1,219,0.1652,0.16134,0.1496,0.15016,2.26335048828125,2.2649858984375,2.2685732421875,2.2701521484375
22,CIFAR10,scaffold,0,0.3,100,0.01,1,229,0.1643,0.16276,0.1521,0.15178,2.26283935546875,2.264470107421875,2.267525390625,2.269130244140625
23,CIFAR10,scaffold,0,0.3,100,0.01,1,239,0.162,0.16126,0.1543,0.15352,2.26211767578125,2.26378755859375,2.26680234375,2.2684103515625
24,CIFAR10,scaffold,0,0.3,100,0.01,1,249,0.1684,0.16526,0.1566,0.15544,2.26155390625,2.263236982421875,2.2660794921875,2.267685927734375
25,CIFAR10,scaffold,0,0.3,100,0.01,1,259,0.1647,0.16502,0.1578,0.15686,2.26141611328125,2.263201240234375,2.26500576171875,2.2666530078125
26,CIFAR10,scaffold,0,0.3,100,0.01,1,269,0.1684,0.16622,0.1591,0.15806,2.260808984375,2.26257302734375,2.264503125,2.266158466796875
27,CIFAR10,scaffold,0,0.3,100,0.01,1,279,0.1657,0.1657,0.1602,0.16016,2.26042890625,2.2622286328125,2.2638865234375,2.265551728515625
28,CIFAR10,scaffold,0,0.3,100,0.01,1,289,0.168,0.16564,0.1624,0.16224,2.25999404296875,2.261788330078125,2.26302177734375,2.2647006640625
