,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR10,scaffold,0,0.3,100,0.01,1,9,0.1221,0.1218,0.0999,0.10006,2.2939556640625,2.29432890625,2.30258251953125,2.3025502734375
1,CIFAR10,scaffold,0,0.3,100,0.01,1,19,0.1313,0.13142,0.1006,0.10088,2.28810322265625,2.288732724609375,2.300359375,2.30041015625
2,CIFAR10,scaffold,0,0.3,100,0.01,1,29,0.1557,0.15204,0.1048,0.10522,2.2833328125,2.284100390625,2.2981791015625,2.298292099609375
3,CIFAR10,scaffold,0,0.3,100,0.01,1,39,0.1572,0.15456,0.1169,0.11718,2.27947958984375,2.280445771484375,2.29500244140625,2.29524923828125
4,CIFAR10,scaffold,0,0.3,100,0.01,1,49,0.1581,0.15588,0.1357,0.13436,2.2754453125,2.276576513671875,2.29107294921875,2.291480068359375
5,CIFAR10,scaffold,0,0.3,100,0.01,1,59,0.1489,0.14698,0.1492,0.14676,2.2694337890625,2.270796689453125,2.28693681640625,2.287532138671875
6,CIFAR10,scaffold,0,0.3,100,0.01,1,69,0.152,0.15156,0.1516,0.14928,2.265941015625,2.267495078125,2.28309541015625,2.28387962890625
7,CIFAR10,scaffold,0,0.3,100,0.01,1,79,0.1543,0.15392,0.1522,0.1493,2.262379296875,2.264010009765625,2.2806474609375,2.281538505859375
8,CIFAR10,scaffold,0,0.3,100,0.01,1,89,0.1684,0.1664,0.1526,0.14984,2.2587287109375,2.26072505859375,2.27817841796875,2.27916220703125
9,CIFAR10,scaffold,0,0.3,100,0.01,1,99,0.1664,0.16374,0.1543,0.15036,2.25519130859375,2.25719857421875,2.27464775390625,2.275781103515625
10,CIFAR10,scaffold,0,0.3,100,0.01,1,109,0.1684,0.16538,0.1555,0.1517,2.25317275390625,2.2552629296875,2.27138818359375,2.27268140625
11,CIFAR10,scaffold,0,0.3,100,0.01,1,119,0.1696,0.16636,0.157,0.15426,2.251113671875,2.2530301953125,2.26792958984375,2.269379716796875
12,CIFAR10,scaffold,0,0.3,100,0.01,1,129,0.1639,0.16366,0.1589,0.15732,2.24861201171875,2.25047013671875,2.2644150390625,2.265985
13,CIFAR10,scaffold,0,0.3,100,0.01,1,139,0.1665,0.16812,0.1614,0.15872,2.2462548828125,2.24826771484375,2.26067802734375,2.262324560546875
14,CIFAR10,scaffold,0,0.3,100,0.01,1,149,0.1645,0.161,0.1623,0.15966,2.2452837890625,2.24703119140625,2.25812158203125,2.259792734375
15,CIFAR10,scaffold,0,0.3,100,0.01,1,159,0.1692,0.16594,0.1626,0.15992,2.2430072265625,2.244912099609375,2.25684853515625,2.25851029296875
16,CIFAR10,scaffold,0,0.3,100,0.01,1,169,0.1696,0.1668,0.1636,0.16068,2.2411892578125,2.243069208984375,2.2548458984375,2.25654072265625
17,CIFAR10,scaffold,0,0.3,100,0.01,1,179,0.1741,0.17186,0.1641,0.16328,2.23996435546875,2.24191375,2.25205849609375,2.253800126953125
18,CIFAR10,scaffold,0,0.3,100,0.01,1,189,0.1724,0.17106,0.1654,0.16444,2.2387,2.24045099609375,2.25101826171875,2.252744111328125
19,CIFAR10,scaffold,0,0.3,100,0.01,1,199,0.1735,0.1711,0.1668,0.16542,2.23768408203125,2.23941625,2.24913720703125,2.250837255859375
20,CIFAR10,scaffold,0,0.3,100,0.01,1,209,0.1724,0.17266,0.1694,0.16706,2.23637705078125,2.238192763671875,2.24589951171875,2.247596025390625
21,CIFAR10,scaffold,0,0.3,100,0.01,1,219,0.1757,0.17546,0.1715,0.1689,2.23494521484375,2.236705078125,2.24343671875,2.24516560546875
22,CIFAR10,scaffold,0,0.3,100,0.01,1,229,0.1771,0.1765,0.1731,0.17038,2.2341818359375,2.23605693359375,2.24171875,2.243479384765625
23,CIFAR10,scaffold,0,0.3,100,0.01,1,239,0.1786,0.17754,0.1733,0.17168,2.233337890625,2.23523626953125,2.24058828125,2.242354931640625
24,CIFAR10,scaffold,0,0.3,100,0.01,1,249,0.1787,0.17806,0.1735,0.17308,2.2323888671875,2.234300771484375,2.23945830078125,2.24123421875
25,CIFAR10,scaffold,0,0.3,100,0.01,1,259,0.1785,0.17724,0.1754,0.17456,2.23169658203125,2.233513251953125,2.23774951171875,2.23955048828125
26,CIFAR10,scaffold,0,0.3,100,0.01,1,269,0.1786,0.17802,0.1764,0.1753,2.23116416015625,2.232949609375,2.23698330078125,2.23878201171875
27,CIFAR10,scaffold,0,0.3,100,0.01,1,279,0.1798,0.17848,0.177,0.17604,2.23065078125,2.23246208984375,2.23610068359375,2.23788998046875
28,CIFAR10,scaffold,0,0.3,100,0.01,1,289,0.1799,0.17936,0.1769,0.17668,2.23010791015625,2.231867255859375,2.23480576171875,2.236585849609375
