,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedavg,0,0,100,0.01,5,4,9,0.0149,0.01606,0.0049,0.0052,5.18402265625,5.18489525390625,5.298676171875,5.29875896484375
1,TinyImageNet,fedavg,0,0,100,0.01,5,4,19,0.0358,0.03565,0.0088,0.00874,4.987605078125,4.9710433203125,5.294843359375,5.2948544140625
2,TinyImageNet,fedavg,0,0,100,0.01,5,4,29,0.0461,0.05168,0.0094,0.01005,5.242228125,5.19720916015625,5.28644609375,5.28620625
3,TinyImageNet,fedavg,0,0,100,0.01,5,4,39,0.0932,0.09808,0.0115,0.01276,4.5781654296875,4.49127294921875,5.272368359375,5.27168341796875
4,TinyImageNet,fedavg,0,0,100,0.01,5,4,49,0.0735,0.08214,0.0418,0.04189,5.095070703125,4.97208318359375,5.207883984375,5.20486537109375
5,TinyImageNet,fedavg,0,0,100,0.01,5,4,59,0.0706,0.07887,0.0656,0.06623,5.7381650390625,5.57545564453125,5.156528125,5.15066919921875
6,TinyImageNet,fedavg,0,0,100,0.01,5,4,69,0.1098,0.13105,0.1027,0.109,4.6210685546875,4.45034349609375,5.0195056640625,5.00554708984375
7,TinyImageNet,fedavg,0,0,100,0.01,5,4,79,0.125,0.15378,0.1181,0.12798,4.8843326171875,4.54610962890625,4.927873828125,4.90733591796875
8,TinyImageNet,fedavg,0,0,100,0.01,5,4,89,0.0855,0.11177,0.1328,0.14243,5.6318853515625,5.27510720703125,4.8575578125,4.8297625390625
9,TinyImageNet,fedavg,0,0,100,0.01,5,4,99,0.1075,0.12849,0.1495,0.17116,5.712208203125,5.337511875,4.61125390625,4.56039712890625
10,TinyImageNet,fedavg,0,0,100,0.01,5,4,109,0.1154,0.14551,0.1604,0.19008,4.970715625,4.5978203125,4.4857064453125,4.41377490234375
11,TinyImageNet,fedavg,0,0,100,0.01,5,4,119,0.0982,0.12376,0.1686,0.20083,5.897151953125,5.4593958203125,4.38739453125,4.29700150390625
12,TinyImageNet,fedavg,0,0,100,0.01,5,4,129,0.0931,0.11148,0.1703,0.20619,6.0851578125,5.7170269921875,4.2641541015625,4.15488126953125
