,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedavg,0,0,100,0.01,5,1,9,0.0234,0.0218,0.0076,0.00693,5.035945703125,5.02659333984375,5.2976486328125,5.29765357421875
1,TinyImageNet,fedavg,0,0,100,0.01,5,1,19,0.0409,0.0426,0.0093,0.0101,4.8295794921875,4.81328435546875,5.28436953125,5.28425125
2,TinyImageNet,fedavg,0,0,100,0.01,5,1,29,0.0622,0.06856,0.0174,0.01752,4.6160072265625,4.58735115234375,5.25836640625,5.2576575
3,TinyImageNet,fedavg,0,0,100,0.01,5,1,39,0.0844,0.09211,0.0246,0.02644,4.512534375,4.43757412109375,5.218870703125,5.21703509765625
4,TinyImageNet,fedavg,0,0,100,0.01,5,1,49,0.1042,0.11263,0.0381,0.04118,4.3899455078125,4.31446802734375,5.1690990234375,5.16565748046875
5,TinyImageNet,fedavg,0,0,100,0.01,5,1,59,0.0881,0.1012,0.0635,0.07112,4.5226521484375,4.42069759765625,5.0783455078125,5.07111486328125
6,TinyImageNet,fedavg,0,0,100,0.01,5,1,69,0.1127,0.12634,0.0903,0.09762,4.360572265625,4.24689205078125,4.9869919921875,4.9751046484375
7,TinyImageNet,fedavg,0,0,100,0.01,5,1,79,0.1349,0.15143,0.1124,0.11999,4.277,4.120904306640625,4.8895376953125,4.87239619140625
8,TinyImageNet,fedavg,0,0,100,0.01,5,1,89,0.1032,0.11932,0.1206,0.13124,4.797481640625,4.6439392578125,4.824531640625,4.80391544921875
9,TinyImageNet,fedavg,0,0,100,0.01,5,1,99,0.0928,0.10754,0.1362,0.14895,5.7513306640625,5.51703263671875,4.739835546875,4.7124115625
10,TinyImageNet,fedavg,0,0,100,0.01,5,1,109,0.1104,0.13491,0.1456,0.16399,5.755109375,5.4367526171875,4.6215841796875,4.58481453125
11,TinyImageNet,fedavg,0,0,100,0.01,5,1,119,0.1724,0.20188,0.1635,0.18495,3.97612119140625,3.736919775390625,4.52176796875,4.47382947265625
12,TinyImageNet,fedavg,0,0,100,0.01,5,1,129,0.1677,0.19798,0.1803,0.20716,4.0371330078125,3.783057548828125,4.2935619140625,4.2213190625
13,TinyImageNet,fedavg,0,0,100,0.01,5,1,139,0.1733,0.20715,0.1935,0.22321,4.1387859375,3.804163701171875,4.1725486328125,4.082607578125
14,TinyImageNet,fedavg,0,0,100,0.01,5,1,149,0.1664,0.20336,0.2048,0.2381,4.386573046875,4.00578166015625,3.94134755859375,3.8154288671875
15,TinyImageNet,fedavg,0,0,100,0.01,5,1,159,0.1419,0.16469,0.2085,0.24386,4.4205126953125,4.13589517578125,3.886561328125,3.74906703125
16,TinyImageNet,fedavg,0,0,100,0.01,5,1,169,0.1398,0.16613,0.2133,0.25091,4.441192578125,4.17910744140625,3.8038912109375,3.647535244140625
17,TinyImageNet,fedavg,0,0,100,0.01,5,1,179,0.1396,0.17019,0.2201,0.2601,5.5891005859375,5.125392734375,3.72460546875,3.54550552734375
18,TinyImageNet,fedavg,0,0,100,0.01,5,1,189,0.1966,0.25035,0.227,0.27133,4.0511685546875,3.569638974609375,3.596476953125,3.3706010546875
19,TinyImageNet,fedavg,0,0,100,0.01,5,1,199,0.1561,0.19028,0.2295,0.27821,4.4971642578125,4.09786326171875,3.56161884765625,3.312383701171875
20,TinyImageNet,fedavg,0,0,100,0.01,5,1,209,0.1909,0.23796,0.238,0.28667,4.2602525390625,3.76794552734375,3.5022150390625,3.212549375
21,TinyImageNet,fedavg,0,0,100,0.01,5,1,219,0.1664,0.20767,0.2414,0.29329,4.45735078125,4.02910546875,3.46657763671875,3.139202841796875
22,TinyImageNet,fedavg,0,0,100,0.01,5,1,229,0.2045,0.26438,0.2441,0.29727,4.02575458984375,3.480896025390625,3.453076171875,3.103819794921875
23,TinyImageNet,fedavg,0,0,100,0.01,5,1,239,0.1573,0.19552,0.2485,0.30339,4.5568177734375,4.121468818359375,3.441259765625,3.050255078125
24,TinyImageNet,fedavg,0,0,100,0.01,5,1,249,0.1534,0.19569,0.2494,0.30666,4.868625,4.358225,3.43958818359375,3.02465015625
25,TinyImageNet,fedavg,0,0,100,0.01,5,1,259,0.1835,0.2369,0.2492,0.31013,4.1002912109375,3.594028330078125,3.4322521484375,3.004485283203125
26,TinyImageNet,fedavg,0,0,100,0.01,5,1,269,0.1876,0.23257,0.2508,0.31388,4.03307685546875,3.59593328125,3.4416216796875,2.98218068359375
27,TinyImageNet,fedavg,0,0,100,0.01,5,1,279,0.1912,0.24962,0.2526,0.31769,4.1539259765625,3.58317763671875,3.4400751953125,2.957535830078125
28,TinyImageNet,fedavg,0,0,100,0.01,5,1,289,0.1971,0.25548,0.2538,0.32028,4.3028041015625,3.69261017578125,3.43307275390625,2.94054763671875
29,TinyImageNet,fedavg,0,0,100,0.01,5,1,299,0.1559,0.20054,0.2549,0.32309,4.6456978515625,4.07764912109375,3.42773779296875,2.92661658203125
30,TinyImageNet,fedavg,0,0,100,0.01,5,1,309,0.164,0.20449,0.2563,0.32556,4.3211224609375,3.88837134765625,3.43346767578125,2.91003115234375
31,TinyImageNet,fedavg,0,0,100,0.01,5,1,319,0.2138,0.2739,0.2556,0.32818,3.9084431640625,3.351852138671875,3.43239111328125,2.895517724609375
32,TinyImageNet,fedavg,0,0,100,0.01,5,1,329,0.2102,0.2779,0.2571,0.33095,4.6524267578125,3.84128083984375,3.432408984375,2.882683017578125
