,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedavg,0,0,100,0.01,5,2,9,0.0161,0.0171,0.0055,0.00542,5.2320921875,5.2280280859375,5.299251953125,5.2992616796875
1,TinyImageNet,fedavg,0,0,100,0.01,5,2,19,0.0287,0.03075,0.0062,0.00696,5.24077265625,5.20874345703125,5.2967443359375,5.2966887890625
2,TinyImageNet,fedavg,0,0,100,0.01,5,2,29,0.0321,0.03377,0.0134,0.01226,5.701147265625,5.64167896484375,5.291633203125,5.2912872265625
3,TinyImageNet,fedavg,0,0,100,0.01,5,2,39,0.0298,0.03567,0.0177,0.01754,6.01328359375,5.9300439453125,5.2841970703125,5.282996875
4,TinyImageNet,fedavg,0,0,100,0.01,5,2,49,0.0301,0.03849,0.0202,0.02071,5.9850734375,5.8489823046875,5.2805556640625,5.27887203125
5,TinyImageNet,fedavg,0,0,100,0.01,5,2,59,0.0234,0.03068,0.0263,0.02841,6.0437015625,5.91780734375,5.2673765625,5.26395505859375
6,TinyImageNet,fedavg,0,0,100,0.01,5,2,69,0.0251,0.03125,0.0336,0.03777,5.7441970703125,5.65453126953125,5.247058984375,5.23962685546875
7,TinyImageNet,fedavg,0,0,100,0.01,5,2,79,0.0316,0.03978,0.0354,0.04321,5.400202734375,5.3050713671875,5.2311638671875,5.2200755078125
8,TinyImageNet,fedavg,0,0,100,0.01,5,2,89,0.0278,0.03482,0.0384,0.04811,6.0373625,5.86623642578125,5.2138263671875,5.19773244140625
9,TinyImageNet,fedavg,0,0,100,0.01,5,2,99,0.0364,0.05057,0.0413,0.05209,5.410392578125,5.24987576171875,5.1972181640625,5.17422521484375
10,TinyImageNet,fedavg,0,0,100,0.01,5,2,109,0.0339,0.04162,0.0423,0.05591,6.8955546875,6.7072512109375,5.1725376953125,5.1411087890625
11,TinyImageNet,fedavg,0,0,100,0.01,5,2,119,0.0308,0.03687,0.0448,0.05908,5.6456341796875,5.49473572265625,5.1360296875,5.089155390625
12,TinyImageNet,fedavg,0,0,100,0.01,5,2,129,0.038,0.04462,0.047,0.06054,5.41030390625,5.29129005859375,5.1111271484375,5.05263935546875
13,TinyImageNet,fedavg,0,0,100,0.01,5,2,139,0.0308,0.03857,0.05,0.06107,5.944346875,5.79597318359375,5.0945953125,5.0270151953125
14,TinyImageNet,fedavg,0,0,100,0.01,5,2,149,0.0268,0.03423,0.049,0.06178,5.561521484375,5.47895447265625,5.097727734375,5.0306048828125
15,TinyImageNet,fedavg,0,0,100,0.01,5,2,159,0.0272,0.03142,0.0487,0.06253,5.7038953125,5.62635037109375,5.0816203125,5.00141802734375
16,TinyImageNet,fedavg,0,0,100,0.01,5,2,169,0.0275,0.03713,0.0514,0.06486,5.677328125,5.5660718359375,5.0721384765625,4.9875273046875
17,TinyImageNet,fedavg,0,0,100,0.01,5,2,179,0.0284,0.03505,0.0538,0.06625,5.6330802734375,5.52018849609375,5.0626892578125,4.9677180078125
18,TinyImageNet,fedavg,0,0,100,0.01,5,2,189,0.0391,0.05033,0.0542,0.06647,5.841961328125,5.6849118359375,5.0590076171875,4.96277302734375
