,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedavg,0,0,100,0.01,5,1,9,0.0118,0.013,0.0056,0.00533,5.2592970703125,5.25406205078125,5.2987142578125,5.2987881640625
1,TinyImageNet,fedavg,0,0,100,0.01,5,1,19,0.0233,0.02294,0.0065,0.00648,5.2516228515625,5.241184609375,5.294112890625,5.29409119140625
2,TinyImageNet,fedavg,0,0,100,0.01,5,1,29,0.0261,0.03172,0.0121,0.01167,5.275459375,5.224346796875,5.2853197265625,5.2846953125
3,TinyImageNet,fedavg,0,0,100,0.01,5,1,39,0.023,0.03214,0.0169,0.0186,5.6026576171875,5.50315978515625,5.2714267578125,5.26883998046875
4,TinyImageNet,fedavg,0,0,100,0.01,5,1,49,0.026,0.03408,0.0224,0.02588,5.61472265625,5.49322333984375,5.2576677734375,5.25198357421875
5,TinyImageNet,fedavg,0,0,100,0.01,5,1,59,0.0205,0.0275,0.028,0.03312,5.6629375,5.5573979296875,5.2354537109375,5.22391412109375
6,TinyImageNet,fedavg,0,0,100,0.01,5,1,69,0.0282,0.03481,0.0311,0.03795,5.70255625,5.581242578125,5.213994921875,5.19656634765625
7,TinyImageNet,fedavg,0,0,100,0.01,5,1,79,0.0301,0.03796,0.0341,0.04176,5.6253927734375,5.49316666015625,5.1959232421875,5.172977109375
8,TinyImageNet,fedavg,0,0,100,0.01,5,1,89,0.0245,0.02945,0.034,0.04379,5.775238671875,5.63999865234375,5.1865146484375,5.15976888671875
9,TinyImageNet,fedavg,0,0,100,0.01,5,1,99,0.0262,0.03296,0.0352,0.04534,6.3797537109375,6.1974441796875,5.1768083984375,5.1441097265625
10,TinyImageNet,fedavg,0,0,100,0.01,5,1,109,0.0263,0.03543,0.0355,0.04674,7.2800615234375,7.0114911328125,5.1620876953125,5.12096412109375
11,TinyImageNet,fedavg,0,0,100,0.01,5,1,119,0.0311,0.0422,0.039,0.049,5.4451716796875,5.269627109375,5.1545455078125,5.1067388671875
12,TinyImageNet,fedavg,0,0,100,0.01,5,1,129,0.0301,0.04007,0.0397,0.05269,5.5393291015625,5.36098755859375,5.13042265625,5.062123125
13,TinyImageNet,fedavg,0,0,100,0.01,5,1,139,0.0319,0.0443,0.0418,0.0559,5.5619365234375,5.35744513671875,5.11893046875,5.03598625
14,TinyImageNet,fedavg,0,0,100,0.01,5,1,149,0.0282,0.04165,0.0428,0.05878,5.8991640625,5.64426861328125,5.1064232421875,4.99465869140625
15,TinyImageNet,fedavg,0,0,100,0.01,5,1,159,0.028,0.03499,0.0412,0.05893,5.59099453125,5.45366671875,5.10720546875,4.988648125
16,TinyImageNet,fedavg,0,0,100,0.01,5,1,169,0.0295,0.03977,0.0461,0.05922,5.693647265625,5.5193744921875,5.1039548828125,4.97741310546875
17,TinyImageNet,fedavg,0,0,100,0.01,5,1,179,0.0272,0.04007,0.0456,0.06021,6.934637109375,6.63443314453125,5.0988876953125,4.96433697265625
18,TinyImageNet,fedavg,0,0,100,0.01,5,1,189,0.0392,0.05258,0.0489,0.06146,5.5353462890625,5.29462505859375,5.1008041015625,4.94946455078125
19,TinyImageNet,fedavg,0,0,100,0.01,5,1,199,0.025,0.03326,0.0502,0.06437,5.640015234375,5.4871615625,5.100612890625,4.93763529296875
20,TinyImageNet,fedavg,0,0,100,0.01,5,1,209,0.0344,0.05063,0.0512,0.06543,5.714936328125,5.439927890625,5.103814453125,4.92532470703125
21,TinyImageNet,fedavg,0,0,100,0.01,5,1,219,0.029,0.04216,0.0526,0.0672,5.85245546875,5.5888883203125,5.1115919921875,4.91477115234375
22,TinyImageNet,fedavg,0,0,100,0.01,5,1,229,0.0399,0.05621,0.0523,0.06821,5.8716513671875,5.5233423828125,5.1131525390625,4.907519375
23,TinyImageNet,fedavg,0,0,100,0.01,5,1,239,0.0297,0.0379,0.0533,0.06911,5.7124759765625,5.5023857421875,5.1211638671875,4.90287001953125
24,TinyImageNet,fedavg,0,0,100,0.01,5,1,249,0.0318,0.04656,0.0532,0.07,5.9357345703125,5.67175859375,5.1260611328125,4.8989775
25,TinyImageNet,fedavg,0,0,100,0.01,5,1,259,0.0406,0.05127,0.0541,0.07021,5.4023916015625,5.20220728515625,5.122167578125,4.89780060546875
26,TinyImageNet,fedavg,0,0,100,0.01,5,1,269,0.0359,0.04898,0.0558,0.0713,5.375722265625,5.21202716796875,5.128297265625,4.89437853515625
27,TinyImageNet,fedavg,0,0,100,0.01,5,1,279,0.0395,0.05472,0.055,0.07326,5.46784140625,5.2187378515625,5.1326576171875,4.8887905859375
28,TinyImageNet,fedavg,0,0,100,0.01,5,1,289,0.0414,0.05594,0.055,0.07427,5.90742421875,5.55230365234375,5.1308376953125,4.8806675
29,TinyImageNet,fedavg,0,0,100,0.01,5,1,299,0.0284,0.04302,0.0554,0.07487,5.8499591796875,5.5767321484375,5.131851171875,4.87485974609375
30,TinyImageNet,fedavg,0,0,100,0.01,5,1,309,0.0333,0.0421,0.0541,0.07581,5.6202283203125,5.39824708984375,5.1368408203125,4.87110353515625
31,TinyImageNet,fedavg,0,0,100,0.01,5,1,319,0.0374,0.05646,0.0521,0.07707,5.4350841796875,5.17432380859375,5.134945703125,4.86516341796875
32,TinyImageNet,fedavg,0,0,100,0.01,5,1,329,0.0344,0.05873,0.0537,0.07823,6.4184259765625,5.93731587890625,5.1379388671875,4.85858529296875
33,TinyImageNet,fedavg,0,0,100,0.01,5,1,339,0.0322,0.04591,0.0544,0.07865,6.024853125,5.691135625,5.1468767578125,4.85615130859375
34,TinyImageNet,fedavg,0,0,100,0.01,5,1,349,0.0374,0.05191,0.0546,0.07927,5.4656884765625,5.2183629296875,5.1462349609375,4.85500021484375
35,TinyImageNet,fedavg,0,0,100,0.01,5,1,359,0.0363,0.04911,0.0558,0.07885,5.911141796875,5.63861416015625,5.1411326171875,4.8528064453125
