,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedavg,0,0,100,0.01,5,4,9,0.0214,0.02002,0.0041,0.00458,5.13275234375,5.1327637109375,5.29906796875,5.29906677734375
1,TinyImageNet,fedavg,0,0,100,0.01,5,4,19,0.032,0.03277,0.0063,0.00574,5.242145703125,5.21773619140625,5.2950193359375,5.2950158984375
2,TinyImageNet,fedavg,0,0,100,0.01,5,4,29,0.0478,0.04963,0.0118,0.01237,5.3691041015625,5.28667298828125,5.287595703125,5.2872285546875
3,TinyImageNet,fedavg,0,0,100,0.01,5,4,39,0.0733,0.08126,0.0169,0.01689,4.8858130859375,4.7564189453125,5.275409375,5.27460537109375
4,TinyImageNet,fedavg,0,0,100,0.01,5,4,49,0.053,0.0596,0.0398,0.04113,5.6214728515625,5.4761021875,5.2197736328125,5.2158366796875
5,TinyImageNet,fedavg,0,0,100,0.01,5,4,59,0.0569,0.06564,0.053,0.05832,6.16532890625,5.97906048828125,5.1777392578125,5.17015267578125
6,TinyImageNet,fedavg,0,0,100,0.01,5,4,69,0.075,0.09071,0.0797,0.08956,5.148055078125,4.9507878515625,5.0696427734375,5.05180259765625
7,TinyImageNet,fedavg,0,0,100,0.01,5,4,79,0.0886,0.11004,0.0871,0.10112,5.30932265625,5.0173805859375,5.0053689453125,4.98129111328125
8,TinyImageNet,fedavg,0,0,100,0.01,5,4,89,0.0636,0.08133,0.0966,0.10919,6.2747244140625,5.97682791015625,4.96364140625,4.93467056640625
9,TinyImageNet,fedavg,0,0,100,0.01,5,4,99,0.0732,0.08883,0.107,0.12675,6.006540625,5.6995631640625,4.8041357421875,4.75666099609375
10,TinyImageNet,fedavg,0,0,100,0.01,5,4,109,0.0866,0.10628,0.1156,0.13677,5.36240390625,5.018604375,4.735834765625,4.67594583984375
11,TinyImageNet,fedavg,0,0,100,0.01,5,4,119,0.0662,0.08715,0.12,0.1437,6.4384384765625,6.0640083203125,4.6740970703125,4.6018863671875
12,TinyImageNet,fedavg,0,0,100,0.01,5,4,129,0.0806,0.09944,0.124,0.14809,6.4137296875,5.9715725390625,4.5982576171875,4.51122822265625
