,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedavg,0,0,100,0.1,5,1,9,0.0373,0.03953,0.019,0.01927,4.91383203125,4.8965189453125,5.25342421875,5.252579765625
1,TinyImageNet,fedavg,0,0,100,0.1,5,1,19,0.06,0.07145,0.0529,0.05919,4.7268556640625,4.6262638671875,4.9430814453125,4.9146791015625
2,TinyImageNet,fedavg,0,0,100,0.1,5,1,29,0.0715,0.08735,0.0696,0.08275,4.8327716796875,4.61016544921875,4.69416015625,4.6034954296875
3,TinyImageNet,fedavg,0,0,100,0.1,5,1,39,0.0818,0.10558,0.0826,0.10499,5.01885234375,4.61168224609375,4.589177734375,4.38644025390625
4,TinyImageNet,fedavg,0,0,100,0.1,5,1,49,0.0855,0.11456,0.0946,0.12377,5.1790966796875,4.65392568359375,4.6369095703125,4.26942107421875
5,TinyImageNet,fedavg,0,0,100,0.1,5,1,59,0.0982,0.13193,0.104,0.1381,5.213189453125,4.54757138671875,4.7932810546875,4.247813515625
6,TinyImageNet,fedavg,0,0,100,0.1,5,1,69,0.0956,0.13202,0.1113,0.14893,5.39313515625,4.63975935546875,4.8419076171875,4.19607517578125
7,TinyImageNet,fedavg,0,0,100,0.1,5,1,79,0.1061,0.14589,0.1158,0.15836,5.3744296875,4.51595568359375,4.9089353515625,4.165012265625
8,TinyImageNet,fedavg,0,0,100,0.1,5,1,89,0.1053,0.15118,0.1224,0.16929,5.6973693359375,4.67964712890625,4.9715494140625,4.107775703125
9,TinyImageNet,fedavg,0,0,100,0.1,5,1,99,0.1089,0.1577,0.1264,0.17757,5.4852373046875,4.49447626953125,4.9977853515625,4.05290802734375
10,TinyImageNet,fedavg,0,0,100,0.1,5,1,109,0.1117,0.16747,0.1273,0.18608,5.590965625,4.46261484375,5.0659263671875,4.025510341796875
11,TinyImageNet,fedavg,0,0,100,0.1,5,1,119,0.1096,0.1747,0.1257,0.19272,5.59754140625,4.44371810546875,5.11634609375,4.002730322265625
12,TinyImageNet,fedavg,0,0,100,0.1,5,1,129,0.1148,0.18231,0.1275,0.19981,5.698027734375,4.40596146484375,5.1543234375,3.9659198046875
13,TinyImageNet,fedavg,0,0,100,0.1,5,1,139,0.1174,0.18484,0.1262,0.20685,5.5603087890625,4.296215078125,5.1813916015625,3.91408833984375
14,TinyImageNet,fedavg,0,0,100,0.1,5,1,149,0.1231,0.18971,0.1311,0.21322,5.498605078125,4.233137529296875,5.1994693359375,3.875103291015625
15,TinyImageNet,fedavg,0,0,100,0.1,5,1,159,0.1274,0.20291,0.1336,0.21903,5.5393578125,4.15700564453125,5.2093765625,3.8368791796875
16,TinyImageNet,fedavg,0,0,100,0.1,5,1,169,0.1269,0.20884,0.1385,0.22586,5.60671796875,4.13524759765625,5.2399705078125,3.810922373046875
17,TinyImageNet,fedavg,0,0,100,0.1,5,1,179,0.1199,0.19106,0.1396,0.23272,5.878156640625,4.41846837890625,5.246984765625,3.762808154296875
18,TinyImageNet,fedavg,0,0,100,0.1,5,1,189,0.1235,0.2089,0.1403,0.23523,5.6317447265625,4.14451716796875,5.2197802734375,3.713540224609375
19,TinyImageNet,fedavg,0,0,100,0.1,5,1,199,0.1256,0.20939,0.1407,0.23928,5.696877734375,4.1873378125,5.203621875,3.6778548828125
