,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,9,0.0078,0.00756,0.0064,0.0061,5.3650341796875,5.36518208984375,5.2994291015625,5.29943052734375
1,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,19,0.0199,0.02064,0.0061,0.00546,5.156746875,5.149810703125,5.2975173828125,5.297554140625
2,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,29,0.0288,0.02787,0.0085,0.00742,5.80824609375,5.797787109375,5.28574453125,5.2857882421875
3,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,39,0.0391,0.04056,0.0126,0.01132,5.2901552734375,5.29732669921875,5.270977734375,5.271048125
4,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,49,0.0642,0.06772,0.0153,0.01485,4.5948990234375,4.56290919921875,5.2477181640625,5.24770681640625
5,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,59,0.071,0.07061,0.0255,0.02595,5.2536109375,5.1915137109375,5.1959712890625,5.1955931640625
6,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,69,0.0773,0.08643,0.0358,0.0381,5.564424609375,5.40496224609375,5.1206044921875,5.118866640625
7,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,79,0.0812,0.09072,0.0632,0.067,5.143208203125,5.0074769921875,5.0167212890625,5.0114896484375
8,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,89,0.0904,0.09703,0.1027,0.10479,5.8907171875,5.70091951171875,4.869791796875,4.85861421875
9,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,99,0.11,0.12619,0.1328,0.14307,4.67260625,4.46795865234375,4.6880484375,4.66705990234375
10,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,109,0.1107,0.13839,0.1553,0.17241,4.6145494140625,4.3844677734375,4.4850087890625,4.44844763671875
11,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,119,0.0843,0.10125,0.1714,0.19427,6.617056640625,6.26187107421875,4.2552875,4.1940369140625
12,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,129,0.0973,0.11172,0.1821,0.20994,6.904878125,6.5465276171875,4.095703125,4.010588818359375
13,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,139,0.0959,0.11832,0.1846,0.21617,5.8737736328125,5.51037921875,4.0363787109375,3.938688310546875
14,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,149,0.1103,0.13353,0.1938,0.22781,6.45939609375,6.0241330859375,3.90312958984375,3.778350302734375
15,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,159,0.1454,0.17813,0.199,0.23506,4.755655859375,4.34427248046875,3.80585654296875,3.65626115234375
16,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,169,0.0972,0.11999,0.2031,0.24251,6.3021703125,5.90170162109375,3.74512265625,3.572535576171875
17,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,179,0.1673,0.21229,0.2093,0.2515,4.9580287109375,4.385634951171875,3.6462359375,3.426970419921875
18,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,189,0.1515,0.18824,0.2131,0.2567,4.931146484375,4.39306560546875,3.6058220703125,3.364944482421875
19,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,199,0.1637,0.2119,0.2194,0.26144,4.9145033203125,4.290864580078125,3.5886732421875,3.336639189453125
20,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,209,0.1022,0.12326,0.2232,0.26978,6.3837267578125,5.92231173828125,3.54888671875,3.234089462890625
21,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,219,0.1325,0.16652,0.2264,0.27412,5.3131287109375,4.76070564453125,3.53957236328125,3.192934931640625
22,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,229,0.1041,0.12216,0.2319,0.27832,6.195814453125,5.78235390625,3.5307275390625,3.1702693359375
23,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,239,0.1517,0.18586,0.2351,0.2795,4.978401171875,4.4304711328125,3.519630859375,3.15761134765625
24,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,249,0.1468,0.18462,0.2363,0.28113,4.86190546875,4.3462019140625,3.5127451171875,3.1441733984375
25,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,259,0.1087,0.13267,0.2337,0.28519,6.3175740234375,5.7736412890625,3.51087890625,3.11586431640625
26,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,269,0.1618,0.19583,0.2347,0.28879,4.9516162109375,4.34431517578125,3.51967919921875,3.085637578125
27,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,279,0.1169,0.14469,0.238,0.29257,5.7273904296875,5.22103009765625,3.515804296875,3.067114951171875
28,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,289,0.1107,0.13728,0.2403,0.29646,6.4391302734375,5.8406337890625,3.5154697265625,3.044406533203125
29,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,299,0.147,0.17891,0.2415,0.29895,4.866121875,4.36067623046875,3.52051982421875,3.02910494140625
30,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,309,0.1203,0.14857,0.2414,0.30178,6.403669921875,5.8061757421875,3.5137203125,3.01476609375
31,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,319,0.1166,0.14203,0.2418,0.3057,5.9133,5.427144765625,3.532071484375,2.996578291015625
32,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,329,0.1521,0.18717,0.2421,0.30742,4.8894974609375,4.35656482421875,3.528512109375,2.9850020703125
33,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,339,0.1743,0.21947,0.2459,0.31076,4.545281640625,3.936922109375,3.56736171875,2.97902845703125
34,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,349,0.1773,0.23007,0.2482,0.31323,4.75493984375,4.0568565625,3.55604775390625,2.966236142578125
35,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,359,0.1545,0.19928,0.2465,0.31563,5.2488732421875,4.5670351953125,3.54997138671875,2.95376396484375
36,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,369,0.1656,0.21662,0.2473,0.31617,5.20600078125,4.47057962890625,3.5463443359375,2.945903330078125
37,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,379,0.1183,0.1546,0.2463,0.31813,6.4696908203125,5.7561880859375,3.5409287109375,2.936600146484375
38,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,389,0.1177,0.15301,0.2444,0.32062,6.867,6.0996280078125,3.5467140625,2.92829951171875
39,TinyImageNet,fedavg,0,0.5,100,0.01,5,3,399,0.1263,0.16667,0.2452,0.32168,6.623078515625,5.7646837109375,3.543760546875,2.920942119140625
