,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,9,0.005,0.005,0.0047,0.00509,5.57693671875,5.5760671875,5.299759765625,5.299720234375
1,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,19,0.0051,0.00502,0.005,0.005,5.626737890625,5.62667119140625,5.300059765625,5.3000281640625
2,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,29,0.005,0.005,0.005,0.005,5.70037421875,5.6991395703125,5.3007400390625,5.30071326171875
3,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,39,0.005,0.005,0.0048,0.00508,5.5763587890625,5.57636046875,5.30108515625,5.30105548828125
4,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,49,0.005,0.005,0.0058,0.00662,5.36194140625,5.36194109375,5.30095859375,5.30092501953125
5,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,59,0.005,0.005,0.005,0.005,5.588685546875,5.58868560546875,5.3012986328125,5.30127349609375
6,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,69,0.005,0.005,0.005,0.005,5.4841337890625,5.48413572265625,5.301503515625,5.301487734375
7,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,79,0.005,0.005,0.005,0.005,5.3850044921875,5.3850006640625,5.3013189453125,5.30130705078125
8,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,89,0.005,0.005,0.005,0.005,5.5566833984375,5.5566819921875,5.3011271484375,5.301117734375
9,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,99,0.005,0.005,0.005,0.005,5.3867515625,5.38675029296875,5.3011533203125,5.3011458984375
10,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,109,0.005,0.005,0.005,0.005,5.5482162109375,5.54821205078125,5.301248828125,5.301243828125
11,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,119,0.005,0.005,0.005,0.005,5.4721130859375,5.47211171875,5.301488671875,5.30148294921875
12,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,129,0.005,0.005,0.005,0.005,5.446810546875,5.44681015625,5.3014904296875,5.30148552734375
13,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,139,0.005,0.005,0.005,0.005,5.5989201171875,5.59891875,5.30126953125,5.301265703125
14,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,149,0.005,0.005,0.005,0.005,5.544811328125,5.54481046875,5.3014279296875,5.3014246484375
15,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,159,0.005,0.005,0.005,0.005,5.6090658203125,5.60906611328125,5.301554296875,5.30155263671875
16,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,169,0.005,0.005,0.005,0.005,5.630627734375,5.63062712890625,5.3015259765625,5.30152220703125
17,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,179,0.005,0.005,0.005,0.005,5.6173515625,5.61735169921875,5.3014234375,5.3014222265625
18,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,189,0.005,0.005,0.005,0.005,5.47214765625,5.47214791015625,5.301392578125,5.301392109375
19,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,199,0.005,0.005,0.005,0.005,5.61402421875,5.61402654296875,5.3014689453125,5.3014676953125
20,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,209,0.005,0.005,0.005,0.005,5.6190587890625,5.61906,5.30143046875,5.3014301171875
21,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,219,0.005,0.005,0.005,0.005,5.67611875,5.67611740234375,5.3014244140625,5.30142390625
22,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,229,0.005,0.005,0.005,0.005,5.5941908203125,5.59419251953125,5.3013302734375,5.3013298046875
23,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,239,0.005,0.005,0.005,0.005,5.4823591796875,5.482358125,5.3008671875,5.3008694921875
24,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,249,0.005,0.005,0.005,0.005,5.4545974609375,5.454597109375,5.3009669921875,5.3009666796875
25,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,259,0.005,0.005,0.005,0.005,5.6558345703125,5.65583427734375,5.300807421875,5.30080671875
26,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,269,0.005,0.005,0.005,0.005,5.441690234375,5.44168935546875,5.30062890625,5.3006283203125
27,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,279,0.005,0.005,0.005,0.005,5.44558515625,5.4455861328125,5.30114921875,5.301147890625
28,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,289,0.005,0.005,0.005,0.005,5.652762890625,5.65276337890625,5.3012125,5.3012115234375
29,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,299,0.005,0.005,0.005,0.005,5.6543724609375,5.65437302734375,5.30121796875,5.30121666015625
30,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,309,0.005,0.005,0.005,0.005,5.63417890625,5.63417962890625,5.3015091796875,5.3015083984375
31,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,319,0.005,0.005,0.005,0.005,5.428388671875,5.42838921875,5.3012791015625,5.3012791796875
32,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,329,0.005,0.005,0.005,0.005,5.4986388671875,5.4986396875,5.30112890625,5.3011288671875
33,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,339,0.005,0.005,0.005,0.005,5.430069921875,5.4300695703125,5.300442578125,5.3004418359375
34,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,349,0.005,0.005,0.005,0.005,5.588730859375,5.58873146484375,5.3009421875,5.30094203125
35,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,359,0.005,0.005,0.005,0.005,5.599943359375,5.59994359375,5.3010599609375,5.3010608203125
36,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,369,0.005,0.005,0.005,0.005,5.5720013671875,5.57200109375,5.3009296875,5.3009303515625
37,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,379,0.005,0.005,0.005,0.005,5.603753125,5.60375345703125,5.3007908203125,5.30079103515625
38,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,389,0.005,0.005,0.005,0.005,5.624628515625,5.6246283203125,5.301002734375,5.301003359375
39,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,399,0.005,0.005,0.005,0.005,5.3761630859375,5.376163046875,5.3013408203125,5.3013415625
