,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,9,0.0124,0.0116,0.0044,0.00521,5.2907568359375,5.29031625,5.299220703125,5.29928322265625
1,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,19,0.0267,0.02712,0.0054,0.00615,5.3803693359375,5.36714455078125,5.297392578125,5.2973278125
2,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,29,0.0315,0.0334,0.0086,0.00923,5.72638203125,5.6874162109375,5.29225546875,5.291849296875
3,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,39,0.0393,0.04383,0.0201,0.01754,5.9366484375,5.89925228515625,5.2821177734375,5.281423515625
4,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,49,0.0417,0.04595,0.024,0.02277,5.9923802734375,5.9077082421875,5.27679140625,5.27541140625
5,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,59,0.0345,0.03947,0.0348,0.03483,6.237567578125,6.137843125,5.2568873046875,5.25365998046875
6,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,69,0.0448,0.05166,0.0479,0.04994,6.3312828125,6.19518216796875,5.22338125,5.2162830859375
7,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,79,0.0593,0.07335,0.0579,0.06338,5.6171857421875,5.4114287890625,5.195197265625,5.18279083984375
8,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,89,0.0475,0.0585,0.0665,0.07525,7.180791015625,6.9411730859375,5.165432421875,5.146778984375
9,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,99,0.0738,0.09136,0.0744,0.08717,5.6217947265625,5.3105173828125,5.1285083984375,5.10212568359375
10,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,109,0.0584,0.07068,0.0817,0.0962,8.042191015625,7.70271185546875,5.081783203125,5.04520607421875
11,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,119,0.0625,0.07978,0.0919,0.10757,6.3535005859375,6.05699412109375,5.002883203125,4.94759220703125
12,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,129,0.0709,0.08686,0.0976,0.1146,5.783185546875,5.4975505859375,4.9358896484375,4.86159150390625
13,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,139,0.0534,0.06648,0.101,0.12001,6.151319140625,5.94159373046875,4.88504765625,4.7951091015625
14,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,149,0.0656,0.07943,0.1044,0.12334,6.90800234375,6.64662900390625,4.8729318359375,4.78260470703125
15,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,159,0.064,0.07923,0.1076,0.12962,6.3158345703125,6.0307482421875,4.7938384765625,4.6779951171875
16,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,169,0.0565,0.06733,0.1116,0.13575,6.254202734375,6.07849044921875,4.7509876953125,4.62103076171875
17,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,179,0.0597,0.07224,0.1164,0.13975,6.3717375,6.1409552734375,4.705401953125,4.55789830078125
18,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,189,0.0861,0.10921,0.119,0.14343,6.7042171875,6.349580859375,4.680914453125,4.53272005859375
19,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,199,0.0776,0.09312,0.123,0.14877,6.78378671875,6.48812015625,4.63364765625,4.47078912109375
