,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,9,0.0113,0.01206,0.005,0.005,5.3326912109375,5.334505625,5.299416015625,5.29927921875
1,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,19,0.0255,0.02564,0.0068,0.00692,5.339847265625,5.32582037109375,5.29698046875,5.29674611328125
2,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,29,0.031,0.034,0.0128,0.0128,5.878297265625,5.83141904296875,5.2899876953125,5.289395390625
3,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,39,0.0378,0.03918,0.0191,0.02113,5.6604140625,5.61685181640625,5.277129296875,5.2755934375
4,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,49,0.0393,0.04237,0.0224,0.02704,5.6617830078125,5.5952602734375,5.266918359375,5.26397771484375
5,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,59,0.0286,0.03404,0.0326,0.03915,6.29726484375,6.24006013671875,5.23861953125,5.23228037109375
6,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,69,0.0421,0.049,0.0476,0.05327,5.8206875,5.699972265625,5.19478984375,5.1829188671875
7,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,79,0.0607,0.07152,0.0571,0.06411,5.3394787109375,5.197029453125,5.1594880859375,5.1427326953125
8,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,89,0.0431,0.05454,0.0637,0.07182,6.1220041015625,5.958206484375,5.126337109375,5.1039480078125
9,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,99,0.0695,0.08655,0.0727,0.08147,5.3322107421875,5.11275798828125,5.0844904296875,5.05414029296875
10,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,109,0.0528,0.06481,0.0784,0.08769,7.0971921875,6.88026423828125,5.0358501953125,4.996416171875
11,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,119,0.0581,0.07101,0.0832,0.0951,5.8975978515625,5.65710966796875,4.9584349609375,4.90136021484375
12,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,129,0.064,0.08174,0.0873,0.10126,5.590801953125,5.32766462890625,4.899582421875,4.824341171875
13,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,139,0.0536,0.05977,0.0889,0.10561,5.8924203125,5.7162583984375,4.8595416015625,4.76947685546875
14,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,149,0.0574,0.07227,0.0907,0.10842,6.6557646484375,6.352941953125,4.8493921875,4.7554854296875
15,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,159,0.0547,0.06749,0.0941,0.11503,6.051678125,5.81531177734375,4.798566015625,4.676364609375
16,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,169,0.0476,0.062,0.096,0.11751,5.9158142578125,5.73081728515625,4.772709765625,4.63476328125
17,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,179,0.0493,0.06167,0.0985,0.12096,6.431130859375,6.23490748046875,4.7500919921875,4.5891548046875
18,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,189,0.0692,0.0878,0.1007,0.12367,6.2254822265625,5.84387330078125,4.732721484375,4.5621692578125
19,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,199,0.06,0.07472,0.1071,0.12908,7.2808767578125,6.8899564453125,4.716269921875,4.52208189453125
20,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,209,0.0588,0.07574,0.1078,0.13219,6.106075390625,5.79339341796875,4.706229296875,4.49464814453125
