,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,9,0.0068,0.00743,0.0048,0.00466,5.4317513671875,5.43027390625,5.2994560546875,5.299472265625
1,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,19,0.0186,0.01946,0.0059,0.00575,5.3553302734375,5.36093505859375,5.297762109375,5.297829375
2,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,29,0.0357,0.03859,0.0099,0.00978,5.601838671875,5.58437193359375,5.2904830078125,5.29057541015625
3,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,39,0.0493,0.0536,0.0157,0.01639,5.7029314453125,5.68668642578125,5.2746654296875,5.27457423828125
4,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,49,0.0528,0.05378,0.0217,0.02329,5.7473947265625,5.69977765625,5.2571849609375,5.25672181640625
5,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,59,0.0551,0.06121,0.04,0.04516,6.2181759765625,6.108987890625,5.2114064453125,5.20938341796875
6,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,69,0.0621,0.07239,0.0762,0.08274,6.3954318359375,6.23228099609375,5.1295798828125,5.12453142578125
7,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,79,0.0998,0.11638,0.1017,0.11063,5.0150296875,4.79358896484375,5.0668029296875,5.0583314453125
8,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,89,0.0689,0.08221,0.1146,0.12748,7.131209375,6.85604369140625,5.005005859375,4.9912279296875
9,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,99,0.1248,0.15301,0.1298,0.14536,5.0478494140625,4.65736296875,4.9232185546875,4.90099306640625
10,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,109,0.0826,0.10184,0.1382,0.15803,8.024946484375,7.59063634765625,4.8149791015625,4.782239453125
11,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,119,0.101,0.12262,0.1513,0.17432,6.0598640625,5.6450673046875,4.61249609375,4.55865826171875
12,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,129,0.1054,0.13037,0.1597,0.18427,5.5971802734375,5.21854587890625,4.436795703125,4.35790951171875
13,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,139,0.0737,0.08605,0.1619,0.19137,6.7229279296875,6.42019494140625,4.312728515625,4.21219748046875
14,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,149,0.0817,0.09791,0.165,0.19411,6.788759765625,6.4484783984375,4.3042017578125,4.19848013671875
15,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,159,0.0752,0.09192,0.1707,0.20134,6.84872578125,6.51479443359375,4.117013671875,3.97357064453125
16,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,169,0.0641,0.07924,0.1705,0.20482,6.8131994140625,6.559358046875,4.0399990234375,3.878879384765625
17,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,179,0.0778,0.09323,0.1715,0.20712,6.3117712890625,5.9972184375,3.95413212890625,3.76782640625
18,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,189,0.1219,0.15015,0.1739,0.21071,6.58843515625,6.04886638671875,3.93068671875,3.7370441015625
19,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,199,0.0928,0.11595,0.1739,0.21489,7.2834541015625,6.713890078125,3.8717109375,3.645990009765625
20,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,209,0.0803,0.10274,0.1785,0.21854,6.7612962890625,6.30017935546875,3.849726953125,3.6046759765625
21,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,219,0.0794,0.1001,0.1828,0.22097,6.5061833984375,6.12927072265625,3.82789765625,3.56606087890625
22,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,229,0.0926,0.11086,0.1865,0.22596,6.66646953125,6.2578237890625,3.8049001953125,3.53087921875
23,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,239,0.1265,0.15993,0.191,0.23152,5.25297109375,4.71272498046875,3.78311494140625,3.4744655078125
24,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,249,0.1316,0.16214,0.1955,0.23703,5.2000732421875,4.66376234375,3.7707068359375,3.423234013671875
25,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,259,0.0711,0.09142,0.1979,0.23933,6.876420703125,6.53816373046875,3.7645095703125,3.407628837890625
26,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,269,0.1136,0.13746,0.1974,0.24126,5.413048828125,4.964275078125,3.748048828125,3.39582330078125
27,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,279,0.1223,0.15416,0.1989,0.24258,6.2014951171875,5.587953359375,3.74252470703125,3.37992025390625
28,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,289,0.1031,0.12427,0.2019,0.24616,7.1826107421875,6.6672022265625,3.73585927734375,3.356603984375
29,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,299,0.0761,0.09625,0.201,0.24824,7.213241796875,6.76531095703125,3.732121875,3.345339609375
30,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,309,0.0938,0.1153,0.2014,0.24878,6.6430203125,6.1878765234375,3.724912109375,3.34201625
31,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,319,0.1237,0.1633,0.2024,0.25129,5.1508310546875,4.6816299609375,3.71542294921875,3.32936955078125
32,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,329,0.0802,0.10011,0.2053,0.25309,6.8781662109375,6.48739037109375,3.706698046875,3.32238560546875
33,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,339,0.115,0.1366,0.2068,0.25396,5.3687193359375,4.93754978515625,3.695439453125,3.311353974609375
34,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,349,0.0864,0.10263,0.207,0.25461,7.1315416015625,6.64816701171875,3.685283203125,3.308864326171875
35,TinyImageNet,fedavg,0,0.5,100,0.01,5,2,359,0.0887,0.11629,0.2073,0.25545,6.5684359375,6.0929964453125,3.6784029296875,3.30182541015625
