,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,9,0.027,0.02743,0.0158,0.01564,4.9730466796875,4.9719602734375,5.24188828125,5.24172328125
1,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,19,0.0645,0.06737,0.0535,0.05309,4.601184765625,4.575982265625,4.945533203125,4.94070583984375
2,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,29,0.1014,0.10946,0.0923,0.1018,4.34669453125,4.26006162109375,4.51026015625,4.47533662109375
3,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,39,0.1237,0.14005,0.1241,0.14139,4.2675591796875,4.07357123046875,4.2050986328125,4.104973056640625
4,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,49,0.1355,0.16394,0.1425,0.16535,4.3189748046875,3.972182099609375,4.0940208984375,3.911622607421875
5,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,59,0.1379,0.17507,0.1495,0.18493,4.513743359375,4.01684076171875,4.05046533203125,3.75378228515625
6,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,69,0.1511,0.19731,0.1592,0.20565,4.5294515625,3.902528046875,4.1394767578125,3.654952578125
7,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,79,0.155,0.20588,0.1661,0.21863,4.68088125,3.911176279296875,4.2225029296875,3.596445029296875
8,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,89,0.1571,0.21369,0.1719,0.23032,4.66660859375,3.828507958984375,4.33124765625,3.566919208984375
9,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,99,0.1675,0.23346,0.1737,0.24474,4.668185546875,3.701684794921875,4.4025673828125,3.513120458984375
10,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,109,0.1728,0.23886,0.18,0.25497,4.68433046875,3.676377001953125,4.4381771484375,3.454377099609375
11,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,119,0.169,0.24792,0.1821,0.26225,4.647590234375,3.5997340234375,4.4248037109375,3.395129482421875
12,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,129,0.1661,0.23913,0.183,0.26936,4.82505078125,3.6990006640625,4.466843359375,3.36773666015625
13,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,139,0.1698,0.25127,0.1839,0.27481,4.7683943359375,3.604796240234375,4.4640201171875,3.32797326171875
14,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,149,0.1797,0.26257,0.1871,0.28068,4.7015740234375,3.496786806640625,4.4763794921875,3.292330498046875
15,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,159,0.1792,0.26953,0.1909,0.28678,4.731383984375,3.462667421875,4.4794927734375,3.254186142578125
16,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,169,0.1593,0.23609,0.1954,0.29215,4.9708224609375,3.769140830078125,4.4677671875,3.20909203125
17,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,179,0.1801,0.27296,0.1944,0.29651,4.7652158203125,3.440720302734375,4.4794796875,3.179028681640625
18,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,189,0.181,0.27556,0.1963,0.29961,4.7362701171875,3.42106603515625,4.47615703125,3.151220986328125
19,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,199,0.1754,0.26785,0.1967,0.30414,4.813055078125,3.474070595703125,4.4886375,3.12623685546875
20,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,209,0.1847,0.2845,0.1978,0.30905,4.7128107421875,3.337071474609375,4.4896265625,3.09524322265625
21,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,219,0.1696,0.25955,0.1994,0.31301,5.0111701171875,3.63843947265625,4.4854982421875,3.06723169921875
22,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,229,0.1864,0.29248,0.2014,0.31425,4.7675248046875,3.30658029296875,4.482980859375,3.0463828125
23,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,239,0.187,0.29054,0.1997,0.31856,4.7958158203125,3.3171201171875,4.5119373046875,3.0302886328125
24,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,249,0.1817,0.29045,0.2003,0.32137,4.845898046875,3.349068603515625,4.472491796875,3.000675107421875
25,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,259,0.1778,0.2835,0.2006,0.32163,4.859699609375,3.3818949609375,4.4742310546875,2.99314123046875
26,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,269,0.1728,0.27371,0.1983,0.32331,4.83713671875,3.459824013671875,4.46910859375,2.978826376953125
27,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,279,0.187,0.29839,0.2014,0.32569,4.67541875,3.201155634765625,4.4756630859375,2.970873984375
28,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,289,0.1764,0.28319,0.1979,0.32915,4.814823046875,3.358424169921875,4.4567328125,2.940202744140625
29,TinyImageNet,fedavg,0,0.5,100,0.1,5,2,299,0.1808,0.28979,0.1975,0.33124,4.68761953125,3.27814869140625,4.44995625,2.925858916015625
