,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddecorr,0,0,100,0.01,5,3,9,0.0195,0.02018,0.0053,0.00512,5.0422716796875,5.042086171875,5.298771875,5.2988642578125
1,TinyImageNet,feddecorr,0,0,100,0.01,5,3,19,0.0478,0.05088,0.0089,0.00782,4.774209765625,4.75236451171875,5.2924724609375,5.2924588671875
2,TinyImageNet,feddecorr,0,0,100,0.01,5,3,29,0.052,0.05644,0.0178,0.01895,5.071756640625,5.02456578125,5.268112109375,5.2674676953125
3,TinyImageNet,feddecorr,0,0,100,0.01,5,3,39,0.0616,0.06538,0.0211,0.0248,4.780930859375,4.74716833984375,5.2473796875,5.2460941015625
4,TinyImageNet,feddecorr,0,0,100,0.01,5,3,49,0.1026,0.11383,0.0324,0.0351,4.4975181640625,4.398090703125,5.2190765625,5.21664919921875
5,TinyImageNet,feddecorr,0,0,100,0.01,5,3,59,0.0789,0.08861,0.0503,0.054,5.2519388671875,5.0934112109375,5.1693142578125,5.16513619140625
6,TinyImageNet,feddecorr,0,0,100,0.01,5,3,69,0.0822,0.08492,0.0749,0.07898,5.3306076171875,5.15838646484375,5.1042740234375,5.097295859375
7,TinyImageNet,feddecorr,0,0,100,0.01,5,3,79,0.0964,0.1174,0.1005,0.10787,5.1696044921875,4.9484701953125,5.0178068359375,5.00589216796875
8,TinyImageNet,feddecorr,0,0,100,0.01,5,3,89,0.1006,0.11996,0.1278,0.13909,5.4066130859375,5.1737590625,4.88086015625,4.8598854296875
9,TinyImageNet,feddecorr,0,0,100,0.01,5,3,99,0.1227,0.15055,0.1471,0.16318,4.7407986328125,4.45642212890625,4.6782275390625,4.641761484375
10,TinyImageNet,feddecorr,0,0,100,0.01,5,3,109,0.1279,0.15693,0.1644,0.18314,4.6718251953125,4.33348904296875,4.44605390625,4.38603232421875
11,TinyImageNet,feddecorr,0,0,100,0.01,5,3,119,0.1092,0.1308,0.1796,0.2015,6.2490458984375,5.7940414453125,4.202626953125,4.108390703125
12,TinyImageNet,feddecorr,0,0,100,0.01,5,3,129,0.115,0.14286,0.1842,0.21245,5.9849384765625,5.55499828125,4.0601666015625,3.93399869140625
13,TinyImageNet,feddecorr,0,0,100,0.01,5,3,139,0.1103,0.13776,0.1859,0.21852,5.79427890625,5.3719573046875,4.01011845703125,3.87010197265625
14,TinyImageNet,feddecorr,0,0,100,0.01,5,3,149,0.1118,0.14235,0.1899,0.22657,6.0412755859375,5.48298169921875,3.89999921875,3.727522958984375
15,TinyImageNet,feddecorr,0,0,100,0.01,5,3,159,0.1463,0.18897,0.1923,0.23086,4.9188126953125,4.40829548828125,3.8320142578125,3.633702646484375
16,TinyImageNet,feddecorr,0,0,100,0.01,5,3,169,0.1176,0.14933,0.196,0.23719,5.8781654296875,5.4190394921875,3.785059765625,3.566633662109375
17,TinyImageNet,feddecorr,0,0,100,0.01,5,3,179,0.1644,0.21673,0.2004,0.24733,5.209759765625,4.507182060546875,3.70770166015625,3.44156095703125
18,TinyImageNet,feddecorr,0,0,100,0.01,5,3,189,0.1591,0.20518,0.2028,0.25213,4.979389453125,4.354738935546875,3.6787630859375,3.38762384765625
19,TinyImageNet,feddecorr,0,0,100,0.01,5,3,199,0.1664,0.22652,0.2054,0.25616,5.16175546875,4.40628005859375,3.66665634765625,3.3623959375
20,TinyImageNet,feddecorr,0,0,100,0.01,5,3,209,0.1158,0.1495,0.2092,0.26512,5.3481396484375,4.83771962890625,3.650403515625,3.27193345703125
21,TinyImageNet,feddecorr,0,0,100,0.01,5,3,219,0.1668,0.21816,0.2098,0.26906,5.10110703125,4.389085810546875,3.6497619140625,3.23543861328125
22,TinyImageNet,feddecorr,0,0,100,0.01,5,3,229,0.1154,0.15165,0.2111,0.27203,5.3803595703125,4.860837265625,3.64686044921875,3.216189921875
23,TinyImageNet,feddecorr,0,0,100,0.01,5,3,239,0.1534,0.20266,0.2126,0.27352,4.68724921875,4.09693982421875,3.6368447265625,3.203818857421875
24,TinyImageNet,feddecorr,0,0,100,0.01,5,3,249,0.1498,0.20075,0.2129,0.27508,4.827451953125,4.23462044921875,3.62161044921875,3.18805580078125
25,TinyImageNet,feddecorr,0,0,100,0.01,5,3,259,0.1266,0.1563,0.2161,0.28023,5.4794666015625,4.9700489453125,3.62223134765625,3.162544267578125
26,TinyImageNet,feddecorr,0,0,100,0.01,5,3,269,0.167,0.22395,0.2215,0.28549,4.6027392578125,3.9519728125,3.6385603515625,3.1369133203125
27,TinyImageNet,feddecorr,0,0,100,0.01,5,3,279,0.1392,0.18324,0.2221,0.28849,5.25596015625,4.63723470703125,3.633326171875,3.119517041015625
28,TinyImageNet,feddecorr,0,0,100,0.01,5,3,289,0.1372,0.1756,0.2273,0.29272,5.64434375,4.96902732421875,3.6266400390625,3.0962770703125
29,TinyImageNet,feddecorr,0,0,100,0.01,5,3,299,0.1588,0.20474,0.2291,0.29663,4.5912451171875,4.0882125,3.6286080078125,3.0832053125
30,TinyImageNet,feddecorr,0,0,100,0.01,5,3,309,0.1402,0.18064,0.2303,0.29777,5.18304765625,4.618410263671875,3.618744921875,3.069710126953125
31,TinyImageNet,feddecorr,0,0,100,0.01,5,3,319,0.1365,0.18356,0.2303,0.30229,5.5042576171875,4.8136602734375,3.6455271484375,3.05750224609375
32,TinyImageNet,feddecorr,0,0,100,0.01,5,3,329,0.1514,0.21213,0.2312,0.30348,4.9773908203125,4.29720501953125,3.64117099609375,3.04754185546875
33,TinyImageNet,feddecorr,0,0,100,0.01,5,3,339,0.1758,0.24166,0.2315,0.30768,4.4789845703125,3.8127372265625,3.68282275390625,3.047947021484375
34,TinyImageNet,feddecorr,0,0,100,0.01,5,3,349,0.1867,0.24738,0.2322,0.30946,4.7359154296875,3.9799733203125,3.66359453125,3.03420904296875
35,TinyImageNet,feddecorr,0,0,100,0.01,5,3,359,0.1636,0.22166,0.2364,0.31222,5.130805859375,4.3958258984375,3.6590962890625,3.0217673046875
36,TinyImageNet,feddecorr,0,0,100,0.01,5,3,369,0.1674,0.23294,0.2341,0.31242,4.98931015625,4.2297654296875,3.6487240234375,3.013658955078125
37,TinyImageNet,feddecorr,0,0,100,0.01,5,3,379,0.1344,0.17565,0.233,0.31449,5.928521484375,5.227351015625,3.6430560546875,3.00472078125
38,TinyImageNet,feddecorr,0,0,100,0.01,5,3,389,0.1537,0.20352,0.2348,0.31658,6.2860013671875,5.45315466796875,3.64303115234375,2.9958222265625
39,TinyImageNet,feddecorr,0,0,100,0.01,5,3,399,0.1516,0.21308,0.236,0.31882,6.224676171875,5.24423845703125,3.6486333984375,2.98938953125
