,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddecorr,0,0,100,0.01,5,2,9,0.0177,0.0177,0.0057,0.00498,5.094046484375,5.08970470703125,5.29918828125,5.2991942578125
1,TinyImageNet,feddecorr,0,0,100,0.01,5,2,19,0.0295,0.03537,0.0055,0.00566,5.006055859375,4.952551015625,5.29537890625,5.29531796875
2,TinyImageNet,feddecorr,0,0,100,0.01,5,2,29,0.0388,0.04389,0.0152,0.01293,5.5627451171875,5.4621265234375,5.28523125,5.28476130859375
3,TinyImageNet,feddecorr,0,0,100,0.01,5,2,39,0.0481,0.05589,0.0215,0.01923,5.654457421875,5.570327578125,5.268948046875,5.26752416015625
4,TinyImageNet,feddecorr,0,0,100,0.01,5,2,49,0.057,0.06369,0.0256,0.02458,5.6660638671875,5.5483903515625,5.2586576171875,5.25646900390625
5,TinyImageNet,feddecorr,0,0,100,0.01,5,2,59,0.0518,0.05952,0.0385,0.0413,6.300323828125,6.13699978515625,5.22508515625,5.220909921875
6,TinyImageNet,feddecorr,0,0,100,0.01,5,2,69,0.0599,0.07323,0.0605,0.06559,6.396760546875,6.13461529296875,5.1622462890625,5.1536269921875
7,TinyImageNet,feddecorr,0,0,100,0.01,5,2,79,0.0895,0.10971,0.0753,0.08228,5.2246474609375,4.91420076171875,5.1104109375,5.0969381640625
8,TinyImageNet,feddecorr,0,0,100,0.01,5,2,89,0.0621,0.08128,0.0863,0.09426,6.2328830078125,5.9467137890625,5.05989609375,5.0417925
9,TinyImageNet,feddecorr,0,0,100,0.01,5,2,99,0.117,0.13885,0.0987,0.10947,5.0186974609375,4.6621241015625,4.9928859375,4.96825986328125
10,TinyImageNet,feddecorr,0,0,100,0.01,5,2,109,0.071,0.09107,0.1057,0.12277,8.201565625,7.7539457421875,4.895821875,4.860615390625
11,TinyImageNet,feddecorr,0,0,100,0.01,5,2,119,0.1007,0.12571,0.1218,0.13963,5.8583021484375,5.50886025390625,4.7230126953125,4.66872068359375
12,TinyImageNet,feddecorr,0,0,100,0.01,5,2,129,0.1046,0.13369,0.1322,0.14898,5.3948638671875,4.985507109375,4.5776595703125,4.50276029296875
13,TinyImageNet,feddecorr,0,0,100,0.01,5,2,139,0.081,0.09641,0.1382,0.15784,5.9104279296875,5.5964765625,4.4756404296875,4.38425166015625
14,TinyImageNet,feddecorr,0,0,100,0.01,5,2,149,0.0803,0.10286,0.1367,0.16029,6.5639951171875,6.1777709375,4.4701267578125,4.377053125
15,TinyImageNet,feddecorr,0,0,100,0.01,5,2,159,0.0707,0.08852,0.1384,0.16808,7.170603125,6.79555072265625,4.311300390625,4.18733748046875
16,TinyImageNet,feddecorr,0,0,100,0.01,5,2,169,0.0769,0.09072,0.1444,0.17293,5.9848056640625,5.7163497265625,4.237436328125,4.0966278125
17,TinyImageNet,feddecorr,0,0,100,0.01,5,2,179,0.0744,0.09197,0.1499,0.1778,6.2284123046875,5.86172,4.155841796875,3.989351494140625
18,TinyImageNet,feddecorr,0,0,100,0.01,5,2,189,0.1157,0.14442,0.1521,0.18087,6.517371484375,5.9477507421875,4.135589453125,3.96277828125
19,TinyImageNet,feddecorr,0,0,100,0.01,5,2,199,0.0938,0.11797,0.1549,0.18614,6.7032794921875,6.21890923828125,4.07401904296875,3.8752446484375
20,TinyImageNet,feddecorr,0,0,100,0.01,5,2,209,0.0825,0.10298,0.1575,0.18925,6.22901015625,5.79219615234375,4.04665234375,3.8359894921875
21,TinyImageNet,feddecorr,0,0,100,0.01,5,2,219,0.0844,0.10863,0.1588,0.19255,5.8173380859375,5.4393065234375,4.01667900390625,3.79163994140625
