,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddecorr,0,0,100,0.01,5,3,9,0.0265,0.02537,0.0054,0.00556,5.05153828125,5.044991640625,5.2988333984375,5.29880462890625
1,TinyImageNet,feddecorr,0,0,100,0.01,5,3,19,0.0422,0.0464,0.0098,0.00993,4.979608203125,4.92442611328125,5.291621484375,5.2913799609375
2,TinyImageNet,feddecorr,0,0,100,0.01,5,3,29,0.0324,0.03715,0.0168,0.01887,5.7742466796875,5.6595799609375,5.2672798828125,5.26589013671875
3,TinyImageNet,feddecorr,0,0,100,0.01,5,3,39,0.0361,0.04104,0.02,0.02425,6.210126171875,6.1090744921875,5.252999609375,5.25035287109375
4,TinyImageNet,feddecorr,0,0,100,0.01,5,3,49,0.0624,0.07711,0.0268,0.03201,5.300337109375,5.0964052734375,5.2336578125,5.22934103515625
5,TinyImageNet,feddecorr,0,0,100,0.01,5,3,59,0.0413,0.05014,0.0406,0.04448,6.109708203125,5.9358113671875,5.19696640625,5.18984962890625
6,TinyImageNet,feddecorr,0,0,100,0.01,5,3,69,0.0501,0.06382,0.0527,0.0589,6.232691796875,5.95208544921875,5.153065234375,5.14099521484375
7,TinyImageNet,feddecorr,0,0,100,0.01,5,3,79,0.0499,0.06517,0.0631,0.07684,6.215455078125,5.95757978515625,5.1009080078125,5.08222009765625
8,TinyImageNet,feddecorr,0,0,100,0.01,5,3,89,0.0596,0.07725,0.08,0.09259,6.457280859375,6.19178072265625,5.0209701171875,4.99220486328125
9,TinyImageNet,feddecorr,0,0,100,0.01,5,3,99,0.0695,0.0894,0.0914,0.10615,5.412708203125,5.14668728515625,4.9120814453125,4.867220234375
10,TinyImageNet,feddecorr,0,0,100,0.01,5,3,109,0.0836,0.1016,0.0991,0.11776,5.2661859375,5.01838009765625,4.7853697265625,4.72024185546875
11,TinyImageNet,feddecorr,0,0,100,0.01,5,3,119,0.0653,0.08448,0.1055,0.12771,6.5034396484375,6.19134443359375,4.6414466796875,4.55407767578125
12,TinyImageNet,feddecorr,0,0,100,0.01,5,3,129,0.0725,0.09391,0.113,0.13554,6.615687890625,6.27278921875,4.5534912109375,4.45333953125
13,TinyImageNet,feddecorr,0,0,100,0.01,5,3,139,0.072,0.09292,0.1181,0.13793,6.2292904296875,5.918542890625,4.5266419921875,4.42432451171875
14,TinyImageNet,feddecorr,0,0,100,0.01,5,3,149,0.0791,0.09669,0.1201,0.14549,6.958884765625,6.5498875390625,4.43879453125,4.32405423828125
15,TinyImageNet,feddecorr,0,0,100,0.01,5,3,159,0.0961,0.12117,0.1265,0.15087,5.4269171875,5.04067888671875,4.3712021484375,4.241833671875
16,TinyImageNet,feddecorr,0,0,100,0.01,5,3,169,0.0787,0.09931,0.13,0.15579,6.7017150390625,6.3018485546875,4.327816796875,4.18980453125
17,TinyImageNet,feddecorr,0,0,100,0.01,5,3,179,0.1161,0.15289,0.1371,0.16332,6.0164904296875,5.38809197265625,4.2342677734375,4.0682376953125
18,TinyImageNet,feddecorr,0,0,100,0.01,5,3,189,0.1058,0.13817,0.1399,0.16841,5.5870876953125,5.1188344921875,4.1938916015625,4.01483462890625
19,TinyImageNet,feddecorr,0,0,100,0.01,5,3,199,0.1149,0.15963,0.1425,0.17176,5.9506125,5.28434466796875,4.1756560546875,3.9927316796875
20,TinyImageNet,feddecorr,0,0,100,0.01,5,3,209,0.0811,0.10247,0.1434,0.18148,5.869465234375,5.49508306640625,4.09470244140625,3.85866373046875
21,TinyImageNet,feddecorr,0,0,100,0.01,5,3,219,0.1113,0.14967,0.149,0.18604,5.7654521484375,5.1582612890625,4.0670716796875,3.813408720703125
22,TinyImageNet,feddecorr,0,0,100,0.01,5,3,229,0.0838,0.1035,0.1503,0.18881,6.3930587890625,6.01653296875,4.05105458984375,3.790905478515625
23,TinyImageNet,feddecorr,0,0,100,0.01,5,3,239,0.1,0.13059,0.1528,0.18882,5.4452548828125,4.9746324609375,4.047184375,3.79201435546875
24,TinyImageNet,feddecorr,0,0,100,0.01,5,3,249,0.0968,0.13518,0.153,0.19071,5.4518029296875,4.96401974609375,4.0393837890625,3.782421904296875
25,TinyImageNet,feddecorr,0,0,100,0.01,5,3,259,0.0848,0.112,0.1542,0.19447,6.1681939453125,5.69780212890625,4.02269658203125,3.745814931640625
26,TinyImageNet,feddecorr,0,0,100,0.01,5,3,269,0.1169,0.15606,0.1589,0.19821,5.3081251953125,4.7633276171875,4.00185400390625,3.698011669921875
27,TinyImageNet,feddecorr,0,0,100,0.01,5,3,279,0.0899,0.11699,0.1613,0.20067,6.16811171875,5.67461896484375,3.9891080078125,3.68103224609375
28,TinyImageNet,feddecorr,0,0,100,0.01,5,3,289,0.0887,0.11458,0.1672,0.20653,6.6094099609375,6.0751691796875,3.974130859375,3.647635244140625
29,TinyImageNet,feddecorr,0,0,100,0.01,5,3,299,0.0976,0.12866,0.1681,0.21094,5.2513158203125,4.85790220703125,3.96430029296875,3.6244751171875
30,TinyImageNet,feddecorr,0,0,100,0.01,5,3,309,0.0904,0.12035,0.171,0.21286,6.1382990234375,5.627073515625,3.95600625,3.61172955078125
31,TinyImageNet,feddecorr,0,0,100,0.01,5,3,319,0.1033,0.12705,0.1717,0.21594,6.0824943359375,5.5802152734375,3.95201181640625,3.57692837890625
32,TinyImageNet,feddecorr,0,0,100,0.01,5,3,329,0.104,0.13683,0.1719,0.21817,5.363486328125,4.8794439453125,3.94662548828125,3.56348677734375
33,TinyImageNet,feddecorr,0,0,100,0.01,5,3,339,0.1246,0.16994,0.1726,0.22071,5.206555859375,4.59115734375,3.9774505859375,3.54713185546875
