,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddecorr,0,0,100,0.1,5,1,9,0.0326,0.03273,0.0165,0.01603,4.9610552734375,4.9496107421875,5.2622962890625,5.2613925
1,TinyImageNet,feddecorr,0,0,100,0.1,5,1,19,0.0578,0.06486,0.0468,0.05016,4.727758203125,4.664012734375,4.98438359375,4.96764326171875
2,TinyImageNet,feddecorr,0,0,100,0.1,5,1,29,0.0753,0.08992,0.0648,0.07573,4.6519158203125,4.5074180859375,4.7235435546875,4.66839884765625
3,TinyImageNet,feddecorr,0,0,100,0.1,5,1,39,0.0877,0.11135,0.0864,0.10543,4.7243859375,4.4302065625,4.539844921875,4.40573466796875
4,TinyImageNet,feddecorr,0,0,100,0.1,5,1,49,0.1006,0.1235,0.1052,0.12921,4.7886943359375,4.39808466796875,4.4705947265625,4.1901903515625
5,TinyImageNet,feddecorr,0,0,100,0.1,5,1,59,0.1098,0.14195,0.1136,0.14712,4.877481640625,4.33367015625,4.5318251953125,4.109524189453125
6,TinyImageNet,feddecorr,0,0,100,0.1,5,1,69,0.1095,0.14858,0.1217,0.15921,5.17937265625,4.49699525390625,4.5915109375,4.0623939453125
7,TinyImageNet,feddecorr,0,0,100,0.1,5,1,79,0.1213,0.16306,0.1295,0.17222,5.097803515625,4.34221728515625,4.6717591796875,4.029723828125
8,TinyImageNet,feddecorr,0,0,100,0.1,5,1,89,0.1241,0.16984,0.1379,0.18457,5.3726193359375,4.4836193359375,4.737173046875,3.9795371484375
9,TinyImageNet,feddecorr,0,0,100,0.1,5,1,99,0.1298,0.18032,0.1425,0.19611,5.3150603515625,4.366311669921875,4.766890234375,3.92070103515625
10,TinyImageNet,feddecorr,0,0,100,0.1,5,1,109,0.1388,0.18968,0.1462,0.20644,5.3752546875,4.30970845703125,4.8680955078125,3.899280595703125
11,TinyImageNet,feddecorr,0,0,100,0.1,5,1,119,0.1385,0.20051,0.1505,0.21479,5.3308908203125,4.2133428515625,4.899723046875,3.8559787109375
12,TinyImageNet,feddecorr,0,0,100,0.1,5,1,129,0.1418,0.2146,0.1539,0.22578,5.4665919921875,4.18329119140625,4.9546046875,3.8063053125
13,TinyImageNet,feddecorr,0,0,100,0.1,5,1,139,0.1462,0.21822,0.157,0.23373,5.1644392578125,3.97509759765625,4.9546611328125,3.736099013671875
14,TinyImageNet,feddecorr,0,0,100,0.1,5,1,149,0.1545,0.22926,0.1614,0.24353,5.2523287109375,3.96871283203125,4.98073046875,3.691682080078125
15,TinyImageNet,feddecorr,0,0,100,0.1,5,1,159,0.1584,0.24058,0.1653,0.2524,5.3518232421875,3.95045611328125,5.015084765625,3.6534615234375
16,TinyImageNet,feddecorr,0,0,100,0.1,5,1,169,0.1591,0.24753,0.1704,0.25965,5.3316470703125,3.856372431640625,5.0098513671875,3.59826337890625
17,TinyImageNet,feddecorr,0,0,100,0.1,5,1,179,0.1512,0.23432,0.1726,0.26815,5.541776171875,4.094753251953125,5.032725390625,3.555726337890625
18,TinyImageNet,feddecorr,0,0,100,0.1,5,1,189,0.1628,0.25305,0.1759,0.27471,5.306498828125,3.819489130859375,5.0231,3.5081388671875
19,TinyImageNet,feddecorr,0,0,100,0.1,5,1,199,0.1613,0.25957,0.1775,0.28109,5.3676142578125,3.83064841796875,4.99084609375,3.455391943359375
