,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,9,0.0092,0.00924,0.0061,0.00541,5.3041759765625,5.30292607421875,5.2995865234375,5.29964990234375
1,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,19,0.0181,0.01659,0.0044,0.00472,5.3166703125,5.3157864453125,5.29548984375,5.2955194140625
2,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,29,0.0334,0.03342,0.0043,0.0051,4.9327125,4.93125419921875,5.2838025390625,5.28350947265625
3,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,39,0.0525,0.0541,0.011,0.01027,4.93603359375,4.9079455078125,5.2574763671875,5.25691298828125
4,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,49,0.0698,0.07258,0.0242,0.02143,4.624271875,4.59019396484375,5.2098681640625,5.20884521484375
5,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,59,0.0551,0.06037,0.0421,0.04409,5.365734765625,5.31941150390625,5.1076181640625,5.1052512890625
6,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,69,0.0838,0.08768,0.0641,0.0653,4.9878330078125,4.9294376953125,5.0037609375,4.9995419140625
7,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,79,0.1033,0.11499,0.0797,0.08262,4.581831640625,4.45653236328125,4.89721484375,4.889904765625
8,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,89,0.0747,0.08382,0.0912,0.0925,5.6637279296875,5.5278626953125,4.83173828125,4.82153306640625
9,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,99,0.0893,0.10087,0.1079,0.10865,6.05975234375,5.85500662109375,4.7390548828125,4.72344396484375
10,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,109,0.0874,0.10077,0.1232,0.12732,6.8676326171875,6.5847379296875,4.6154783203125,4.592697109375
11,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,119,0.1497,0.17327,0.1441,0.15092,4.30670078125,4.029871640625,4.50055078125,4.46712416015625
12,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,129,0.1223,0.1471,0.1671,0.18277,4.476919921875,4.22655068359375,4.26883203125,4.2129860546875
13,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,139,0.1418,0.163,0.1767,0.20143,4.6174865234375,4.305184052734375,4.1405306640625,4.0640466015625
14,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,149,0.142,0.16824,0.194,0.22242,4.9027904296875,4.5343443359375,3.9137173828125,3.800772841796875
15,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,159,0.0719,0.08857,0.1979,0.22657,6.179746875,5.9339955859375,3.860896875,3.73575810546875
