,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,9,0.0112,0.01106,0.005,0.00442,5.245377734375,5.24587484375,5.298437890625,5.29846580078125
1,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,19,0.021,0.022,0.0087,0.00818,5.2021869140625,5.1922655078125,5.288803515625,5.28884376953125
2,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,29,0.0476,0.04957,0.0135,0.01315,4.8428087890625,4.81639453125,5.2673720703125,5.2672866015625
3,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,39,0.0587,0.06592,0.0185,0.01898,4.7411216796875,4.69456916015625,5.235259375,5.23456873046875
4,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,49,0.087,0.09213,0.0331,0.03475,4.79785859375,4.70282845703125,5.189432421875,5.18750654296875
5,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,59,0.0663,0.07128,0.0676,0.06784,6.1042734375,5.98258037109375,5.0979251953125,5.09308271484375
6,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,69,0.0741,0.08204,0.0882,0.09321,6.5259470703125,6.3458808203125,5.0141658203125,5.00465814453125
7,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,79,0.0976,0.10808,0.1054,0.11337,5.5657294921875,5.35157333984375,4.93183359375,4.91725779296875
8,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,89,0.0726,0.08547,0.1112,0.12164,7.0827048828125,6.81163572265625,4.89103671875,4.87241896484375
9,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,99,0.0754,0.09506,0.126,0.13494,8.21718046875,7.7690928125,4.827405078125,4.80123037109375
10,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,109,0.0807,0.09421,0.1365,0.1481,8.768532421875,8.25488310546875,4.7265197265625,4.69001478515625
11,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,119,0.1142,0.14002,0.1425,0.16519,4.9711611328125,4.62767328125,4.63247265625,4.581148515625
12,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,129,0.0965,0.11582,0.1505,0.184,5.209925390625,4.91517890625,4.4184298828125,4.334640234375
13,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,139,0.106,0.13087,0.1617,0.19454,5.5915244140625,5.16764421875,4.312753125,4.2026053125
14,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,149,0.1101,0.13556,0.1711,0.20398,6.0564236328125,5.6137246875,4.11139140625,3.952120576171875
15,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,159,0.0695,0.08358,0.1707,0.20709,6.874905859375,6.56854912109375,4.0733158203125,3.90278333984375
16,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,169,0.0652,0.08329,0.1729,0.21231,7.1389279296875,6.8399745703125,4.013211328125,3.825351171875
17,TinyImageNet,feddecorr,0,0.5,100,0.01,5,1,179,0.0901,0.10676,0.1738,0.21632,7.7901181640625,7.3041358203125,3.952708203125,3.744569033203125
