,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,9,0.0092,0.00905,0.0047,0.00486,5.3872615234375,5.388026015625,5.299430859375,5.29946021484375
1,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,19,0.0236,0.02435,0.0057,0.00531,5.2778673828125,5.277704921875,5.2969439453125,5.2970566796875
2,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,29,0.0368,0.04021,0.0071,0.00666,5.32981484375,5.31410267578125,5.2882927734375,5.28827482421875
3,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,39,0.0475,0.04977,0.0108,0.01023,5.9220044921875,5.92142732421875,5.2699927734375,5.26955740234375
4,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,49,0.0588,0.06479,0.0171,0.01656,5.411761328125,5.3479433203125,5.251765625,5.25087330078125
5,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,59,0.0536,0.06064,0.0329,0.03521,6.180475390625,6.07093615234375,5.2029337890625,5.20065064453125
6,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,69,0.0613,0.07046,0.0645,0.072,6.2213875,6.037016484375,5.1153810546875,5.1100078515625
7,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,79,0.1038,0.11969,0.0897,0.10016,5.0765345703125,4.84507451171875,5.047895703125,5.03832138671875
8,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,89,0.0719,0.07988,0.1096,0.1206,6.854915234375,6.595689140625,4.98085390625,4.966352734375
9,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,99,0.1228,0.15228,0.1276,0.14135,4.806622265625,4.45996916015625,4.8973931640625,4.8755426953125
10,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,109,0.0908,0.10639,0.1387,0.1561,8.39146328125,7.970905,4.7828677734375,4.75011404296875
11,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,119,0.1027,0.12546,0.1513,0.17243,5.9234880859375,5.534798515625,4.574615234375,4.51910232421875
12,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,129,0.1088,0.13866,0.1598,0.18544,5.2466732421875,4.87980568359375,4.397944921875,4.31719859375
13,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,139,0.0709,0.08349,0.1648,0.1935,6.951387890625,6.618139765625,4.2723845703125,4.1696307421875
14,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,149,0.0833,0.09851,0.1706,0.19632,6.903848046875,6.5268941015625,4.2578017578125,4.15063375
15,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,159,0.0821,0.09653,0.1718,0.20255,7.0611873046875,6.68404943359375,4.07660244140625,3.932100048828125
16,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,169,0.0654,0.07793,0.1751,0.20694,6.887428515625,6.62165703125,4.005587890625,3.843413623046875
17,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,179,0.0711,0.09031,0.1767,0.21054,6.283642578125,5.94551109375,3.9184513671875,3.7289825390625
18,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,189,0.1181,0.14898,0.1779,0.21269,6.637398046875,6.05276544921875,3.89815400390625,3.6998388671875
19,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,199,0.0958,0.11909,0.181,0.21772,7.180785546875,6.6453820703125,3.84633837890625,3.61710396484375
20,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,209,0.0846,0.10276,0.1813,0.22171,6.6084783203125,6.22403216796875,3.82275400390625,3.574562333984375
21,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,219,0.0801,0.09993,0.1861,0.22616,6.8955400390625,6.49383501953125,3.79981357421875,3.532989453125
22,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,229,0.1013,0.11667,0.1871,0.22848,6.5983828125,6.15687447265625,3.78088525390625,3.504603828125
23,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,239,0.1314,0.16803,0.1923,0.23384,5.3968154296875,4.83499890625,3.7598125,3.44765359375
24,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,249,0.1296,0.16412,0.1938,0.23939,5.1202322265625,4.630171875,3.7483693359375,3.399415703125
25,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,259,0.0826,0.10348,0.1937,0.24206,6.4295552734375,6.03775970703125,3.74624375,3.387159599609375
26,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,269,0.1141,0.14214,0.196,0.24298,5.2237359375,4.819211171875,3.7364390625,3.380258701171875
27,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,279,0.1187,0.16012,0.1975,0.24415,5.996109375,5.46057177734375,3.73335478515625,3.364433642578125
28,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,289,0.0965,0.12362,0.201,0.24766,7.1832791015625,6.6020878125,3.72503642578125,3.341780888671875
29,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,299,0.0771,0.10041,0.1983,0.2496,6.9212259765625,6.5296273046875,3.7206138671875,3.330113818359375
30,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,309,0.0929,0.11938,0.203,0.24945,6.468665625,6.0307708203125,3.71197568359375,3.3261826953125
31,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,319,0.1291,0.16566,0.205,0.25106,5.1782818359375,4.67777150390625,3.7073921875,3.31896583984375
32,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,329,0.0836,0.10586,0.2037,0.25212,6.335674609375,5.9076701953125,3.69798330078125,3.3084259375
33,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,339,0.116,0.14756,0.2059,0.25549,5.3532734375,4.8989935546875,3.6929865234375,3.297310126953125
34,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,349,0.0911,0.11438,0.2033,0.25537,6.4589013671875,6.0140291015625,3.68621884765625,3.29447826171875
35,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,359,0.0905,0.11085,0.2025,0.25708,6.408565625,5.9389354296875,3.67837294921875,3.28569392578125
36,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,369,0.0978,0.1228,0.2041,0.25851,6.8284158203125,6.28122216796875,3.6749822265625,3.274048857421875
37,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,379,0.0877,0.11008,0.2068,0.2611,6.987444140625,6.54270744140625,3.6755642578125,3.263014287109375
38,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,389,0.0916,0.11615,0.2056,0.26242,6.87471171875,6.420446640625,3.667643359375,3.254898291015625
39,TinyImageNet,feddecorr,0,0.5,100,0.01,5,2,399,0.1496,0.19211,0.2091,0.26593,4.9238974609375,4.3165809765625,3.66668515625,3.238814453125
