,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,9,0.0192,0.01907,0.0125,0.01168,5.0756189453125,5.0755933984375,5.2707103515625,5.27058986328125
1,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,19,0.046,0.05013,0.0389,0.03986,4.773041015625,4.7566793359375,5.0545279296875,5.05105267578125
2,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,29,0.081,0.08692,0.0635,0.06521,4.50099375,4.46122453125,4.7999306640625,4.78426716796875
3,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,39,0.1089,0.12099,0.0977,0.10426,4.2954076171875,4.2172473046875,4.5270271484375,4.49042767578125
4,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,49,0.1278,0.14212,0.131,0.14188,4.192471875,4.048332412109375,4.233280078125,4.15446216796875
5,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,59,0.1498,0.17246,0.1542,0.17309,4.06903037109375,3.852294326171875,4.051648046875,3.90314173828125
6,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,69,0.151,0.18172,0.1668,0.19489,4.10679765625,3.80963228515625,3.95931796875,3.744953359375
7,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,79,0.1638,0.20651,0.179,0.21381,4.06014287109375,3.672191962890625,3.9034826171875,3.60692666015625
8,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,89,0.1738,0.21503,0.1878,0.2329,4.2030041015625,3.710578515625,3.87978486328125,3.48733708984375
9,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,99,0.1829,0.22745,0.1953,0.2465,4.116396484375,3.577014111328125,3.8732876953125,3.3996146875
10,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,109,0.1792,0.24203,0.2007,0.25845,4.2305048828125,3.55716822265625,3.9072484375,3.333184345703125
11,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,119,0.1895,0.24813,0.2039,0.26703,4.190094921875,3.4898795703125,3.94301337890625,3.291629013671875
12,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,129,0.1936,0.2638,0.2068,0.27762,4.2726728515625,3.45361189453125,3.9890830078125,3.248667490234375
13,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,139,0.1852,0.26026,0.2072,0.28577,4.2405271484375,3.41455021484375,4.01219638671875,3.197886845703125
14,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,149,0.1973,0.27479,0.2102,0.2942,4.1984203125,3.315786123046875,4.0153640625,3.1444007421875
15,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,159,0.2031,0.28506,0.2137,0.30196,4.25334140625,3.29045212890625,4.04479814453125,3.1084470703125
16,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,169,0.1995,0.29052,0.2126,0.30975,4.375910546875,3.287520732421875,4.067290234375,3.0666448828125
17,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,179,0.1911,0.26915,0.2151,0.31617,4.36225390625,3.40175046875,4.103082421875,3.031922060546875
18,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,189,0.2004,0.28852,0.2191,0.32206,4.3726962890625,3.2716530078125,4.1100197265625,2.999436728515625
19,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,199,0.2086,0.29774,0.2217,0.32558,4.4834525390625,3.29651908203125,4.1142291015625,2.9695215234375
20,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,209,0.2045,0.29742,0.2236,0.32983,4.420779296875,3.231007080078125,4.1110580078125,2.940440146484375
21,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,219,0.2084,0.31565,0.2228,0.33623,4.2415728515625,3.063373232421875,4.1348501953125,2.914268232421875
22,TinyImageNet,feddecorr,0,0.5,100,0.1,5,1,229,0.2027,0.30441,0.2233,0.33982,4.4109869140625,3.189338984375,4.1350705078125,2.88846912109375
