,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddyn,0,0,100,0.01,5,1,9,0.0238,0.02533,0.0056,0.00601,5.016023828125,5.00717462890625,5.2971923828125,5.29716267578125
1,TinyImageNet,feddyn,0,0,100,0.01,5,1,19,0.0444,0.04989,0.0114,0.01144,4.8233224609375,4.78974521484375,5.28349609375,5.28330283203125
2,TinyImageNet,feddyn,0,0,100,0.01,5,1,29,0.0744,0.08236,0.0184,0.02065,4.6133306640625,4.5593725390625,5.257103515625,5.25599853515625
3,TinyImageNet,feddyn,0,0,100,0.01,5,1,39,0.0873,0.09604,0.0358,0.03907,4.5826353515625,4.47365703125,5.217946875,5.21525435546875
4,TinyImageNet,feddyn,0,0,100,0.01,5,1,49,0.0967,0.11105,0.0486,0.05585,4.8127228515625,4.642590234375,5.168580078125,5.16350353515625
5,TinyImageNet,feddyn,0,0,100,0.01,5,1,59,0.0795,0.09816,0.0763,0.08158,5.456869921875,5.23139265625,5.0668216796875,5.05599357421875
6,TinyImageNet,feddyn,0,0,100,0.01,5,1,69,0.0909,0.10202,0.0982,0.10838,5.3946107421875,5.19219955078125,4.959870703125,4.94068404296875
7,TinyImageNet,feddyn,0,0,100,0.01,5,1,79,0.1204,0.14455,0.1183,0.13174,5.3152462890625,4.97149740234375,4.844362890625,4.8154288671875
8,TinyImageNet,feddyn,0,0,100,0.01,5,1,89,0.0899,0.11099,0.1258,0.143,5.5731560546875,5.2607658984375,4.773518359375,4.73855400390625
9,TinyImageNet,feddyn,0,0,100,0.01,5,1,99,0.0958,0.11751,0.1397,0.15926,7.4270283203125,6.93876205078125,4.6704953125,4.6258809765625
10,TinyImageNet,feddyn,0,0,100,0.01,5,1,109,0.1107,0.14349,0.1494,0.17193,7.059578125,6.43878466796875,4.529146875,4.4690940234375
11,TinyImageNet,feddyn,0,0,100,0.01,5,1,119,0.134,0.17124,0.1592,0.18422,4.6734810546875,4.254604853515625,4.428257421875,4.35021427734375
12,TinyImageNet,feddyn,0,0,100,0.01,5,1,129,0.1267,0.16476,0.1713,0.20061,4.7595328125,4.31920693359375,4.1909130859375,4.072353466796875
13,TinyImageNet,feddyn,0,0,100,0.01,5,1,139,0.1446,0.18191,0.1761,0.21092,4.990408984375,4.4507389453125,4.092218359375,3.947971923828125
14,TinyImageNet,feddyn,0,0,100,0.01,5,1,149,0.1338,0.17932,0.1795,0.22217,5.3975814453125,4.7436939453125,3.9088744140625,3.706672822265625
15,TinyImageNet,feddyn,0,0,100,0.01,5,1,159,0.1104,0.1388,0.1861,0.22734,5.2387814453125,4.82439357421875,3.8682373046875,3.64952501953125
16,TinyImageNet,feddyn,0,0,100,0.01,5,1,169,0.1178,0.14738,0.1914,0.23432,5.187689453125,4.77653537109375,3.81624033203125,3.573472431640625
17,TinyImageNet,feddyn,0,0,100,0.01,5,1,179,0.1259,0.15977,0.1928,0.239,6.313005859375,5.6452178125,3.76928173828125,3.50234958984375
18,TinyImageNet,feddyn,0,0,100,0.01,5,1,189,0.1616,0.21811,0.1971,0.24741,4.7098326171875,4.0472512109375,3.713650390625,3.390271787109375
19,TinyImageNet,feddyn,0,0,100,0.01,5,1,199,0.1168,0.14778,0.2001,0.25289,5.3196474609375,4.79690275390625,3.6885208984375,3.35091296875
20,TinyImageNet,feddyn,0,0,100,0.01,5,1,209,0.1615,0.2081,0.2056,0.25887,4.7450525390625,4.151275078125,3.66714873046875,3.288909970703125
21,TinyImageNet,feddyn,0,0,100,0.01,5,1,219,0.1309,0.16256,0.2058,0.26339,5.3338767578125,4.79462732421875,3.66595048828125,3.245069775390625
22,TinyImageNet,feddyn,0,0,100,0.01,5,1,229,0.1693,0.22823,0.2111,0.26828,4.6559005859375,3.96653818359375,3.6506775390625,3.2164593359375
23,TinyImageNet,feddyn,0,0,100,0.01,5,1,239,0.1237,0.15386,0.2147,0.27389,5.43819765625,4.932920244140625,3.6580861328125,3.18288697265625
24,TinyImageNet,feddyn,0,0,100,0.01,5,1,249,0.1365,0.17946,0.2152,0.2768,5.309912890625,4.7265932421875,3.6538181640625,3.168725576171875
25,TinyImageNet,feddyn,0,0,100,0.01,5,1,259,0.1519,0.19573,0.2137,0.27842,4.4429611328125,3.9520959765625,3.63449951171875,3.159814072265625
26,TinyImageNet,feddyn,0,0,100,0.01,5,1,269,0.153,0.19218,0.2149,0.28043,4.43813125,3.987093251953125,3.63983515625,3.1504019921875
27,TinyImageNet,feddyn,0,0,100,0.01,5,1,279,0.1622,0.21905,0.2201,0.28141,4.574251953125,3.967603466796875,3.626979296875,3.141626337890625
28,TinyImageNet,feddyn,0,0,100,0.01,5,1,289,0.1625,0.2189,0.2212,0.28317,4.9301072265625,4.2565417578125,3.60798798828125,3.134721689453125
29,TinyImageNet,feddyn,0,0,100,0.01,5,1,299,0.1402,0.18402,0.2212,0.28389,5.011573046875,4.4803990625,3.59073544921875,3.133809599609375
30,TinyImageNet,feddyn,0,0,100,0.01,5,1,309,0.125,0.1563,0.2227,0.28712,4.8247029296875,4.450074091796875,3.58485400390625,3.1183618359375
31,TinyImageNet,feddyn,0,0,100,0.01,5,1,319,0.1706,0.22553,0.2254,0.28864,4.3428654296875,3.80372328125,3.56629453125,3.106786796875
32,TinyImageNet,feddyn,0,0,100,0.01,5,1,329,0.18,0.24111,0.2228,0.29014,5.120483203125,4.33242779296875,3.5546267578125,3.1010592578125
33,TinyImageNet,feddyn,0,0,100,0.01,5,1,339,0.1357,0.18833,0.2252,0.29122,5.5395787109375,4.8628312890625,3.5463,3.08928798828125
