,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddyn,0,0,100,0.01,5,3,9,0.0202,0.01952,0.0054,0.00509,5.0644572265625,5.0639890234375,5.2986828125,5.298748828125
1,TinyImageNet,feddyn,0,0,100,0.01,5,3,19,0.0406,0.04202,0.0067,0.00579,4.8188623046875,4.803234296875,5.29284765625,5.29297072265625
2,TinyImageNet,feddyn,0,0,100,0.01,5,3,29,0.0543,0.05428,0.0144,0.01462,4.743149609375,4.71574873046875,5.2707095703125,5.2706166015625
3,TinyImageNet,feddyn,0,0,100,0.01,5,3,39,0.0634,0.07237,0.0223,0.02296,4.5279009765625,4.49779994140625,5.2529662109375,5.2523905078125
4,TinyImageNet,feddyn,0,0,100,0.01,5,3,49,0.1087,0.11317,0.0311,0.03259,4.340293359375,4.26809046875,5.2261515625,5.22478798828125
5,TinyImageNet,feddyn,0,0,100,0.01,5,3,59,0.084,0.08598,0.0464,0.05039,4.6649365234375,4.5945774609375,5.174491015625,5.171667421875
6,TinyImageNet,feddyn,0,0,100,0.01,5,3,69,0.1011,0.11374,0.0721,0.07457,4.5852712890625,4.46055515625,5.1038087890625,5.098821015625
7,TinyImageNet,feddyn,0,0,100,0.01,5,3,79,0.1213,0.14002,0.1029,0.10868,4.3830146484375,4.21505900390625,5.005302734375,4.99612349609375
8,TinyImageNet,feddyn,0,0,100,0.01,5,3,89,0.1214,0.13995,0.131,0.1409,4.5599740234375,4.35090365234375,4.8589556640625,4.84178876953125
9,TinyImageNet,feddyn,0,0,100,0.01,5,3,99,0.1483,0.17821,0.1513,0.16837,4.195216015625,3.9279740625,4.654278125,4.6235164453125
10,TinyImageNet,feddyn,0,0,100,0.01,5,3,109,0.1568,0.18248,0.1698,0.19069,4.166460546875,3.903793076171875,4.427556640625,4.3754516015625
11,TinyImageNet,feddyn,0,0,100,0.01,5,3,119,0.137,0.17085,0.1854,0.2125,4.8905220703125,4.5015019140625,4.176644921875,4.09149802734375
12,TinyImageNet,feddyn,0,0,100,0.01,5,3,129,0.1471,0.17578,0.1939,0.22632,4.7835607421875,4.390501640625,4.01669521484375,3.901147119140625
13,TinyImageNet,feddyn,0,0,100,0.01,5,3,139,0.1495,0.17845,0.1975,0.23298,4.7252416015625,4.33893806640625,3.96425537109375,3.834680693359375
14,TinyImageNet,feddyn,0,0,100,0.01,5,3,149,0.1556,0.19215,0.2032,0.24417,4.5841376953125,4.1388783203125,3.83784072265625,3.674073056640625
15,TinyImageNet,feddyn,0,0,100,0.01,5,3,159,0.1765,0.22707,0.2045,0.25018,4.2366650390625,3.76964607421875,3.75222431640625,3.560069140625
16,TinyImageNet,feddyn,0,0,100,0.01,5,3,169,0.1439,0.1864,0.2086,0.25731,4.7187412109375,4.244723388671875,3.698845703125,3.48046666015625
17,TinyImageNet,feddyn,0,0,100,0.01,5,3,179,0.1879,0.25089,0.2151,0.26716,4.509376171875,3.822509365234375,3.61978359375,3.34869974609375
18,TinyImageNet,feddyn,0,0,100,0.01,5,3,189,0.178,0.24037,0.2177,0.27295,4.26339609375,3.67670755859375,3.59353212890625,3.29517185546875
19,TinyImageNet,feddyn,0,0,100,0.01,5,3,199,0.1793,0.2593,0.2174,0.27821,4.5434185546875,3.774986611328125,3.58189912109375,3.267861767578125
20,TinyImageNet,feddyn,0,0,100,0.01,5,3,209,0.142,0.19535,0.2227,0.28824,4.4510994140625,3.9510604296875,3.546891015625,3.159576552734375
21,TinyImageNet,feddyn,0,0,100,0.01,5,3,219,0.1851,0.25277,0.2251,0.29269,4.308732421875,3.65599458984375,3.5331517578125,3.115422763671875
22,TinyImageNet,feddyn,0,0,100,0.01,5,3,229,0.1364,0.17913,0.2259,0.29591,4.67299921875,4.182779228515625,3.52623115234375,3.094684296875
23,TinyImageNet,feddyn,0,0,100,0.01,5,3,239,0.1706,0.23809,0.2261,0.29706,4.1862076171875,3.60955328125,3.5196302734375,3.08575400390625
24,TinyImageNet,feddyn,0,0,100,0.01,5,3,249,0.1732,0.23027,0.2267,0.2993,4.23957734375,3.67526369140625,3.51576611328125,3.07718265625
25,TinyImageNet,feddyn,0,0,100,0.01,5,3,259,0.161,0.21019,0.2304,0.30183,4.6523234375,4.04779771484375,3.5182296875,3.050598125
26,TinyImageNet,feddyn,0,0,100,0.01,5,3,269,0.1888,0.25654,0.2308,0.30713,4.0773314453125,3.443157890625,3.52484990234375,3.015595908203125
27,TinyImageNet,feddyn,0,0,100,0.01,5,3,279,0.1525,0.20023,0.2325,0.31134,4.5427267578125,3.9967466796875,3.5196744140625,3.000374091796875
28,TinyImageNet,feddyn,0,0,100,0.01,5,3,289,0.1543,0.20284,0.2303,0.31566,4.6438541015625,4.0683296875,3.517769921875,2.9789871875
29,TinyImageNet,feddyn,0,0,100,0.01,5,3,299,0.1713,0.22878,0.2301,0.31828,4.1862697265625,3.63420625,3.5159111328125,2.959300546875
30,TinyImageNet,feddyn,0,0,100,0.01,5,3,309,0.1614,0.20805,0.2314,0.31839,4.3990677734375,3.870973662109375,3.512161328125,2.9558073828125
31,TinyImageNet,feddyn,0,0,100,0.01,5,3,319,0.1512,0.20153,0.237,0.32175,4.7054783203125,4.1155357421875,3.5173115234375,2.9350304296875
32,TinyImageNet,feddyn,0,0,100,0.01,5,3,329,0.1694,0.23544,0.2387,0.32382,4.3314513671875,3.711088134765625,3.50884541015625,2.923044560546875
33,TinyImageNet,feddyn,0,0,100,0.01,5,3,339,0.1941,0.26863,0.2404,0.3264,4.02705,3.40671427734375,3.54124833984375,2.913088583984375
34,TinyImageNet,feddyn,0,0,100,0.01,5,3,349,0.1962,0.27227,0.2383,0.3268,4.129797265625,3.427468466796875,3.5337095703125,2.914168740234375
35,TinyImageNet,feddyn,0,0,100,0.01,5,3,359,0.1846,0.25848,0.2398,0.3283,4.498036328125,3.740505283203125,3.52543291015625,2.90310267578125
36,TinyImageNet,feddyn,0,0,100,0.01,5,3,369,0.1797,0.25092,0.2405,0.32931,4.460470703125,3.7471240234375,3.51955947265625,2.901065361328125
37,TinyImageNet,feddyn,0,0,100,0.01,5,3,379,0.1589,0.2169,0.2413,0.33027,5.035939453125,4.31561890625,3.50623896484375,2.8987823046875
38,TinyImageNet,feddyn,0,0,100,0.01,5,3,389,0.1603,0.21751,0.2435,0.33137,5.38080625,4.53964203125,3.4997162109375,2.89148173828125
