,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddyn,0,0,100,0.01,5,4,9,0.019,0.01834,0.0064,0.00605,5.2301138671875,5.21980892578125,5.29859453125,5.2986171875
1,TinyImageNet,feddyn,0,0,100,0.01,5,4,19,0.0326,0.03549,0.0086,0.00807,5.269271484375,5.22618076171875,5.2937015625,5.2936841796875
2,TinyImageNet,feddyn,0,0,100,0.01,5,4,29,0.042,0.04755,0.0096,0.00979,5.5315912109375,5.438274375,5.2852234375,5.28488587890625
3,TinyImageNet,feddyn,0,0,100,0.01,5,4,39,0.0704,0.08007,0.0124,0.01329,4.90963203125,4.78277025390625,5.273233984375,5.27227158203125
4,TinyImageNet,feddyn,0,0,100,0.01,5,4,49,0.0553,0.06301,0.0298,0.03367,5.879426953125,5.72082294921875,5.2173751953125,5.213293828125
5,TinyImageNet,feddyn,0,0,100,0.01,5,4,59,0.0616,0.07462,0.0457,0.05035,6.373481640625,6.13713404296875,5.1778828125,5.170787734375
6,TinyImageNet,feddyn,0,0,100,0.01,5,4,69,0.0777,0.09363,0.0736,0.0817,5.2364419921875,5.0136904296875,5.07528515625,5.0591904296875
7,TinyImageNet,feddyn,0,0,100,0.01,5,4,79,0.0867,0.11103,0.0841,0.09383,5.35913125,5.04398783203125,5.0191208984375,4.99674263671875
8,TinyImageNet,feddyn,0,0,100,0.01,5,4,89,0.0656,0.08049,0.0887,0.10342,5.9268123046875,5.6725810546875,4.97726796875,4.948772890625
9,TinyImageNet,feddyn,0,0,100,0.01,5,4,99,0.0787,0.09675,0.1038,0.1227,5.65518125,5.35260927734375,4.8210453125,4.7701601171875
10,TinyImageNet,feddyn,0,0,100,0.01,5,4,109,0.0866,0.11195,0.1145,0.13635,5.24997890625,4.88418912109375,4.738245703125,4.6723520703125
11,TinyImageNet,feddyn,0,0,100,0.01,5,4,119,0.0757,0.09327,0.1188,0.14434,5.8013578125,5.47601634765625,4.6683560546875,4.589982265625
12,TinyImageNet,feddyn,0,0,100,0.01,5,4,129,0.0858,0.10745,0.1259,0.14965,6.0931626953125,5.70156369140625,4.58918828125,4.498110234375
13,TinyImageNet,feddyn,0,0,100,0.01,5,4,139,0.083,0.10854,0.1314,0.15736,5.9020615234375,5.46074197265625,4.54258359375,4.443941015625
14,TinyImageNet,feddyn,0,0,100,0.01,5,4,149,0.0836,0.10869,0.1348,0.16013,6.45829765625,5.9723202734375,4.5260640625,4.4219923046875
15,TinyImageNet,feddyn,0,0,100,0.01,5,4,159,0.0836,0.10782,0.1365,0.1654,5.8131865234375,5.486417421875,4.44928203125,4.32696994140625
16,TinyImageNet,feddyn,0,0,100,0.01,5,4,169,0.0955,0.11822,0.1372,0.16936,6.677467578125,6.19675849609375,4.4096013671875,4.28055017578125
17,TinyImageNet,feddyn,0,0,100,0.01,5,4,179,0.0921,0.12377,0.141,0.17181,6.070842578125,5.5900766015625,4.353440234375,4.21353275390625
18,TinyImageNet,feddyn,0,0,100,0.01,5,4,189,0.1129,0.14858,0.1396,0.17582,5.66349921875,5.17284400390625,4.3073625,4.157146796875
19,TinyImageNet,feddyn,0,0,100,0.01,5,4,199,0.103,0.13623,0.1422,0.18116,6.4663234375,5.8987051171875,4.2532912109375,4.0944473046875
20,TinyImageNet,feddyn,0,0,100,0.01,5,4,209,0.0966,0.12878,0.1452,0.18415,5.96522109375,5.41430248046875,4.19111328125,4.01551462890625
21,TinyImageNet,feddyn,0,0,100,0.01,5,4,219,0.0796,0.10108,0.1467,0.19028,5.548444921875,5.2191645703125,4.1352705078125,3.938999951171875
22,TinyImageNet,feddyn,0,0,100,0.01,5,4,229,0.1185,0.16005,0.1524,0.19532,4.894012890625,4.4247330078125,4.0902994140625,3.880283232421875
23,TinyImageNet,feddyn,0,0,100,0.01,5,4,239,0.0886,0.11616,0.1566,0.20173,5.70456796875,5.27810822265625,4.0042689453125,3.757220595703125
24,TinyImageNet,feddyn,0,0,100,0.01,5,4,249,0.1,0.12593,0.1622,0.20713,5.66566953125,5.26084396484375,3.9626111328125,3.700238818359375
25,TinyImageNet,feddyn,0,0,100,0.01,5,4,259,0.1277,0.17128,0.17,0.21418,5.1010482421875,4.52849427734375,3.92026689453125,3.647002412109375
26,TinyImageNet,feddyn,0,0,100,0.01,5,4,269,0.1015,0.13516,0.1705,0.21673,5.7719056640625,5.28361869140625,3.9128951171875,3.64423412109375
27,TinyImageNet,feddyn,0,0,100,0.01,5,4,279,0.1335,0.18071,0.1727,0.22146,5.0846880859375,4.460720537109375,3.87144443359375,3.57966443359375
