,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddyn,0,0,100,0.1,5,3,9,0.0399,0.04237,0.0225,0.02416,4.87080234375,4.85074046875,5.2106470703125,5.208807734375
1,TinyImageNet,feddyn,0,0,100,0.1,5,3,19,0.0568,0.07,0.051,0.06319,4.902358984375,4.7216155078125,4.8640404296875,4.8179512109375
2,TinyImageNet,feddyn,0,0,100,0.1,5,3,29,0.0705,0.08733,0.0722,0.08876,5.1489255859375,4.75955603515625,4.72272265625,4.5527098828125
3,TinyImageNet,feddyn,0,0,100,0.1,5,3,39,0.0687,0.08853,0.0764,0.09967,5.3869234375,4.85693666015625,4.7758912109375,4.4504483984375
4,TinyImageNet,feddyn,0,0,100,0.1,5,3,49,0.0734,0.10364,0.0783,0.10946,5.4418064453125,4.793521484375,4.82821171875,4.3765160546875
5,TinyImageNet,feddyn,0,0,100,0.1,5,3,59,0.082,0.11263,0.0879,0.12018,5.480297265625,4.71521087890625,5.0024712890625,4.379424140625
6,TinyImageNet,feddyn,0,0,100,0.1,5,3,69,0.0867,0.12165,0.0956,0.13042,5.3930806640625,4.6196290234375,5.1032751953125,4.3513486328125
7,TinyImageNet,feddyn,0,0,100,0.1,5,3,79,0.0956,0.13725,0.103,0.14592,5.5639490234375,4.62175556640625,5.0623755859375,4.2330227734375
8,TinyImageNet,feddyn,0,0,100,0.1,5,3,89,0.1068,0.15509,0.1081,0.16021,5.5379236328125,4.52007794921875,4.9367783203125,4.079841904296875
9,TinyImageNet,feddyn,0,0,100,0.1,5,3,99,0.1083,0.15946,0.1169,0.17315,5.449200390625,4.4293357421875,4.90771796875,3.9915147265625
10,TinyImageNet,feddyn,0,0,100,0.1,5,3,109,0.1117,0.16972,0.1223,0.1853,5.5081541015625,4.40988244140625,4.9609609375,3.959475498046875
11,TinyImageNet,feddyn,0,0,100,0.1,5,3,119,0.1221,0.1819,0.1317,0.19851,5.4376142578125,4.31112408203125,4.938923828125,3.878684970703125
12,TinyImageNet,feddyn,0,0,100,0.1,5,3,129,0.1328,0.19882,0.1375,0.21168,5.3369078125,4.14360265625,4.9159478515625,3.809274814453125
13,TinyImageNet,feddyn,0,0,100,0.1,5,3,139,0.1245,0.19217,0.141,0.22082,5.15815546875,4.0759809765625,4.8784759765625,3.7328162109375
14,TinyImageNet,feddyn,0,0,100,0.1,5,3,149,0.1365,0.2154,0.1471,0.23205,5.228566015625,4.00638421875,4.847415234375,3.666744599609375
15,TinyImageNet,feddyn,0,0,100,0.1,5,3,159,0.1401,0.22102,0.1491,0.24107,5.3337845703125,4.08183462890625,4.7208466796875,3.57455568359375
16,TinyImageNet,feddyn,0,0,100,0.1,5,3,169,0.1445,0.22882,0.1557,0.24767,5.3022455078125,3.96619052734375,4.8156541015625,3.583875966796875
17,TinyImageNet,feddyn,0,0,100,0.1,5,3,179,0.1537,0.24275,0.1626,0.25658,5.291628515625,3.88776609375,4.8009400390625,3.50678908203125
18,TinyImageNet,feddyn,0,0,100,0.1,5,3,189,0.1486,0.24251,0.163,0.27072,5.1720421875,3.8012412890625,4.7605798828125,3.4153821484375
19,TinyImageNet,feddyn,0,0,100,0.1,5,3,199,0.1472,0.23112,0.1691,0.27278,5.1350419921875,3.881254599609375,4.7030677734375,3.373928623046875
20,TinyImageNet,feddyn,0,0,100,0.1,5,3,209,0.1601,0.25287,0.1691,0.278,5.1334708984375,3.759849931640625,4.6563900390625,3.346205400390625
21,TinyImageNet,feddyn,0,0,100,0.1,5,3,219,0.1606,0.25192,0.1738,0.28167,5.133095703125,3.75522423828125,4.6997349609375,3.346735263671875
22,TinyImageNet,feddyn,0,0,100,0.1,5,3,229,0.1536,0.24751,0.1791,0.2852,5.315881640625,3.897417421875,4.718834375,3.325199580078125
23,TinyImageNet,feddyn,0,0,100,0.1,5,3,239,0.1544,0.25161,0.1768,0.28922,5.2139037109375,3.793479306640625,4.7107083984375,3.2979937109375
24,TinyImageNet,feddyn,0,0,100,0.1,5,3,249,0.1658,0.27144,0.1824,0.29644,5.049430078125,3.58374615234375,4.7105171875,3.25571560546875
25,TinyImageNet,feddyn,0,0,100,0.1,5,3,259,0.1754,0.28292,0.1827,0.30181,4.97436484375,3.474067177734375,4.7043478515625,3.21892755859375
26,TinyImageNet,feddyn,0,0,100,0.1,5,3,269,0.1734,0.28454,0.1882,0.31014,4.988720703125,3.4704763671875,4.6691845703125,3.1566961328125
27,TinyImageNet,feddyn,0,0,100,0.1,5,3,279,0.1785,0.28499,0.1878,0.31388,4.9904423828125,3.49668478515625,4.63793828125,3.12565375
28,TinyImageNet,feddyn,0,0,100,0.1,5,3,289,0.1709,0.27715,0.1945,0.31678,4.9498521484375,3.55496447265625,4.55411953125,3.090282060546875
29,TinyImageNet,feddyn,0,0,100,0.1,5,3,299,0.1763,0.28245,0.1936,0.31498,4.9602740234375,3.526102314453125,4.5270931640625,3.098848818359375
