,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,9,0.0096,0.0095,0.0084,0.0085,5.3058208984375,5.3022669921875,5.299275,5.29929587890625
1,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,19,0.0187,0.01826,0.0086,0.00903,5.218312109375,5.22125318359375,5.2934638671875,5.29347359375
2,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,29,0.0353,0.03415,0.0068,0.0074,4.8891154296875,4.8791983984375,5.2790361328125,5.27899126953125
3,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,39,0.0529,0.05667,0.008,0.00942,4.7720634765625,4.7486923046875,5.251253125,5.25103478515625
4,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,49,0.0645,0.06544,0.015,0.0163,4.646496875,4.6219302734375,5.20718203125,5.20631083984375
5,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,59,0.0738,0.08083,0.0322,0.0309,4.991244140625,4.9369955078125,5.1056095703125,5.10341931640625
6,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,69,0.0918,0.09496,0.048,0.04723,4.6614306640625,4.60577935546875,4.993469140625,4.98943958984375
7,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,79,0.1126,0.11768,0.0637,0.06563,4.4722197265625,4.35366826171875,4.876305859375,4.8694132421875
8,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,89,0.0842,0.09409,0.0742,0.07531,5.19693046875,5.06843296875,4.8063140625,4.7960661328125
9,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,99,0.0922,0.1058,0.0875,0.08984,5.6677017578125,5.42852595703125,4.7118513671875,4.69558484375
10,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,109,0.0908,0.10788,0.1031,0.10851,6.2185734375,5.930496484375,4.5890162109375,4.5643530078125
11,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,119,0.1501,0.17516,0.1215,0.13085,4.2873283203125,4.005247861328125,4.473932421875,4.43617041015625
12,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,129,0.1291,0.15716,0.1507,0.16749,4.4514072265625,4.1597720703125,4.2372193359375,4.173213671875
13,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,139,0.1383,0.1676,0.1657,0.18857,4.6405255859375,4.2714848046875,4.1064935546875,4.018922587890625
14,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,149,0.145,0.18029,0.186,0.21499,4.9026291015625,4.42727955078125,3.8894380859375,3.7572898046875
15,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,159,0.0907,0.11546,0.1933,0.22205,5.269126171875,4.93110947265625,3.84333232421875,3.693439921875
16,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,169,0.0933,0.11489,0.1982,0.23054,5.644103515625,5.26800521484375,3.778931640625,3.60505193359375
17,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,179,0.1112,0.1375,0.2053,0.23953,6.446467578125,5.87617376953125,3.71574130859375,3.5116441796875
18,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,189,0.1639,0.21136,0.2097,0.25274,4.4578060546875,3.920755361328125,3.62403017578125,3.357445419921875
19,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,199,0.1009,0.12427,0.2141,0.26005,5.2696576171875,4.89511275390625,3.6064400390625,3.31168490234375
20,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,209,0.1487,0.18855,0.214,0.26682,4.64315390625,4.12373759765625,3.5781275390625,3.238986845703125
21,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,219,0.1028,0.12488,0.218,0.2736,5.86737734375,5.41812744140625,3.558405859375,3.17537791015625
22,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,229,0.1706,0.2235,0.2192,0.27917,4.5579501953125,3.92196771484375,3.5407470703125,3.137257724609375
23,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,239,0.1018,0.12397,0.2226,0.28475,5.5767552734375,5.1384339453125,3.54924990234375,3.100450537109375
24,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,249,0.112,0.13729,0.2247,0.28833,5.9201701171875,5.39391154296875,3.5512806640625,3.0812924609375
25,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,259,0.1476,0.18144,0.2271,0.29093,4.58127421875,4.0941894140625,3.5422990234375,3.06787416015625
26,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,269,0.1386,0.17551,0.23,0.29276,4.54581640625,4.0775286328125,3.55261416015625,3.056018515625
27,TinyImageNet,feddyn,0,0.5,100,0.01,5,1,279,0.1586,0.20185,0.2308,0.29557,4.6507455078125,4.074473203125,3.54845009765625,3.045163642578125
