,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,9,0.0125,0.01332,0.0064,0.00629,5.26160625,5.2641337890625,5.298987890625,5.29899455078125
1,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,19,0.0373,0.03968,0.0072,0.00643,4.9884896484375,4.9771723828125,5.293691015625,5.2935849609375
2,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,29,0.0379,0.04082,0.0126,0.01084,5.3800734375,5.34667154296875,5.27001484375,5.2693719921875
3,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,39,0.0613,0.0627,0.0178,0.0184,5.59453515625,5.5437978515625,5.2490072265625,5.24783359375
4,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,49,0.0865,0.09433,0.0294,0.03042,4.852958984375,4.731877265625,5.219351171875,5.21738328125
5,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,59,0.063,0.07352,0.0539,0.05466,6.2580625,6.0838285546875,5.1645578125,5.1609135546875
6,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,69,0.0636,0.07337,0.0776,0.08123,6.6364880859375,6.3925044921875,5.0976453125,5.09038955078125
7,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,79,0.0687,0.08144,0.1025,0.1104,6.72019609375,6.4338931640625,5.015880078125,5.00128134765625
8,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,89,0.0835,0.09658,0.1216,0.13782,6.523696875,6.1813280859375,4.8888478515625,4.86225314453125
9,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,99,0.0978,0.11895,0.1378,0.15714,5.4958060546875,5.1170262890625,4.71861484375,4.67400169921875
10,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,109,0.0916,0.11783,0.1485,0.17091,5.513608984375,5.120749609375,4.5191056640625,4.446396171875
11,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,119,0.0849,0.1022,0.152,0.18356,7.3872189453125,6.91230466796875,4.316942578125,4.20144615234375
12,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,129,0.0799,0.10098,0.1603,0.19068,7.0627013671875,6.6066926953125,4.1960052734375,4.0463183984375
13,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,139,0.084,0.10312,0.1643,0.19481,6.7361126953125,6.27239021484375,4.1536560546875,3.993254404296875
14,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,149,0.0902,0.11144,0.1691,0.20113,6.870479296875,6.3400020703125,4.063176171875,3.8739887890625
15,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,159,0.1191,0.14784,0.1711,0.20599,5.259569921875,4.8108962109375,3.99124736328125,3.778326259765625
16,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,169,0.0865,0.10969,0.1739,0.21031,6.9620388671875,6.4675908203125,3.9465140625,3.719661279296875
17,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,179,0.1362,0.18005,0.1784,0.21747,5.488210546875,4.81725275390625,3.878599609375,3.610748251953125
18,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,189,0.1211,0.1638,0.1824,0.22117,5.491329296875,4.86366166015625,3.85060126953125,3.565256279296875
19,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,199,0.1413,0.19133,0.1796,0.22538,5.5794708984375,4.809791064453125,3.8359357421875,3.546281435546875
20,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,209,0.0931,0.11192,0.1803,0.23476,6.4036619140625,5.9310924609375,3.7990392578125,3.44692693359375
21,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,219,0.1218,0.16254,0.1858,0.23948,5.3902052734375,4.756852421875,3.778501171875,3.411005751953125
22,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,229,0.0832,0.10574,0.1891,0.2428,6.3691486328125,5.91375619140625,3.7660724609375,3.391322265625
23,TinyImageNet,feddyn,0,0.5,100,0.01,5,3,239,0.1177,0.15295,0.1925,0.24252,5.354637890625,4.77979154296875,3.75353916015625,3.396423974609375
