,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,9,0.0166,0.01826,0.007,0.00742,5.0994947265625,5.0971373046875,5.2790697265625,5.278961796875
1,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,19,0.0533,0.05693,0.0348,0.03889,4.6839255859375,4.67368244140625,5.0290349609375,5.026779375
2,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,29,0.1028,0.11022,0.0768,0.08004,4.2694548828125,4.214128203125,4.640201171875,4.627548984375
3,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,39,0.1393,0.16425,0.1339,0.14636,4.09329619140625,3.914028515625,4.197579296875,4.14010251953125
4,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,49,0.1561,0.18356,0.1685,0.19273,4.278623828125,3.9125082421875,3.887698828125,3.710852353515625
5,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,59,0.1642,0.20545,0.1808,0.22032,4.505849609375,3.884658623046875,3.93331943359375,3.533096962890625
6,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,69,0.1688,0.21974,0.1863,0.23945,4.8358400390625,3.98751419921875,4.090611328125,3.4832696484375
7,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,79,0.1735,0.24129,0.1898,0.2569,4.8395673828125,3.7971530078125,4.269386328125,3.43684052734375
8,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,89,0.1861,0.26033,0.1983,0.27636,4.97356484375,3.7623237109375,4.3761119140625,3.348981494140625
9,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,99,0.1872,0.27651,0.2039,0.29651,4.6699052734375,3.486421240234375,4.3358455078125,3.201785400390625
10,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,109,0.1976,0.29383,0.21,0.31213,4.577890234375,3.33686228515625,4.28680078125,3.075593583984375
11,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,119,0.1998,0.30298,0.2166,0.3282,4.5062439453125,3.262349697265625,4.2157138671875,2.977105927734375
12,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,129,0.2029,0.3123,0.2167,0.34018,4.4789234375,3.165123935546875,4.1696888671875,2.895062255859375
13,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,139,0.2059,0.3158,0.2234,0.34663,4.3780005859375,3.102443271484375,4.130799609375,2.830111826171875
14,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,149,0.209,0.32477,0.2237,0.35352,4.3950501953125,3.0749456640625,4.0865146484375,2.78589083984375
15,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,159,0.2134,0.33169,0.2255,0.35775,4.32395703125,3.003575419921875,4.0368037109375,2.74236755859375
16,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,169,0.2163,0.33726,0.2269,0.36432,4.2710009765625,2.93894013671875,4.0468865234375,2.71640943359375
17,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,179,0.2076,0.31947,0.2303,0.3742,4.5238740234375,3.13054751953125,4.0453908203125,2.668402109375
18,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,189,0.2162,0.34082,0.2303,0.37861,4.362762109375,2.9309987109375,4.036321875,2.6267772265625
19,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,199,0.2161,0.3428,0.2342,0.38205,4.354184375,2.913843388671875,4.0280396484375,2.5925884765625
20,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,209,0.2168,0.3463,0.2387,0.38587,4.3626478515625,2.9056443359375,4.0018662109375,2.575295087890625
21,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,219,0.2249,0.36059,0.2347,0.38665,4.269572265625,2.79875166015625,4.0237416015625,2.5734276953125
22,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,229,0.2122,0.33909,0.2372,0.39008,4.3415787109375,2.9512946484375,3.9843380859375,2.54623017578125
23,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,239,0.2188,0.33744,0.2339,0.38697,4.3612591796875,2.973084892578125,4.0174873046875,2.58630109375
24,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,249,0.2105,0.34026,0.2373,0.3874,4.3949349609375,2.95571833984375,4.006109375,2.579714189453125
25,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,259,0.2284,0.36118,0.2434,0.38987,4.2586791015625,2.807544345703125,4.0016052734375,2.55933392578125
26,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,269,0.2273,0.35887,0.2413,0.39042,4.2425142578125,2.812924921875,4.00394794921875,2.560791416015625
27,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,279,0.2259,0.35506,0.2446,0.39573,4.2867841796875,2.86180142578125,3.9703140625,2.532740439453125
28,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,289,0.2252,0.35914,0.2414,0.39735,4.2556033203125,2.820432333984375,3.96262890625,2.526709716796875
29,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,299,0.2189,0.35344,0.2424,0.40036,4.322088671875,2.860023896484375,3.92106162109375,2.49462640625
