,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,9,0.0217,0.02288,0.0121,0.01273,5.026616796875,5.0215587109375,5.256730078125,5.2570757421875
1,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,19,0.0672,0.07392,0.0524,0.05611,4.534198828125,4.51091318359375,4.9169310546875,4.91124544921875
2,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,29,0.1084,0.12182,0.091,0.09961,4.2894052734375,4.16981138671875,4.511033203125,4.48160931640625
3,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,39,0.1257,0.15441,0.1346,0.15231,4.419473828125,4.075818134765625,4.18239453125,4.070147421875
4,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,49,0.1279,0.16411,0.1492,0.1819,4.82801015625,4.2405344140625,4.097147265625,3.77403201171875
5,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,59,0.1399,0.18515,0.1479,0.19834,4.9826677734375,4.17529318359375,4.3062001953125,3.730320478515625
6,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,69,0.1393,0.18851,0.1578,0.21135,5.151383203125,4.239829453125,4.4538486328125,3.7002708984375
7,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,79,0.1446,0.20491,0.1624,0.22501,5.1248470703125,4.0727315625,4.5545689453125,3.650456669921875
8,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,89,0.1445,0.21856,0.1628,0.24218,5.137996875,3.97722978515625,4.60316015625,3.5560960546875
9,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,99,0.1553,0.22835,0.1684,0.25509,4.9327322265625,3.815256015625,4.5297265625,3.425989189453125
10,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,109,0.1634,0.24179,0.1773,0.2672,4.86154609375,3.7211470703125,4.4499119140625,3.336464521484375
11,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,119,0.1646,0.24707,0.1803,0.27608,4.8070060546875,3.68187955078125,4.366298046875,3.2630565625
12,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,129,0.176,0.25869,0.1868,0.28294,4.7607123046875,3.6129630859375,4.3403203125,3.22934341796875
13,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,139,0.1734,0.25605,0.1945,0.28882,4.6922833984375,3.568730224609375,4.3019099609375,3.188944052734375
14,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,149,0.1816,0.26605,0.195,0.2946,4.6925095703125,3.53005560546875,4.2980953125,3.16445056640625
15,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,159,0.1857,0.27493,0.1986,0.30244,4.70790625,3.487222109375,4.26344609375,3.114405673828125
16,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,169,0.1872,0.28207,0.2021,0.30777,4.6384279296875,3.389273388671875,4.2949451171875,3.0972948046875
17,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,179,0.1802,0.27005,0.2021,0.31667,4.9313271484375,3.611038046875,4.2903177734375,3.02959833984375
18,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,189,0.1866,0.2854,0.2096,0.32187,4.7190228515625,3.393872099609375,4.2843056640625,2.993680908203125
19,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,199,0.1862,0.28543,0.2056,0.32394,4.6952548828125,3.3892511328125,4.257964453125,2.963954814453125
20,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,209,0.1843,0.28705,0.2028,0.32505,4.7554169921875,3.3950587109375,4.22309921875,2.948241171875
21,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,219,0.1904,0.30207,0.2102,0.32713,4.52428359375,3.20112333984375,4.2585724609375,2.947168798828125
22,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,229,0.185,0.28713,0.2084,0.33336,4.7292333984375,3.426069150390625,4.2224998046875,2.908679716796875
23,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,239,0.1808,0.28382,0.2059,0.33001,4.8413154296875,3.49499494140625,4.267165234375,2.954356611328125
24,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,249,0.1829,0.28131,0.209,0.33007,4.7355234375,3.42820513671875,4.2757009765625,2.950760888671875
25,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,259,0.1927,0.30339,0.2079,0.33329,4.556262109375,3.233844287109375,4.2719291015625,2.924825419921875
26,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,269,0.1925,0.30194,0.2073,0.33469,4.565383203125,3.23801146484375,4.26470234375,2.917118154296875
27,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,279,0.1867,0.29593,0.2099,0.33656,4.6446359375,3.322330087890625,4.2001177734375,2.883305400390625
28,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,289,0.1973,0.30294,0.209,0.33793,4.59448515625,3.25754853515625,4.191819921875,2.8822026953125
29,TinyImageNet,feddyn,0,0.5,100,0.1,5,1,299,0.1915,0.2984,0.2096,0.3395,4.72442890625,3.330751611328125,4.152581640625,2.84981853515625
