,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedexp,0,0,100,0.01,5,2,9,0.0268,0.0268,0.0047,0.00524,4.995576953125,4.99235453125,5.298692578125,5.2986798046875
1,TinyImageNet,fedexp,0,0,100,0.01,5,2,19,0.0377,0.04312,0.0084,0.00829,4.895494921875,4.87153525390625,5.292991796875,5.29299349609375
2,TinyImageNet,fedexp,0,0,100,0.01,5,2,29,0.0527,0.05765,0.015,0.01455,4.954284375,4.91718953125,5.279518359375,5.2791928125
3,TinyImageNet,fedexp,0,0,100,0.01,5,2,39,0.0695,0.07845,0.0241,0.02573,4.9634232421875,4.91552771484375,5.256859375,5.2560996875
4,TinyImageNet,fedexp,0,0,100,0.01,5,2,49,0.0877,0.09726,0.0337,0.03482,4.9618298828125,4.8405495703125,5.24194921875,5.24076966796875
5,TinyImageNet,fedexp,0,0,100,0.01,5,2,59,0.0923,0.10439,0.0545,0.0595,5.1640568359375,4.96405859375,5.1904041015625,5.18679087890625
6,TinyImageNet,fedexp,0,0,100,0.01,5,2,69,0.0952,0.10833,0.0884,0.09663,5.2364849609375,5.03808685546875,5.0913650390625,5.082349140625
7,TinyImageNet,fedexp,0,0,100,0.01,5,2,79,0.0812,0.09341,0.1122,0.12212,6.0516787109375,5.84735474609375,5.0099796875,4.9960568359375
8,TinyImageNet,fedexp,0,0,100,0.01,5,2,89,0.1087,0.13267,0.1276,0.13961,5.1849763671875,4.90537173828125,4.93360078125,4.91456248046875
9,TinyImageNet,fedexp,0,0,100,0.01,5,2,99,0.0726,0.08181,0.1459,0.16004,4.9973634765625,4.84999818359375,4.8337857421875,4.8058115234375
10,TinyImageNet,fedexp,0,0,100,0.01,5,2,109,0.0981,0.12213,0.1564,0.17741,6.8574556640625,6.46849603515625,4.6909205078125,4.65003494140625
11,TinyImageNet,fedexp,0,0,100,0.01,5,2,119,0.1024,0.12349,0.1747,0.19858,7.007871875,6.5492493359375,4.4291267578125,4.36126958984375
12,TinyImageNet,fedexp,0,0,100,0.01,5,2,129,0.091,0.10637,0.1852,0.21275,7.146273828125,6.69836185546875,4.2264171875,4.13090015625
13,TinyImageNet,fedexp,0,0,100,0.01,5,2,139,0.1209,0.14583,0.19,0.22204,5.0833572265625,4.74157669921875,4.098921484375,3.9811722265625
14,TinyImageNet,fedexp,0,0,100,0.01,5,2,149,0.1169,0.1427,0.1918,0.22495,6.0680326171875,5.622493671875,4.0707501953125,3.947993505859375
15,TinyImageNet,fedexp,0,0,100,0.01,5,2,159,0.1285,0.1573,0.1973,0.23499,4.8438671875,4.50392109375,3.868017578125,3.701635302734375
16,TinyImageNet,fedexp,0,0,100,0.01,5,2,169,0.1278,0.15729,0.203,0.24119,4.947807421875,4.5654873828125,3.78332001953125,3.592870830078125
17,TinyImageNet,fedexp,0,0,100,0.01,5,2,179,0.1258,0.16238,0.2076,0.24826,5.11692890625,4.65571099609375,3.69604365234375,3.470732353515625
18,TinyImageNet,fedexp,0,0,100,0.01,5,2,189,0.1289,0.15816,0.2079,0.25299,8.19991953125,7.42576423828125,3.668685546875,3.431375947265625
19,TinyImageNet,fedexp,0,0,100,0.01,5,2,199,0.1293,0.16979,0.214,0.25964,5.42576328125,4.90137015625,3.6207033203125,3.34894810546875
20,TinyImageNet,fedexp,0,0,100,0.01,5,2,209,0.1255,0.16007,0.2147,0.26392,5.145466796875,4.7020391796875,3.59681103515625,3.307364521484375
21,TinyImageNet,fedexp,0,0,100,0.01,5,2,219,0.1356,0.16787,0.2149,0.26759,4.968672265625,4.53198048828125,3.57480458984375,3.26665806640625
22,TinyImageNet,fedexp,0,0,100,0.01,5,2,229,0.1432,0.17985,0.2179,0.27016,4.983794921875,4.50428248046875,3.5581173828125,3.235316748046875
23,TinyImageNet,fedexp,0,0,100,0.01,5,2,239,0.1151,0.14511,0.2216,0.27742,5.5336205078125,5.1119175,3.53710771484375,3.186271884765625
24,TinyImageNet,fedexp,0,0,100,0.01,5,2,249,0.1173,0.14056,0.2255,0.2835,6.1385880859375,5.63081123046875,3.52238603515625,3.14621669921875
25,TinyImageNet,fedexp,0,0,100,0.01,5,2,259,0.1359,0.16858,0.2271,0.28634,5.2087349609375,4.757837734375,3.51663525390625,3.128929638671875
26,TinyImageNet,fedexp,0,0,100,0.01,5,2,269,0.105,0.13216,0.23,0.2897,5.1308921875,4.7540444921875,3.502496875,3.11396826171875
27,TinyImageNet,fedexp,0,0,100,0.01,5,2,279,0.1234,0.15752,0.2294,0.29132,6.2776078125,5.64231103515625,3.51015185546875,3.102913955078125
28,TinyImageNet,fedexp,0,0,100,0.01,5,2,289,0.1426,0.187,0.2343,0.29609,5.4157048828125,4.79848671875,3.5067333984375,3.081878681640625
29,TinyImageNet,fedexp,0,0,100,0.01,5,2,299,0.1331,0.1709,0.2369,0.29876,5.1897560546875,4.66000291015625,3.5038982421875,3.067430078125
30,TinyImageNet,fedexp,0,0,100,0.01,5,2,309,0.1303,0.16997,0.237,0.2993,5.2051740234375,4.7255653515625,3.4945849609375,3.06180060546875
31,TinyImageNet,fedexp,0,0,100,0.01,5,2,319,0.133,0.16636,0.2382,0.30222,5.9546228515625,5.37139931640625,3.48767548828125,3.050636240234375
32,TinyImageNet,fedexp,0,0,100,0.01,5,2,329,0.1417,0.18192,0.2376,0.30305,4.8961619140625,4.40052931640625,3.4826955078125,3.046089111328125
33,TinyImageNet,fedexp,0,0,100,0.01,5,2,339,0.1242,0.15483,0.2387,0.30508,5.470641796875,4.98789478515625,3.4775857421875,3.03536326171875
34,TinyImageNet,fedexp,0,0,100,0.01,5,2,349,0.1368,0.17408,0.2404,0.30495,5.160178515625,4.65842486328125,3.475166796875,3.033268134765625
35,TinyImageNet,fedexp,0,0,100,0.01,5,2,359,0.1317,0.17622,0.2416,0.30715,5.008692578125,4.48404076171875,3.47056767578125,3.021809560546875
36,TinyImageNet,fedexp,0,0,100,0.01,5,2,369,0.1455,0.19123,0.2418,0.30878,5.2111287109375,4.6420796484375,3.4682701171875,3.0086223828125
37,TinyImageNet,fedexp,0,0,100,0.01,5,2,379,0.1354,0.17753,0.2439,0.30974,5.2850072265625,4.743324921875,3.47830966796875,3.00132427734375
38,TinyImageNet,fedexp,0,0,100,0.01,5,2,389,0.1504,0.19438,0.2451,0.31116,5.4652412109375,4.86309537109375,3.477531640625,2.99270103515625
39,TinyImageNet,fedexp,0,0,100,0.01,5,2,399,0.1221,0.14268,0.2505,0.3137,5.2672158203125,4.84649435546875,3.476778125,2.975932607421875
