,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedexp,0,0,100,0.01,5,3,9,0.0227,0.02368,0.0063,0.0065,5.0414400390625,5.0458367578125,5.29893046875,5.29901453125
1,TinyImageNet,fedexp,0,0,100,0.01,5,3,19,0.0317,0.03571,0.0081,0.00809,5.3118328125,5.2582113671875,5.292915234375,5.29305013671875
2,TinyImageNet,fedexp,0,0,100,0.01,5,3,29,0.0424,0.04795,0.0178,0.01752,5.59026796875,5.4552932421875,5.27539609375,5.27449873046875
3,TinyImageNet,fedexp,0,0,100,0.01,5,3,39,0.0417,0.04903,0.0223,0.02122,6.01436484375,5.86760267578125,5.2641431640625,5.2624855859375
4,TinyImageNet,fedexp,0,0,100,0.01,5,3,49,0.0492,0.05831,0.0285,0.02942,6.0876060546875,5.94854939453125,5.247713671875,5.245053515625
5,TinyImageNet,fedexp,0,0,100,0.01,5,3,59,0.0524,0.06626,0.0407,0.04486,6.227340625,5.98452298828125,5.21673671875,5.2116971484375
6,TinyImageNet,fedexp,0,0,100,0.01,5,3,69,0.0549,0.06902,0.0541,0.06264,5.5527078125,5.3584333984375,5.175208984375,5.16652666015625
7,TinyImageNet,fedexp,0,0,100,0.01,5,3,79,0.0584,0.07498,0.0712,0.08284,5.7182044921875,5.51961783203125,5.1185763671875,5.10527693359375
8,TinyImageNet,fedexp,0,0,100,0.01,5,3,89,0.0664,0.08105,0.0925,0.10463,6.0296802734375,5.793098828125,5.02905234375,5.0086447265625
9,TinyImageNet,fedexp,0,0,100,0.01,5,3,99,0.0596,0.07664,0.1088,0.12355,5.8831349609375,5.61573150390625,4.9092037109375,4.8772297265625
10,TinyImageNet,fedexp,0,0,100,0.01,5,3,109,0.0652,0.07691,0.1155,0.13551,5.522226953125,5.31482384765625,4.7672673828125,4.71767779296875
11,TinyImageNet,fedexp,0,0,100,0.01,5,3,119,0.0745,0.0959,0.1262,0.14714,5.68728203125,5.44659611328125,4.60870078125,4.53930138671875
12,TinyImageNet,fedexp,0,0,100,0.01,5,3,129,0.0849,0.10275,0.1305,0.15447,6.1488427734375,5.863072109375,4.50210234375,4.41707748046875
13,TinyImageNet,fedexp,0,0,100,0.01,5,3,139,0.0829,0.09767,0.132,0.15895,6.152778515625,5.86524318359375,4.4769791015625,4.3881141796875
14,TinyImageNet,fedexp,0,0,100,0.01,5,3,149,0.0781,0.10057,0.1368,0.16385,5.628307421875,5.33778828125,4.3914326171875,4.28860673828125
15,TinyImageNet,fedexp,0,0,100,0.01,5,3,159,0.0794,0.09508,0.1379,0.16784,7.7160259765625,7.25250513671875,4.3114333984375,4.19536333984375
16,TinyImageNet,fedexp,0,0,100,0.01,5,3,169,0.0936,0.11565,0.1434,0.17369,6.7893166015625,6.3343687109375,4.2649248046875,4.138506796875
17,TinyImageNet,fedexp,0,0,100,0.01,5,3,179,0.0844,0.09577,0.1491,0.18073,8.50948515625,8.0620298828125,4.174166796875,4.02757849609375
18,TinyImageNet,fedexp,0,0,100,0.01,5,3,189,0.0861,0.10239,0.1532,0.18436,9.21482890625,8.613735078125,4.1420228515625,3.987547861328125
19,TinyImageNet,fedexp,0,0,100,0.01,5,3,199,0.0655,0.08318,0.1575,0.1873,9.18431953125,8.6959009765625,4.1382869140625,3.985128330078125
20,TinyImageNet,fedexp,0,0,100,0.01,5,3,209,0.0856,0.11401,0.1652,0.19609,5.998085546875,5.57068861328125,4.032967578125,3.837883837890625
21,TinyImageNet,fedexp,0,0,100,0.01,5,3,219,0.0842,0.09766,0.1671,0.20064,5.902727734375,5.56610734375,3.9964537109375,3.787979462890625
22,TinyImageNet,fedexp,0,0,100,0.01,5,3,229,0.0919,0.11524,0.169,0.2039,5.58273125,5.229084765625,3.979480859375,3.764339306640625
23,TinyImageNet,fedexp,0,0,100,0.01,5,3,239,0.0913,0.10931,0.1701,0.20455,5.9677197265625,5.5980500390625,3.98264521484375,3.7763598828125
24,TinyImageNet,fedexp,0,0,100,0.01,5,3,249,0.0741,0.09382,0.1709,0.20615,5.6867126953125,5.4025045703125,3.98215078125,3.782401728515625
25,TinyImageNet,fedexp,0,0,100,0.01,5,3,259,0.0971,0.11946,0.1709,0.20792,5.777433984375,5.44410580078125,3.95355859375,3.745990400390625
26,TinyImageNet,fedexp,0,0,100,0.01,5,3,269,0.0879,0.10617,0.1747,0.21182,6.1809671875,5.817246015625,3.9019865234375,3.67544521484375
27,TinyImageNet,fedexp,0,0,100,0.01,5,3,279,0.0992,0.1176,0.1767,0.21456,5.7303640625,5.40731109375,3.88771572265625,3.657960595703125
28,TinyImageNet,fedexp,0,0,100,0.01,5,3,289,0.1027,0.13364,0.1815,0.21854,5.872342578125,5.46587841796875,3.86067548828125,3.621785751953125
29,TinyImageNet,fedexp,0,0,100,0.01,5,3,299,0.0881,0.10536,0.183,0.22158,6.1273271484375,5.75383431640625,3.84064970703125,3.592764501953125
30,TinyImageNet,fedexp,0,0,100,0.01,5,3,309,0.1051,0.12799,0.185,0.22332,5.62190390625,5.239289921875,3.82939931640625,3.580177783203125
31,TinyImageNet,fedexp,0,0,100,0.01,5,3,319,0.1078,0.13698,0.1856,0.22701,5.6557451171875,5.218290234375,3.80083291015625,3.53084693359375
32,TinyImageNet,fedexp,0,0,100,0.01,5,3,329,0.0966,0.11901,0.1885,0.22979,6.277681640625,5.86382970703125,3.79440498046875,3.51677953125
33,TinyImageNet,fedexp,0,0,100,0.01,5,3,339,0.0799,0.09717,0.1874,0.23249,6.9902095703125,6.584679296875,3.7825625,3.465179755859375
34,TinyImageNet,fedexp,0,0,100,0.01,5,3,349,0.0888,0.10162,0.1908,0.23497,6.28830546875,5.91137427734375,3.77847412109375,3.461000283203125
35,TinyImageNet,fedexp,0,0,100,0.01,5,3,359,0.1082,0.134,0.1928,0.23616,7.4023314453125,6.80028177734375,3.76664609375,3.448290556640625
36,TinyImageNet,fedexp,0,0,100,0.01,5,3,369,0.1066,0.13293,0.1936,0.2386,6.224950390625,5.75613853515625,3.76377080078125,3.435422529296875
37,TinyImageNet,fedexp,0,0,100,0.01,5,3,379,0.1193,0.15015,0.1969,0.24027,6.2917787109375,5.79716591796875,3.7526708984375,3.42855630859375
38,TinyImageNet,fedexp,0,0,100,0.01,5,3,389,0.1171,0.15275,0.1975,0.24268,6.4666017578125,5.83564462890625,3.738783203125,3.41247943359375
