,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedexp,0,0,100,0.1,5,2,9,0.0319,0.03375,0.0195,0.01977,4.9365259765625,4.92911984375,5.24767578125,5.24823595703125
1,TinyImageNet,fedexp,0,0,100,0.1,5,2,19,0.0624,0.0694,0.0464,0.04909,4.6893548828125,4.64687453125,4.970861328125,4.95990611328125
2,TinyImageNet,fedexp,0,0,100,0.1,5,2,29,0.074,0.08651,0.0767,0.0896,4.7389697265625,4.5934681640625,4.626764453125,4.5699034375
3,TinyImageNet,fedexp,0,0,100,0.1,5,2,39,0.0708,0.082,0.1107,0.13199,5.5513783203125,5.264841015625,4.3584232421875,4.1990966015625
4,TinyImageNet,fedexp,0,0,100,0.1,5,2,49,0.0787,0.09856,0.1314,0.1621,7.7379453125,7.0503147265625,4.22640625,3.96184458984375
5,TinyImageNet,fedexp,0,0,100,0.1,5,2,59,0.0575,0.0624,0.139,0.16757,11.97649375,11.3478326953125,4.228325390625,3.925503505859375
6,TinyImageNet,fedexp,0,0,100,0.1,5,2,69,0.0602,0.07115,0.1472,0.19245,9.932276171875,9.25627234375,4.192753515625,3.7470294140625
7,TinyImageNet,fedexp,0,0,100,0.1,5,2,79,0.0599,0.06756,0.1586,0.21427,11.324573046875,10.5882595703125,4.2712080078125,3.635517275390625
8,TinyImageNet,fedexp,0,0,100,0.1,5,2,89,0.0376,0.04438,0.1607,0.21216,12.074481640625,11.70678078125,4.3651892578125,3.70922666015625
9,TinyImageNet,fedexp,0,0,100,0.1,5,2,99,0.0962,0.12002,0.167,0.22429,7.5038537109375,6.6474254296875,4.4726697265625,3.71849326171875
10,TinyImageNet,fedexp,0,0,100,0.1,5,2,109,0.0441,0.05,0.1842,0.26914,11.770285546875,11.2844077734375,4.491194921875,3.447148701171875
11,TinyImageNet,fedexp,0,0,100,0.1,5,2,119,0.0936,0.11581,0.1853,0.26625,6.6256298828125,5.98139109375,4.51657578125,3.4774366796875
12,TinyImageNet,fedexp,0,0,100,0.1,5,2,129,0.065,0.07881,0.1882,0.27742,8.779344921875,8.15401666015625,4.4532404296875,3.37642015625
13,TinyImageNet,fedexp,0,0,100,0.1,5,2,139,0.1151,0.15415,0.1926,0.27362,7.0447615234375,5.98777470703125,4.533831640625,3.448156494140625
14,TinyImageNet,fedexp,0,0,100,0.1,5,2,149,0.0854,0.1029,0.2013,0.2971,8.0635916015625,7.276392421875,4.5022759765625,3.280475849609375
15,TinyImageNet,fedexp,0,0,100,0.1,5,2,159,0.1208,0.15688,0.2063,0.2981,6.3413421875,5.3473132421875,4.546553125,3.29019296875
16,TinyImageNet,fedexp,0,0,100,0.1,5,2,169,0.0177,0.0196,0.2065,0.3081,18.985434375,18.884048203125,4.468517578125,3.185575166015625
17,TinyImageNet,fedexp,0,0,100,0.1,5,2,179,0.0848,0.10975,0.2103,0.32504,8.48685,7.5283629296875,4.50235625,3.100045966796875
18,TinyImageNet,fedexp,0,0,100,0.1,5,2,189,0.0908,0.12259,0.2069,0.32675,10.14145390625,8.7835318359375,4.4604197265625,3.072807236328125
19,TinyImageNet,fedexp,0,0,100,0.1,5,2,199,0.0663,0.08162,0.2094,0.33209,13.1288078125,12.1490576953125,4.51912109375,3.067447568359375
20,TinyImageNet,fedexp,0,0,100,0.1,5,2,209,0.109,0.1464,0.209,0.3297,7.54673984375,6.42380796875,4.4963787109375,3.07401599609375
21,TinyImageNet,fedexp,0,0,100,0.1,5,2,219,0.0333,0.03866,0.2148,0.34125,15.4728,14.984503125,4.501184375,3.008419111328125
22,TinyImageNet,fedexp,0,0,100,0.1,5,2,229,0.1193,0.15783,0.2132,0.34326,6.995931640625,5.8591101953125,4.4927310546875,2.980396875
23,TinyImageNet,fedexp,0,0,100,0.1,5,2,239,0.1494,0.22449,0.2183,0.36268,5.0231322265625,3.877897197265625,4.5259130859375,2.8898636328125
24,TinyImageNet,fedexp,0,0,100,0.1,5,2,249,0.1533,0.22785,0.2227,0.36964,5.0549244140625,3.8775391796875,4.4684181640625,2.832955634765625
25,TinyImageNet,fedexp,0,0,100,0.1,5,2,259,0.0804,0.09837,0.2221,0.36951,5.9969091796875,5.46633615234375,4.47818046875,2.842230078125
26,TinyImageNet,fedexp,0,0,100,0.1,5,2,269,0.0216,0.02662,0.2265,0.37296,8.239662890625,8.06535486328125,4.4204529296875,2.795908583984375
27,TinyImageNet,fedexp,0,0,100,0.1,5,2,279,0.1263,0.17208,0.2293,0.3758,5.6123916015625,4.65171380859375,4.4611091796875,2.800323310546875
28,TinyImageNet,fedexp,0,0,100,0.1,5,2,289,0.0358,0.04008,0.2329,0.38015,14.38278046875,14.0097644140625,4.4207669921875,2.7573425
29,TinyImageNet,fedexp,0,0,100,0.1,5,2,299,0.0456,0.05804,0.2336,0.37853,10.639075,10.0667226953125,4.455771875,2.7731163671875
