,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedexp,0,0,100,0.1,5,2,9,0.032,0.0353,0.0147,0.01484,4.930466015625,4.91569958984375,5.2491005859375,5.2486378515625
1,TinyImageNet,fedexp,0,0,100,0.1,5,2,19,0.0462,0.05025,0.0465,0.05065,4.999577734375,4.91381994140625,4.97288203125,4.9562486328125
2,TinyImageNet,fedexp,0,0,100,0.1,5,2,29,0.042,0.04586,0.0717,0.089,5.10740859375,5.0056533984375,4.67194609375,4.5831416796875
3,TinyImageNet,fedexp,0,0,100,0.1,5,2,39,0.0186,0.02016,0.0943,0.11827,6.5171091796875,6.44866646484375,4.52773203125,4.3076299609375
4,TinyImageNet,fedexp,0,0,100,0.1,5,2,49,0.0366,0.03925,0.1061,0.12943,6.5983775390625,6.41781541015625,4.4900490234375,4.2222867578125
5,TinyImageNet,fedexp,0,0,100,0.1,5,2,59,0.0325,0.03858,0.106,0.13998,11.3550296875,10.898207109375,4.46808828125,4.14667408203125
6,TinyImageNet,fedexp,0,0,100,0.1,5,2,69,0.0311,0.03645,0.1138,0.15316,11.7234203125,11.2534963671875,4.48058671875,4.04621111328125
7,TinyImageNet,fedexp,0,0,100,0.1,5,2,79,0.0281,0.03249,0.1245,0.16944,12.36382734375,11.9019394140625,4.5083859375,3.943468017578125
8,TinyImageNet,fedexp,0,0,100,0.1,5,2,89,0.0336,0.04282,0.1288,0.17508,6.194134375,5.96420212890625,4.4678357421875,3.897530810546875
9,TinyImageNet,fedexp,0,0,100,0.1,5,2,99,0.0642,0.08402,0.1402,0.19368,5.598080859375,5.20814947265625,4.49973515625,3.810643857421875
10,TinyImageNet,fedexp,0,0,100,0.1,5,2,109,0.0497,0.05809,0.1505,0.21307,5.1810357421875,5.006503203125,4.59186328125,3.7277021484375
11,TinyImageNet,fedexp,0,0,100,0.1,5,2,119,0.0731,0.08942,0.1527,0.21614,5.0244767578125,4.69479845703125,4.5280634765625,3.686315966796875
12,TinyImageNet,fedexp,0,0,100,0.1,5,2,129,0.0335,0.0366,0.1538,0.2193,6.818521875,6.68999583984375,4.45504140625,3.649888466796875
13,TinyImageNet,fedexp,0,0,100,0.1,5,2,139,0.0389,0.04678,0.1539,0.21943,8.931856640625,8.50816015625,4.493686328125,3.675976025390625
14,TinyImageNet,fedexp,0,0,100,0.1,5,2,149,0.037,0.04539,0.1583,0.22308,6.5540734375,6.23902455078125,4.4732845703125,3.64251525390625
15,TinyImageNet,fedexp,0,0,100,0.1,5,2,159,0.0699,0.08722,0.1588,0.23109,7.608656640625,6.86563513671875,4.464895703125,3.592563984375
16,TinyImageNet,fedexp,0,0,100,0.1,5,2,169,0.0263,0.03322,0.1625,0.23838,8.2975896484375,8.0495569140625,4.5077421875,3.5535629296875
17,TinyImageNet,fedexp,0,0,100,0.1,5,2,179,0.0506,0.06229,0.169,0.25065,6.9552642578125,6.5012458984375,4.56106171875,3.52315482421875
18,TinyImageNet,fedexp,0,0,100,0.1,5,2,189,0.0647,0.07592,0.1711,0.24885,12.780025390625,11.9617478515625,4.42651328125,3.46768380859375
19,TinyImageNet,fedexp,0,0,100,0.1,5,2,199,0.0427,0.04844,0.1739,0.25062,27.29121328125,26.125107265625,4.4802244140625,3.485646884765625
