,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,9,0.0067,0.00723,0.005,0.005,6.128480078125,6.1227412890625,5.2990013671875,5.2990807421875
1,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,19,0.0161,0.01493,0.0046,0.00424,5.896206640625,5.899395859375,5.2972228515625,5.2972681640625
2,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,29,0.0261,0.02631,0.0051,0.0058,5.7248513671875,5.728326015625,5.2932296875,5.2932352734375
3,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,39,0.0453,0.04956,0.0048,0.00535,4.7368689453125,4.7316191015625,5.2865837890625,5.28656275390625
4,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,49,0.0522,0.05562,0.0086,0.00989,5.1990599609375,5.15958853515625,5.2371248046875,5.23720490234375
5,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,59,0.0646,0.06822,0.0149,0.01548,4.87052421875,4.8329267578125,5.1854060546875,5.18531642578125
6,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,69,0.0535,0.05569,0.0421,0.04717,5.5329529296875,5.48843857421875,5.04438828125,5.042953515625
7,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,79,0.068,0.07158,0.0689,0.07088,5.4747478515625,5.36913146484375,4.944937109375,4.94092048828125
8,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,89,0.0832,0.09347,0.0883,0.09007,5.484255859375,5.32425564453125,4.8807421875,4.8736521875
9,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,99,0.0856,0.09826,0.1314,0.1341,5.12380703125,4.93457607421875,4.6671873046875,4.648693984375
10,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,109,0.0718,0.08012,0.1521,0.16265,5.4750201171875,5.28334220703125,4.531618359375,4.49903462890625
11,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,119,0.0997,0.11816,0.168,0.18058,5.750903515625,5.43140177734375,4.4229,4.37906373046875
12,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,129,0.1026,0.12373,0.1791,0.19328,5.9964802734375,5.663735703125,4.303642578125,4.2474731640625
13,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,139,0.0913,0.10763,0.1878,0.20968,5.7735466796875,5.448686015625,4.208770703125,4.1355745703125
14,TinyImageNet,fedexp,0,0.5,100,0.01,5,4,149,0.1115,0.13096,0.1907,0.21544,5.8974,5.51598560546875,4.175301953125,4.09445873046875
