,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,9,0.005,0.005,0.0049,0.00537,5.3981958984375,5.39786234375,5.2995986328125,5.2996080859375
1,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,19,0.0068,0.00694,0.005,0.00501,5.385468359375,5.3866759375,5.2996462890625,5.29964822265625
2,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,29,0.01,0.01113,0.0046,0.00476,6.2407982421875,6.23671091796875,5.2986037109375,5.298571328125
3,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,39,0.0145,0.0146,0.005,0.00504,5.6072908203125,5.607303671875,5.2953267578125,5.2953333203125
4,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,49,0.0171,0.01741,0.005,0.005,5.1423390625,5.13264673828125,5.2893896484375,5.2895391015625
5,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,59,0.0198,0.02184,0.0053,0.00541,5.683803515625,5.67252537109375,5.27628125,5.27650474609375
6,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,69,0.0274,0.02764,0.0097,0.00968,5.406180078125,5.3852205078125,5.255084765625,5.25496662109375
7,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,79,0.0447,0.04653,0.0157,0.01591,5.0537091796875,5.02848111328125,5.2189875,5.2180680078125
8,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,89,0.0591,0.06003,0.0198,0.02071,5.0162453125,4.99054712890625,5.1643076171875,5.1624912109375
9,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,99,0.0614,0.07085,0.029,0.03275,4.704595703125,4.6666283984375,5.0777435546875,5.074475625
10,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,109,0.0695,0.07316,0.0471,0.05173,4.78213515625,4.7158903125,4.9613873046875,4.95616537109375
11,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,119,0.0774,0.08873,0.0752,0.07961,4.9051150390625,4.82907212890625,4.8051130859375,4.79605078125
12,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,129,0.0642,0.07368,0.0984,0.10285,4.8958595703125,4.8080008203125,4.6641203125,4.650079453125
13,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,139,0.0618,0.06925,0.1113,0.11633,5.2532484375,5.157263046875,4.60045625,4.58351955078125
14,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,149,0.09,0.10119,0.1268,0.13438,4.805887890625,4.67241017578125,4.464435546875,4.4395001953125
15,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,159,0.0984,0.10963,0.1387,0.14905,5.0749978515625,4.91686591796875,4.3618150390625,4.32976064453125
16,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,169,0.1061,0.11253,0.1512,0.16418,5.1405251953125,4.9768440625,4.2668357421875,4.22572380859375
17,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,179,0.1064,0.12189,0.1689,0.18826,4.9491798828125,4.7262383203125,4.0998197265625,4.039375517578125
18,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,189,0.1049,0.12236,0.1799,0.19793,4.9242705078125,4.6779300390625,4.03034716796875,3.95958388671875
19,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,199,0.105,0.12247,0.1837,0.20345,5.3168451171875,5.04887328125,3.99412451171875,3.91475427734375
20,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,209,0.0976,0.11957,0.1965,0.22323,4.9491365234375,4.7306507421875,3.821543359375,3.7090664453125
21,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,219,0.0869,0.10388,0.2033,0.23169,5.814519921875,5.5306571875,3.75402744140625,3.6250491015625
22,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,229,0.0967,0.11298,0.2066,0.23734,4.864865625,4.645425703125,3.72326513671875,3.583429892578125
23,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,239,0.1067,0.12339,0.2052,0.23728,4.86346015625,4.6215908984375,3.7227955078125,3.57893197265625
24,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,249,0.1085,0.12752,0.2086,0.24077,5.09766640625,4.8255391015625,3.70971630859375,3.557141279296875
25,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,259,0.118,0.13547,0.2144,0.24845,5.040276953125,4.74967046875,3.65020126953125,3.47637572265625
26,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,269,0.1037,0.121,0.2232,0.25864,5.1118626953125,4.8331480078125,3.57265341796875,3.368315205078125
27,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,279,0.126,0.15119,0.2272,0.26396,4.7216154296875,4.42956419921875,3.55133828125,3.33209158203125
28,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,289,0.12,0.14606,0.2289,0.27187,4.944984765625,4.63622072265625,3.51587958984375,3.27511951171875
29,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,299,0.0938,0.10418,0.23,0.27709,5.23022890625,4.9722319921875,3.4960140625,3.23740626953125
30,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,309,0.1273,0.15461,0.2341,0.28066,4.8028515625,4.488697529296875,3.4841490234375,3.215688671875
31,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,319,0.105,0.12632,0.2387,0.28809,5.2776421875,4.9515462890625,3.45018505859375,3.1513043359375
32,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,329,0.1029,0.11963,0.2402,0.29159,5.7956716796875,5.47619275390625,3.4377322265625,3.129412353515625
33,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,339,0.1032,0.11589,0.2452,0.29624,5.9799318359375,5.62235875,3.42213916015625,3.0749248046875
34,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,349,0.1143,0.13519,0.2501,0.29912,5.3048435546875,4.94695109375,3.40976513671875,3.061479892578125
35,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,359,0.0893,0.10461,0.248,0.29991,5.7574931640625,5.39585083984375,3.40629140625,3.053509833984375
36,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,369,0.1301,0.15459,0.2482,0.30217,5.28557890625,4.8424923046875,3.40178056640625,3.040994775390625
37,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,379,0.1278,0.16354,0.2483,0.30368,5.43485390625,4.91851892578125,3.40169609375,3.03724451171875
38,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,389,0.1238,0.15548,0.2493,0.30576,5.8387353515625,5.3063019921875,3.40026884765625,3.02275814453125
39,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,399,0.1181,0.14842,0.2484,0.30665,5.64794140625,5.11638880859375,3.40541015625,3.0168933203125
