,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,9,0.0081,0.00875,0.005,0.00506,5.5489736328125,5.54555873046875,5.299627734375,5.2995781640625
1,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,19,0.0252,0.02356,0.0045,0.00479,5.3607875,5.35494978515625,5.2969236328125,5.2968001171875
2,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,29,0.0383,0.0422,0.007,0.00753,5.39371328125,5.374026015625,5.2876509765625,5.2873710546875
3,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,39,0.0482,0.05299,0.0134,0.01357,5.47063359375,5.44568916015625,5.2671197265625,5.26641455078125
4,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,49,0.0623,0.06723,0.0207,0.01986,5.87431015625,5.812405546875,5.2464005859375,5.24514318359375
5,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,59,0.057,0.06769,0.0438,0.04733,6.3503787109375,6.1909374609375,5.1981259765625,5.19521529296875
6,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,69,0.0699,0.07672,0.0798,0.08609,6.0449228515625,5.89354423828125,5.1155572265625,5.10908880859375
7,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,79,0.0559,0.06163,0.1026,0.1146,10.020640625,9.696182421875,5.047812890625,5.03779259765625
8,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,89,0.0718,0.08391,0.1209,0.13361,6.0464486328125,5.89868771484375,4.99421875,4.9804304296875
9,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,99,0.0497,0.0586,0.1367,0.15243,7.2217798828125,7.0715851953125,4.91855,4.89829298828125
10,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,109,0.0819,0.09935,0.1495,0.16571,8.423439453125,8.075948359375,4.8119689453125,4.7822409375
11,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,119,0.0673,0.08033,0.1589,0.18007,8.994530859375,8.538903046875,4.6066662109375,4.55722552734375
12,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,129,0.058,0.06822,0.1645,0.19078,9.7196921875,9.311598125,4.4389349609375,4.36746123046875
13,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,139,0.082,0.09708,0.1724,0.19701,6.2060533203125,5.89786419921875,4.3232345703125,4.2327759765625
14,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,149,0.0809,0.10161,0.1758,0.19937,6.9278751953125,6.571475625,4.3044705078125,4.2093053125
15,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,159,0.0838,0.10079,0.1793,0.20689,6.06668671875,5.7582841796875,4.1190046875,3.98782234375
16,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,169,0.0682,0.08271,0.1808,0.20981,6.7740701171875,6.47339892578125,4.0393515625,3.891264365234375
17,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,179,0.0734,0.09148,0.1844,0.21559,6.89651015625,6.5340225390625,3.94461826171875,3.7730559765625
18,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,189,0.0836,0.10206,0.1847,0.21762,9.3627296875,8.8505723046875,3.92155537109375,3.741975615234375
19,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,199,0.0969,0.1193,0.1854,0.22212,6.7656900390625,6.33448404296875,3.8630279296875,3.657822578125
20,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,209,0.084,0.10433,0.1867,0.22464,6.47791484375,6.10275572265625,3.83860517578125,3.622271064453125
21,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,219,0.0795,0.09577,0.1877,0.22742,6.95521640625,6.6545350390625,3.813002734375,3.584134716796875
22,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,229,0.1002,0.1111,0.1876,0.22916,6.3492236328125,5.90983353515625,3.7890291015625,3.555957353515625
23,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,239,0.0763,0.08998,0.1932,0.23349,7.7449943359375,7.331308203125,3.75984765625,3.510081318359375
24,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,249,0.0848,0.09762,0.1966,0.2375,6.3087111328125,5.9808308984375,3.73641591796875,3.463927490234375
25,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,259,0.078,0.0982,0.1979,0.24014,6.63860703125,6.2574976953125,3.7256470703125,3.4432710546875
26,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,269,0.0835,0.1047,0.1981,0.24218,6.31290859375,5.971477109375,3.71867451171875,3.433134609375
27,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,279,0.0806,0.09821,0.201,0.2432,7.3479318359375,6.89141357421875,3.70164033203125,3.41053568359375
28,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,289,0.0922,0.11999,0.2022,0.24528,6.7682126953125,6.276922421875,3.68345537109375,3.387698740234375
29,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,299,0.0896,0.10945,0.2028,0.24689,7.020983203125,6.5680055078125,3.674217578125,3.3737589453125
30,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,309,0.0972,0.11466,0.2015,0.2475,6.1910177734375,5.8352926953125,3.67003671875,3.37569607421875
31,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,319,0.0701,0.08441,0.2017,0.24997,8.674674609375,8.15502888671875,3.6650626953125,3.364966943359375
32,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,329,0.0962,0.11755,0.2054,0.25149,6.304019921875,5.88439173828125,3.661647265625,3.359962890625
33,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,339,0.0758,0.08935,0.2063,0.25381,7.153503515625,6.7834915234375,3.65586875,3.3475996484375
34,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,349,0.0862,0.10534,0.2083,0.25451,6.1321033203125,5.79911859375,3.6499462890625,3.345259921875
35,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,359,0.0921,0.1137,0.2088,0.25586,6.558502734375,6.1062248046875,3.64429287109375,3.336275595703125
36,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,369,0.0965,0.11873,0.2117,0.2563,6.7640212890625,6.30003638671875,3.63613486328125,3.32276533203125
37,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,379,0.0895,0.115,0.2103,0.258,6.7030236328125,6.23988751953125,3.628143359375,3.305235048828125
38,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,389,0.0967,0.12054,0.2114,0.26019,6.411944921875,5.98453283203125,3.62023125,3.290743427734375
39,TinyImageNet,fedexp,0,0.5,100,0.01,5,2,399,0.0683,0.0795,0.2143,0.26211,8.0713642578125,7.7026130078125,3.60619501953125,3.269570693359375
