,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,9,0.0108,0.01136,0.0073,0.00712,5.3532154296875,5.354433515625,5.2992916015625,5.29924396484375
1,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,19,0.032,0.03511,0.0066,0.00711,5.099203125,5.0891337890625,5.2953478515625,5.295274765625
2,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,29,0.0413,0.04342,0.0174,0.01528,5.54758671875,5.5280948046875,5.2736197265625,5.2731172265625
3,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,39,0.0462,0.05166,0.0237,0.0223,5.415071484375,5.353917109375,5.252876171875,5.2520460546875
4,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,49,0.0498,0.05657,0.0316,0.03222,6.2822568359375,6.149685078125,5.226279296875,5.224743515625
5,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,59,0.0605,0.07061,0.0508,0.0527,6.6041703125,6.4059625,5.180562109375,5.1776584375
6,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,69,0.0664,0.07802,0.0752,0.0789,6.3922697265625,6.13538689453125,5.1237248046875,5.1175129296875
7,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,79,0.0626,0.07424,0.1005,0.11231,6.4208384765625,6.20789380859375,5.0539498046875,5.04171578125
8,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,89,0.08,0.08661,0.122,0.13886,6.4910734375,6.264669765625,4.948250390625,4.92680751953125
9,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,99,0.0557,0.06361,0.1379,0.15988,7.4675646484375,7.25222990234375,4.796637890625,4.76058888671875
10,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,109,0.0556,0.06793,0.1483,0.17374,7.1274705078125,6.8432841015625,4.6187708984375,4.56131236328125
11,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,119,0.0773,0.09601,0.1591,0.18612,6.547509765625,6.229411796875,4.4303716796875,4.34504349609375
12,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,129,0.0826,0.09649,0.1651,0.19237,6.6692197265625,6.3341412109375,4.2940873046875,4.1848675390625
13,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,139,0.0817,0.09782,0.1677,0.19559,6.58333828125,6.2473095703125,4.251270703125,4.13537392578125
14,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,149,0.0846,0.09578,0.1719,0.20064,6.622310546875,6.31808921875,4.150636328125,4.014331064453125
15,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,159,0.0762,0.08656,0.1731,0.20344,9.572331640625,9.0451073046875,4.072773828125,3.916562353515625
16,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,169,0.0901,0.11284,0.1766,0.20729,7.18476640625,6.74255998046875,4.0272634765625,3.85647314453125
17,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,179,0.0799,0.09804,0.1817,0.21451,7.255737109375,6.87224275390625,3.9522802734375,3.757103017578125
18,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,189,0.0669,0.0794,0.1862,0.21684,9.47644609375,9.01302421875,3.915748828125,3.709652509765625
19,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,199,0.0706,0.08511,0.1848,0.21886,7.4020359375,6.970719765625,3.90901015625,3.70293931640625
20,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,209,0.0829,0.10244,0.1901,0.22611,6.4186869140625,6.05990234375,3.8332181640625,3.582896376953125
21,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,219,0.0653,0.08467,0.1909,0.2289,6.9770375,6.6302127734375,3.805669140625,3.5456723828125
22,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,229,0.0794,0.09889,0.1927,0.23091,6.2611044921875,5.9202489453125,3.78993251953125,3.528742431640625
23,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,239,0.0767,0.09215,0.1938,0.23048,7.3494591796875,6.93531921875,3.789084375,3.53874404296875
24,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,249,0.0823,0.09673,0.1972,0.23209,7.41728359375,6.9854690625,3.78792978515625,3.542747197265625
25,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,259,0.0862,0.10172,0.1995,0.23444,6.563537890625,6.19377462890625,3.77130048828125,3.513369970703125
26,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,269,0.0651,0.07558,0.2012,0.23772,7.7158525390625,7.35298615234375,3.7448890625,3.464946552734375
27,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,279,0.0917,0.11505,0.203,0.24102,6.34977265625,5.92416697265625,3.73337373046875,3.448655361328125
28,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,289,0.0914,0.111,0.203,0.24464,6.6499484375,6.23667224609375,3.717471875,3.4204580078125
29,TinyImageNet,fedexp,0,0.5,100,0.01,5,3,299,0.0769,0.08937,0.2048,0.24638,7.1458984375,6.80988533203125,3.7016595703125,3.398037138671875
