,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedprox,0,0,100,0.01,5,3,9,0.0146,0.01434,0.0052,0.0052,5.1352990234375,5.132547734375,5.2994072265625,5.2993452734375
1,TinyImageNet,fedprox,0,0,100,0.01,5,3,19,0.033,0.03297,0.0102,0.00917,4.8932123046875,4.88884109375,5.2949080078125,5.294723671875
2,TinyImageNet,fedprox,0,0,100,0.01,5,3,29,0.0428,0.04281,0.0121,0.01435,4.944219921875,4.93239095703125,5.275340625,5.27481478515625
3,TinyImageNet,fedprox,0,0,100,0.01,5,3,39,0.0578,0.06235,0.0162,0.02003,4.6535138671875,4.63677970703125,5.257616796875,5.2567924609375
4,TinyImageNet,fedprox,0,0,100,0.01,5,3,49,0.1036,0.11374,0.0274,0.03196,4.302062890625,4.26079123046875,5.232358984375,5.23123525390625
5,TinyImageNet,fedprox,0,0,100,0.01,5,3,59,0.0886,0.09693,0.0491,0.05276,4.623173828125,4.5630435546875,5.1854927734375,5.18390548828125
6,TinyImageNet,fedprox,0,0,100,0.01,5,3,69,0.1008,0.11066,0.0803,0.08289,4.4401361328125,4.36428830078125,5.1212138671875,5.1183429296875
7,TinyImageNet,fedprox,0,0,100,0.01,5,3,79,0.1156,0.12844,0.1128,0.11724,4.41810234375,4.2888445703125,5.0343046875,5.0283167578125
8,TinyImageNet,fedprox,0,0,100,0.01,5,3,89,0.1249,0.13691,0.1338,0.14788,4.6648353515625,4.5240589453125,4.89634765625,4.8841787109375
9,TinyImageNet,fedprox,0,0,100,0.01,5,3,99,0.1439,0.17554,0.1578,0.17514,4.1086927734375,3.90491541015625,4.704945703125,4.68147865234375
10,TinyImageNet,fedprox,0,0,100,0.01,5,3,109,0.1655,0.19101,0.1752,0.19356,4.12946015625,3.88956162109375,4.4677150390625,4.4270805078125
11,TinyImageNet,fedprox,0,0,100,0.01,5,3,119,0.1341,0.15276,0.1862,0.21222,4.8272486328125,4.57375466796875,4.2109533203125,4.14541833984375
12,TinyImageNet,fedprox,0,0,100,0.01,5,3,129,0.1089,0.12522,0.1999,0.22588,5.0177513671875,4.7755851953125,4.04455537109375,3.956582978515625
13,TinyImageNet,fedprox,0,0,100,0.01,5,3,139,0.149,0.17078,0.204,0.23197,4.6908609375,4.42036208984375,3.98388046875,3.885804267578125
14,TinyImageNet,fedprox,0,0,100,0.01,5,3,149,0.1413,0.17025,0.2107,0.24398,4.503288671875,4.18498935546875,3.8484205078125,3.725562001953125
15,TinyImageNet,fedprox,0,0,100,0.01,5,3,159,0.1861,0.22225,0.2133,0.25081,4.1321458984375,3.7537814453125,3.7487255859375,3.602443486328125
16,TinyImageNet,fedprox,0,0,100,0.01,5,3,169,0.1427,0.17305,0.2143,0.25845,4.6237103515625,4.285563974609375,3.6835966796875,3.51591552734375
17,TinyImageNet,fedprox,0,0,100,0.01,5,3,179,0.2011,0.25222,0.2236,0.27005,4.331826953125,3.794571845703125,3.57582392578125,3.365599951171875
18,TinyImageNet,fedprox,0,0,100,0.01,5,3,189,0.1893,0.23628,0.229,0.27635,4.24518984375,3.754768544921875,3.532841015625,3.2991237890625
19,TinyImageNet,fedprox,0,0,100,0.01,5,3,199,0.2014,0.25925,0.229,0.28062,4.2293916015625,3.6570675390625,3.51636376953125,3.2681020703125
20,TinyImageNet,fedprox,0,0,100,0.01,5,3,209,0.134,0.17051,0.238,0.29134,4.78750546875,4.3678012109375,3.46333203125,3.1549986328125
21,TinyImageNet,fedprox,0,0,100,0.01,5,3,219,0.1934,0.24772,0.2429,0.29673,4.3672109375,3.77009474609375,3.44765009765625,3.10816115234375
22,TinyImageNet,fedprox,0,0,100,0.01,5,3,229,0.1514,0.18977,0.2428,0.3006,4.5047494140625,4.096941064453125,3.440425,3.08594783203125
23,TinyImageNet,fedprox,0,0,100,0.01,5,3,239,0.1809,0.2366,0.2436,0.30295,4.05737236328125,3.57415744140625,3.4326484375,3.073578017578125
24,TinyImageNet,fedprox,0,0,100,0.01,5,3,249,0.193,0.2415,0.2447,0.30583,4.1452361328125,3.65662849609375,3.4254857421875,3.0572692578125
25,TinyImageNet,fedprox,0,0,100,0.01,5,3,259,0.1601,0.20232,0.2439,0.31104,4.560309765625,4.07070140625,3.41863095703125,3.02245552734375
26,TinyImageNet,fedprox,0,0,100,0.01,5,3,269,0.1886,0.2561,0.2491,0.31672,4.029971875,3.479986630859375,3.4160271484375,2.981539697265625
27,TinyImageNet,fedprox,0,0,100,0.01,5,3,279,0.172,0.22049,0.2507,0.31982,4.5972494140625,4.02095302734375,3.40879521484375,2.96126111328125
28,TinyImageNet,fedprox,0,0,100,0.01,5,3,289,0.1558,0.19757,0.2521,0.32541,4.7191572265625,4.1264586328125,3.40711884765625,2.934340107421875
29,TinyImageNet,fedprox,0,0,100,0.01,5,3,299,0.1848,0.23982,0.2515,0.32736,4.0276056640625,3.545087529296875,3.4138458984375,2.916827197265625
30,TinyImageNet,fedprox,0,0,100,0.01,5,3,309,0.1632,0.20457,0.2514,0.32967,4.7071982421875,4.192337705078125,3.4077154296875,2.903003564453125
31,TinyImageNet,fedprox,0,0,100,0.01,5,3,319,0.1578,0.2003,0.256,0.33454,4.4203306640625,3.96402703125,3.422848046875,2.87559814453125
32,TinyImageNet,fedprox,0,0,100,0.01,5,3,329,0.1772,0.23357,0.2577,0.33623,4.2645892578125,3.70371875,3.422265625,2.865260087890625
33,TinyImageNet,fedprox,0,0,100,0.01,5,3,339,0.2151,0.28763,0.2596,0.34083,3.89461044921875,3.306181171875,3.45265380859375,2.848505751953125
34,TinyImageNet,fedprox,0,0,100,0.01,5,3,349,0.2197,0.292,0.2595,0.34273,4.02756953125,3.35445091796875,3.438183203125,2.834867529296875
35,TinyImageNet,fedprox,0,0,100,0.01,5,3,359,0.1925,0.26002,0.2579,0.34479,4.511505078125,3.79979013671875,3.439558203125,2.82302576171875
36,TinyImageNet,fedprox,0,0,100,0.01,5,3,369,0.2013,0.2722,0.2585,0.34763,4.284074609375,3.575193779296875,3.4343552734375,2.813182431640625
37,TinyImageNet,fedprox,0,0,100,0.01,5,3,379,0.1606,0.21156,0.2576,0.34958,5.2948111328125,4.57298291015625,3.43373955078125,2.8055514453125
38,TinyImageNet,fedprox,0,0,100,0.01,5,3,389,0.1692,0.22619,0.2573,0.35166,5.6782671875,4.7645758984375,3.43610263671875,2.7969787890625
39,TinyImageNet,fedprox,0,0,100,0.01,5,3,399,0.157,0.19687,0.2601,0.35212,5.4887560546875,4.72792357421875,3.44391904296875,2.79207576171875
