,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedprox,0,0,100,0.01,5,1,9,0.0301,0.03169,0.0079,0.00812,4.986881640625,4.97326505859375,5.2975892578125,5.29755572265625
1,TinyImageNet,fedprox,0,0,100,0.01,5,1,19,0.0497,0.0546,0.0128,0.01257,4.8785130859375,4.83087865234375,5.284113671875,5.28372416015625
2,TinyImageNet,fedprox,0,0,100,0.01,5,1,29,0.0685,0.07899,0.0233,0.02287,4.8145673828125,4.7186992578125,5.2583017578125,5.25698986328125
3,TinyImageNet,fedprox,0,0,100,0.01,5,1,39,0.0655,0.07985,0.0336,0.03853,5.14761953125,4.9955196484375,5.2206318359375,5.21699541015625
4,TinyImageNet,fedprox,0,0,100,0.01,5,1,49,0.0702,0.08631,0.048,0.05589,5.46090703125,5.212531875,5.17463359375,5.16730884765625
5,TinyImageNet,fedprox,0,0,100,0.01,5,1,59,0.0481,0.05812,0.0685,0.0792,6.2387498046875,6.0480790234375,5.0950681640625,5.07980763671875
6,TinyImageNet,fedprox,0,0,100,0.01,5,1,69,0.0554,0.07061,0.0855,0.09665,6.2308267578125,5.97901095703125,5.0183,4.9943225390625
7,TinyImageNet,fedprox,0,0,100,0.01,5,1,79,0.0808,0.10142,0.0938,0.10776,6.01983671875,5.660864375,4.94560859375,4.91251802734375
8,TinyImageNet,fedprox,0,0,100,0.01,5,1,89,0.0607,0.0754,0.0967,0.11204,6.2136763671875,5.9836396484375,4.91209296875,4.8758201171875
9,TinyImageNet,fedprox,0,0,100,0.01,5,1,99,0.0642,0.0796,0.0992,0.11835,8.41009375,7.96971392578125,4.8649974609375,4.8234829296875
10,TinyImageNet,fedprox,0,0,100,0.01,5,1,109,0.077,0.10404,0.106,0.12536,8.0657869140625,7.439246796875,4.7848279296875,4.73358509765625
11,TinyImageNet,fedprox,0,0,100,0.01,5,1,119,0.1039,0.12657,0.112,0.13464,5.11244140625,4.7613471875,4.7278279296875,4.668113359375
12,TinyImageNet,fedprox,0,0,100,0.01,5,1,129,0.0946,0.11439,0.1211,0.147,5.4076359375,5.05549228515625,4.55924140625,4.47027314453125
13,TinyImageNet,fedprox,0,0,100,0.01,5,1,139,0.1032,0.13076,0.131,0.15719,5.588963671875,5.14448939453125,4.476544140625,4.37004892578125
14,TinyImageNet,fedprox,0,0,100,0.01,5,1,149,0.0963,0.12438,0.1387,0.16594,5.91875390625,5.49919501953125,4.3100265625,4.1613324609375
15,TinyImageNet,fedprox,0,0,100,0.01,5,1,159,0.0686,0.08947,0.1387,0.16968,5.9991556640625,5.7325652734375,4.2768283203125,4.11979599609375
16,TinyImageNet,fedprox,0,0,100,0.01,5,1,169,0.0692,0.08563,0.1416,0.17467,6.1180939453125,5.87514421875,4.2282009765625,4.060526435546875
17,TinyImageNet,fedprox,0,0,100,0.01,5,1,179,0.0887,0.11517,0.1444,0.1784,7.64136953125,7.13070322265625,4.1744712890625,3.99453828125
18,TinyImageNet,fedprox,0,0,100,0.01,5,1,189,0.1227,0.1572,0.1504,0.18284,5.2615474609375,4.72735953125,4.09473876953125,3.87731095703125
19,TinyImageNet,fedprox,0,0,100,0.01,5,1,199,0.0882,0.10794,0.1558,0.18786,6.007900390625,5.5634483203125,4.0628732421875,3.8296448046875
20,TinyImageNet,fedprox,0,0,100,0.01,5,1,209,0.1141,0.14044,0.1592,0.19406,5.4153033203125,4.96776669921875,4.01980517578125,3.759985439453125
21,TinyImageNet,fedprox,0,0,100,0.01,5,1,219,0.096,0.11989,0.1648,0.19734,6.0643216796875,5.622006171875,3.99312470703125,3.703720927734375
22,TinyImageNet,fedprox,0,0,100,0.01,5,1,229,0.1275,0.1641,0.1676,0.19803,5.3824697265625,4.83574173828125,3.97498837890625,3.6829859765625
23,TinyImageNet,fedprox,0,0,100,0.01,5,1,239,0.0848,0.10843,0.171,0.20336,6.13538359375,5.7446596484375,3.9665423828125,3.644515927734375
24,TinyImageNet,fedprox,0,0,100,0.01,5,1,249,0.0911,0.11583,0.173,0.20494,6.937400390625,6.46237330078125,3.9589654296875,3.63035703125
25,TinyImageNet,fedprox,0,0,100,0.01,5,1,259,0.1143,0.13941,0.1726,0.20516,5.1785583984375,4.77693857421875,3.9407244140625,3.62363765625
26,TinyImageNet,fedprox,0,0,100,0.01,5,1,269,0.1107,0.14133,0.175,0.20579,5.1270228515625,4.70895556640625,3.943651171875,3.610336171875
27,TinyImageNet,fedprox,0,0,100,0.01,5,1,279,0.1219,0.15728,0.1785,0.20763,5.32698828125,4.804833046875,3.94021015625,3.593380234375
28,TinyImageNet,fedprox,0,0,100,0.01,5,1,289,0.124,0.16303,0.1791,0.20921,5.9085251953125,5.2942101953125,3.92490078125,3.5809218359375
29,TinyImageNet,fedprox,0,0,100,0.01,5,1,299,0.0945,0.12758,0.1789,0.21191,6.0988267578125,5.665192734375,3.9089958984375,3.5705672265625
30,TinyImageNet,fedprox,0,0,100,0.01,5,1,309,0.0932,0.11491,0.1785,0.2148,5.778718359375,5.39861935546875,3.90544404296875,3.5531746484375
31,TinyImageNet,fedprox,0,0,100,0.01,5,1,319,0.1294,0.16488,0.1802,0.21751,4.8965994140625,4.4284044140625,3.89715673828125,3.53804607421875
32,TinyImageNet,fedprox,0,0,100,0.01,5,1,329,0.1337,0.17808,0.1788,0.21877,6.00574375,5.33057849609375,3.88131767578125,3.527465107421875
33,TinyImageNet,fedprox,0,0,100,0.01,5,1,339,0.0988,0.13189,0.1811,0.22192,6.02272265625,5.53488962890625,3.8722724609375,3.510177578125
34,TinyImageNet,fedprox,0,0,100,0.01,5,1,349,0.1172,0.1466,0.1832,0.22386,5.2078583984375,4.78897341796875,3.861258984375,3.496374892578125
35,TinyImageNet,fedprox,0,0,100,0.01,5,1,359,0.0985,0.12426,0.1822,0.22498,6.455421875,5.962860859375,3.8499326171875,3.49381400390625
36,TinyImageNet,fedprox,0,0,100,0.01,5,1,369,0.1054,0.12735,0.1825,0.22834,6.085370703125,5.6401371875,3.85666279296875,3.477719453125
