,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedprox,0,0,100,0.1,5,2,9,0.0397,0.03702,0.0239,0.0243,4.8963001953125,4.87714365234375,5.2242265625,5.22326265625
1,TinyImageNet,fedprox,0,0,100,0.1,5,2,19,0.0591,0.06678,0.05,0.05461,4.73825546875,4.65100248046875,4.93061875,4.91025697265625
2,TinyImageNet,fedprox,0,0,100,0.1,5,2,29,0.0809,0.09181,0.0776,0.08628,4.72838125,4.52014904296875,4.6361482421875,4.55031896484375
3,TinyImageNet,fedprox,0,0,100,0.1,5,2,39,0.0892,0.11203,0.0938,0.11184,4.7896154296875,4.44150626953125,4.518437109375,4.3154401953125
4,TinyImageNet,fedprox,0,0,100,0.1,5,2,49,0.1018,0.13098,0.1063,0.12947,4.8839953125,4.37525232421875,4.513349609375,4.19444171875
5,TinyImageNet,fedprox,0,0,100,0.1,5,2,59,0.1099,0.14021,0.1171,0.14335,5.0699205078125,4.423033193359375,4.55071171875,4.11170400390625
6,TinyImageNet,fedprox,0,0,100,0.1,5,2,69,0.1161,0.15533,0.1232,0.15948,5.0710091796875,4.3050983984375,4.6663189453125,4.0562255859375
7,TinyImageNet,fedprox,0,0,100,0.1,5,2,79,0.1206,0.1646,0.1258,0.17134,5.19058828125,4.3210454296875,4.7427310546875,4.012005771484375
8,TinyImageNet,fedprox,0,0,100,0.1,5,2,89,0.1261,0.17229,0.1272,0.18223,5.22948984375,4.299897880859375,4.8280244140625,3.982097001953125
9,TinyImageNet,fedprox,0,0,100,0.1,5,2,99,0.1363,0.1906,0.1352,0.19492,5.1551728515625,4.115286474609375,4.873478125,3.924443525390625
10,TinyImageNet,fedprox,0,0,100,0.1,5,2,109,0.1348,0.19475,0.1407,0.20637,5.1935927734375,4.099898798828125,4.943751953125,3.88239046875
11,TinyImageNet,fedprox,0,0,100,0.1,5,2,119,0.1367,0.20395,0.1447,0.21452,5.208175390625,4.06046771484375,4.960414453125,3.84143802734375
12,TinyImageNet,fedprox,0,0,100,0.1,5,2,129,0.135,0.20669,0.1464,0.22173,5.2343162109375,4.06949666015625,4.95632265625,3.796015458984375
13,TinyImageNet,fedprox,0,0,100,0.1,5,2,139,0.1421,0.21916,0.1503,0.23098,5.30903359375,4.0514287890625,4.980632421875,3.758551142578125
14,TinyImageNet,fedprox,0,0,100,0.1,5,2,149,0.1498,0.22708,0.1553,0.23794,5.1936146484375,3.900406767578125,4.9804330078125,3.70893416015625
15,TinyImageNet,fedprox,0,0,100,0.1,5,2,159,0.1538,0.23725,0.1566,0.24506,5.2506744140625,3.862948984375,4.9959140625,3.670570224609375
16,TinyImageNet,fedprox,0,0,100,0.1,5,2,169,0.1393,0.21906,0.1641,0.25305,5.4258396484375,4.07627775390625,4.9954189453125,3.614693173828125
17,TinyImageNet,fedprox,0,0,100,0.1,5,2,179,0.1586,0.24723,0.166,0.26088,5.2269837890625,3.79305443359375,5.00466171875,3.570340986328125
18,TinyImageNet,fedprox,0,0,100,0.1,5,2,189,0.158,0.24784,0.1675,0.2651,5.223019921875,3.801083232421875,4.9862962890625,3.532767470703125
19,TinyImageNet,fedprox,0,0,100,0.1,5,2,199,0.1597,0.24864,0.1708,0.27135,5.2861171875,3.811849345703125,4.981298046875,3.496450458984375
