,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedprox,0,0,100,0.1,5,3,9,0.0364,0.0379,0.0233,0.0241,4.8951765625,4.885271484375,5.230836328125,5.2305375
1,TinyImageNet,fedprox,0,0,100,0.1,5,3,19,0.0537,0.06587,0.0498,0.05512,4.8230107421875,4.710729375,4.893260546875,4.8624762890625
2,TinyImageNet,fedprox,0,0,100,0.1,5,3,29,0.0683,0.08443,0.0679,0.08027,4.9167828125,4.6695842578125,4.7138509765625,4.60246046875
3,TinyImageNet,fedprox,0,0,100,0.1,5,3,39,0.0743,0.09352,0.0767,0.09827,5.0658724609375,4.68948783203125,4.670443359375,4.445412109375
4,TinyImageNet,fedprox,0,0,100,0.1,5,3,49,0.0759,0.11018,0.0869,0.11294,5.2066830078125,4.6686228125,4.69449765625,4.34134841796875
5,TinyImageNet,fedprox,0,0,100,0.1,5,3,59,0.0885,0.1214,0.0938,0.12846,5.2681001953125,4.60850548828125,4.8767,4.3263150390625
6,TinyImageNet,fedprox,0,0,100,0.1,5,3,69,0.0889,0.12966,0.1006,0.13957,5.2167638671875,4.5048451953125,4.9592291015625,4.2886273046875
7,TinyImageNet,fedprox,0,0,100,0.1,5,3,79,0.0937,0.13977,0.1029,0.14994,5.444062890625,4.54760830078125,5.0160169921875,4.2352884375
8,TinyImageNet,fedprox,0,0,100,0.1,5,3,89,0.1013,0.15281,0.1078,0.15845,5.7377818359375,4.6272225,5.099490625,4.18820056640625
9,TinyImageNet,fedprox,0,0,100,0.1,5,3,99,0.1038,0.15288,0.108,0.16613,5.47256953125,4.4540746484375,5.1482482421875,4.15719123046875
10,TinyImageNet,fedprox,0,0,100,0.1,5,3,109,0.1037,0.1614,0.1143,0.17547,5.516231640625,4.4035619921875,5.190640234375,4.10566982421875
11,TinyImageNet,fedprox,0,0,100,0.1,5,3,119,0.11,0.16412,0.1125,0.18295,5.620726953125,4.4446852734375,5.23844609375,4.061040888671875
12,TinyImageNet,fedprox,0,0,100,0.1,5,3,129,0.1142,0.17671,0.1169,0.18955,5.4435486328125,4.23156873046875,5.22455234375,4.0054516015625
13,TinyImageNet,fedprox,0,0,100,0.1,5,3,139,0.105,0.17394,0.1209,0.19544,5.5305236328125,4.2894029296875,5.2411353515625,3.958232294921875
14,TinyImageNet,fedprox,0,0,100,0.1,5,3,149,0.1132,0.18571,0.1211,0.2025,5.609460546875,4.2253363671875,5.288632421875,3.925495673828125
15,TinyImageNet,fedprox,0,0,100,0.1,5,3,159,0.1167,0.19258,0.1246,0.20656,5.7234205078125,4.29171486328125,5.253527734375,3.890919384765625
16,TinyImageNet,fedprox,0,0,100,0.1,5,3,169,0.1171,0.19283,0.1252,0.21356,5.661287109375,4.21641904296875,5.2995396484375,3.86548533203125
17,TinyImageNet,fedprox,0,0,100,0.1,5,3,179,0.1191,0.20556,0.1268,0.21788,5.6427400390625,4.123750078125,5.2834404296875,3.817379814453125
18,TinyImageNet,fedprox,0,0,100,0.1,5,3,189,0.1192,0.20373,0.1282,0.22425,5.541518359375,4.10441404296875,5.2566341796875,3.77562865234375
19,TinyImageNet,fedprox,0,0,100,0.1,5,3,199,0.1164,0.19485,0.1335,0.22775,5.6614955078125,4.230563125,5.2371591796875,3.750298779296875
20,TinyImageNet,fedprox,0,0,100,0.1,5,3,209,0.1297,0.21837,0.1352,0.23403,5.6347994140625,4.032530146484375,5.2536962890625,3.70930919921875
21,TinyImageNet,fedprox,0,0,100,0.1,5,3,219,0.1296,0.21525,0.1392,0.24029,5.60525546875,4.059933291015625,5.2543287109375,3.66659228515625
22,TinyImageNet,fedprox,0,0,100,0.1,5,3,229,0.1261,0.20682,0.1391,0.24312,5.81887890625,4.21401568359375,5.233412109375,3.627914951171875
23,TinyImageNet,fedprox,0,0,100,0.1,5,3,239,0.1252,0.21086,0.1399,0.24837,5.84670390625,4.227001953125,5.227274609375,3.5933320703125
24,TinyImageNet,fedprox,0,0,100,0.1,5,3,249,0.1258,0.23014,0.1383,0.25036,5.4489818359375,3.81237279296875,5.2223388671875,3.562512998046875
25,TinyImageNet,fedprox,0,0,100,0.1,5,3,259,0.1346,0.23964,0.1418,0.25696,5.4048763671875,3.734727216796875,5.268371875,3.548026279296875
26,TinyImageNet,fedprox,0,0,100,0.1,5,3,269,0.1316,0.24096,0.1428,0.26136,5.4933255859375,3.771386611328125,5.231378515625,3.494210830078125
27,TinyImageNet,fedprox,0,0,100,0.1,5,3,279,0.1333,0.24172,0.1411,0.26451,5.499771484375,3.79141822265625,5.21567890625,3.469555361328125
28,TinyImageNet,fedprox,0,0,100,0.1,5,3,289,0.1348,0.24088,0.1459,0.2657,5.4274818359375,3.79404935546875,5.1928798828125,3.454882880859375
29,TinyImageNet,fedprox,0,0,100,0.1,5,3,299,0.1402,0.24441,0.1511,0.26987,5.533304296875,3.802140068359375,5.20998515625,3.449643134765625
