,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,9,0.005,0.005,0.005,0.00468,5.3639068359375,5.36380701171875,5.299669921875,5.29963958984375
1,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,19,0.0053,0.00544,0.0051,0.0049,5.385883984375,5.3872917578125,5.29999140625,5.29998541015625
2,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,29,0.005,0.005,0.0038,0.00409,5.64361484375,5.64383462890625,5.3017974609375,5.3018711328125
3,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,39,0.0076,0.00735,0.004,0.00411,5.3257482421875,5.32621296875,5.3033384765625,5.30351505859375
4,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,49,0.0059,0.00577,0.0042,0.00494,5.40949765625,5.40942763671875,5.303959375,5.30425287109375
5,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,59,0.0097,0.01024,0.0045,0.00441,5.9128447265625,5.9119042578125,5.302040625,5.30240146484375
6,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,69,0.0143,0.01247,0.0045,0.00446,5.651332421875,5.64856611328125,5.2979529296875,5.29835453125
7,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,79,0.0128,0.01226,0.0048,0.00452,5.668899609375,5.66895759765625,5.2902259765625,5.290529296875
8,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,89,0.0157,0.01534,0.005,0.00505,5.6380931640625,5.6357315234375,5.28074296875,5.28100396484375
9,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,99,0.0275,0.02692,0.0051,0.00502,5.031301171875,5.02609431640625,5.2632912109375,5.2633633203125
10,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,109,0.0312,0.03276,0.0054,0.00572,4.9810921875,4.96646720703125,5.2329177734375,5.232595625
11,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,119,0.0304,0.03328,0.0064,0.00731,5.4895380859375,5.4663607421875,5.1801685546875,5.179494765625
12,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,129,0.0427,0.04518,0.0133,0.01356,4.9953044921875,4.97928509765625,5.115669921875,5.11455041015625
13,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,139,0.0375,0.03907,0.0177,0.01867,5.260324609375,5.23675634765625,5.0788935546875,5.077040703125
14,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,149,0.046,0.04944,0.027,0.0278,5.5244083984375,5.498196328125,5.00175078125,4.99810154296875
15,TinyImageNet,fedprox,0,0.5,100,0.01,5,3,159,0.1008,0.10665,0.0337,0.03632,4.2976759765625,4.25863412109375,4.9311751953125,4.92623791015625
