,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,9,0.0056,0.00552,0.0046,0.00501,5.326539453125,5.3254941015625,5.2996408203125,5.299716484375
1,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,19,0.0107,0.01088,0.0047,0.00496,5.2776068359375,5.27743357421875,5.2993046875,5.29944048828125
2,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,29,0.0118,0.01175,0.0059,0.00636,5.6824271484375,5.6813209375,5.298663671875,5.29889671875
3,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,39,0.0124,0.01281,0.0066,0.00603,5.287296484375,5.28658484375,5.2964953125,5.296863984375
4,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,49,0.0139,0.01519,0.0064,0.0065,5.425245703125,5.42268572265625,5.2938009765625,5.2941083203125
5,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,59,0.0169,0.01937,0.0086,0.00858,5.298882421875,5.2953225,5.28367734375,5.283976875
6,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,69,0.0245,0.02467,0.0127,0.01296,5.129463671875,5.13276126953125,5.255611328125,5.255792734375
7,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,79,0.0489,0.05155,0.0213,0.02127,4.71731328125,4.71096916015625,5.2232712890625,5.22296732421875
8,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,89,0.026,0.0254,0.0324,0.03267,5.556455078125,5.56784275390625,5.18536015625,5.18443373046875
9,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,99,0.0896,0.09023,0.049,0.04887,4.3765630859375,4.35589509765625,5.1303166015625,5.12893529296875
10,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,109,0.0711,0.07302,0.0615,0.06054,4.7267076171875,4.70016130859375,5.0671822265625,5.065281796875
11,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,119,0.0927,0.0978,0.0739,0.07448,4.397873046875,4.35138798828125,4.9519298828125,4.948553515625
12,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,129,0.1125,0.11471,0.0906,0.09048,4.20636015625,4.165076923828125,4.837490234375,4.832256328125
13,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,139,0.0752,0.0798,0.1046,0.10434,4.67105703125,4.61549677734375,4.7394455078125,4.732037109375
14,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,149,0.0649,0.07121,0.113,0.11184,4.8463431640625,4.7965991796875,4.712576171875,4.70413845703125
15,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,159,0.0851,0.08943,0.1307,0.13051,4.525128515625,4.46651978515625,4.5442037109375,4.53046263671875
16,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,169,0.0853,0.0924,0.1422,0.14441,4.49946015625,4.43245599609375,4.4419056640625,4.4230225390625
17,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,179,0.0782,0.08438,0.1539,0.15804,4.74616328125,4.64166966796875,4.3256583984375,4.300529609375
18,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,189,0.1438,0.15764,0.1608,0.16673,4.05585546875,3.94928216796875,4.2671224609375,4.236980078125
19,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,199,0.1049,0.11342,0.1681,0.18152,4.7800396484375,4.6627428125,4.1370591796875,4.0964915234375
20,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,209,0.0829,0.09223,0.1763,0.19115,4.8006552734375,4.68733181640625,4.05496728515625,4.005830517578125
21,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,219,0.1052,0.11256,0.1868,0.20217,4.5040869140625,4.39121498046875,3.9731486328125,3.9142934765625
22,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,229,0.1054,0.11549,0.1931,0.2092,4.486492578125,4.34482322265625,3.9080080078125,3.841158955078125
