,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,9,0.0075,0.00817,0.0032,0.00405,5.464848828125,5.46363177734375,5.2991900390625,5.29917638671875
1,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,19,0.0238,0.02543,0.0062,0.00636,5.4478384765625,5.441835078125,5.295280078125,5.29516619140625
2,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,29,0.0377,0.04001,0.0122,0.01259,5.764999609375,5.74314224609375,5.2838568359375,5.283573828125
3,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,39,0.0495,0.05152,0.0221,0.02283,5.39731484375,5.371724296875,5.2607666015625,5.26027966796875
4,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,49,0.0691,0.07491,0.0346,0.03545,5.20988515625,5.1233521484375,5.2408205078125,5.24023232421875
5,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,59,0.0604,0.06557,0.0565,0.05692,6.458262109375,6.3309573046875,5.188419140625,5.1863616015625
6,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,69,0.0633,0.07254,0.0839,0.08708,5.99088984375,5.809735703125,5.1029671875,5.0972440625
7,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,79,0.1044,0.12266,0.1054,0.11049,5.10353359375,4.856261796875,5.03738671875,5.0266982421875
8,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,89,0.076,0.08687,0.1203,0.1297,6.7335587890625,6.47198216796875,4.976260546875,4.9605046875
9,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,99,0.1257,0.14919,0.134,0.14761,4.94522109375,4.5798651171875,4.89100546875,4.8661465234375
10,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,109,0.085,0.10251,0.1425,0.16156,8.342905859375,7.9126940625,4.7745357421875,4.73822009765625
11,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,119,0.0989,0.12157,0.153,0.17801,5.952033203125,5.55978982421875,4.569976953125,4.51059892578125
12,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,129,0.1072,0.1344,0.1614,0.18823,5.405515234375,5.01089701171875,4.393408984375,4.3083366015625
13,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,139,0.0725,0.0875,0.1653,0.19555,6.5746044921875,6.28962955078125,4.266062109375,4.1595401171875
14,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,149,0.0805,0.09553,0.169,0.1994,7.3516134765625,6.990311640625,4.250176953125,4.1396559375
15,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,159,0.0731,0.09246,0.1799,0.2057,6.2566130859375,5.93693708984375,4.0684580078125,3.91654453125
16,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,169,0.0693,0.08473,0.1814,0.20818,6.65568359375,6.3562174609375,3.99683583984375,3.824998486328125
17,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,179,0.077,0.09333,0.1834,0.21211,6.759576953125,6.4186377734375,3.91350908203125,3.7122096484375
18,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,189,0.116,0.14474,0.1799,0.2133,6.2753546875,5.77520845703125,3.89953720703125,3.694302158203125
19,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,199,0.0893,0.11387,0.184,0.21739,7.0294068359375,6.5407964453125,3.85074970703125,3.617553193359375
20,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,209,0.0909,0.10978,0.1895,0.22003,6.518417578125,6.097146640625,3.82751005859375,3.581590205078125
21,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,219,0.0894,0.10334,0.1885,0.22462,7.0521861328125,6.68442556640625,3.79876005859375,3.54051783203125
22,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,229,0.0913,0.11007,0.1912,0.2273,6.884089453125,6.46095349609375,3.77739169921875,3.50529537109375
23,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,239,0.1272,0.16384,0.1951,0.23296,5.49114375,4.9011915625,3.75734580078125,3.452928046875
24,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,249,0.131,0.16632,0.1974,0.23845,4.982054296875,4.5359465625,3.74633759765625,3.406167568359375
25,TinyImageNet,fedprox,0,0.5,100,0.01,5,2,259,0.0763,0.09441,0.199,0.24194,6.8760705078125,6.4642727734375,3.7380755859375,3.38929736328125
