,task,mode,balance,distribution,n_clients,act_prob,n_epochs,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,9,0.0098,0.00935,0.0061,0.00616,6.6402763671875,6.62530005859375,5.2995455078125,5.2995877734375
1,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,19,0.0185,0.01777,0.0058,0.00632,5.8712607421875,5.86995705078125,5.2970236328125,5.2971232421875
2,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,29,0.0351,0.03622,0.007,0.00701,5.3471236328125,5.33294998046875,5.2897984375,5.28995119140625
3,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,39,0.0726,0.07703,0.0115,0.01284,4.563106640625,4.53749978515625,5.27579140625,5.27572013671875
4,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,49,0.0554,0.06098,0.0318,0.03106,5.2294412109375,5.16639962890625,5.210147265625,5.209143359375
5,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,59,0.0571,0.06315,0.0473,0.05163,5.90287578125,5.84962736328125,5.1571146484375,5.1549122265625
6,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,69,0.0924,0.109,0.0847,0.09197,4.7449861328125,4.602666181640625,5.0359244140625,5.02861322265625
7,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,79,0.1107,0.13007,0.1039,0.11272,5.0394353515625,4.77405798828125,4.958351953125,4.9462426953125
8,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,89,0.0739,0.08446,0.1169,0.12933,6.408689453125,6.19207462890625,4.908255859375,4.89126576171875
9,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,99,0.0682,0.08405,0.1392,0.1547,6.676223046875,6.38608181640625,4.7159076171875,4.68132419921875
10,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,109,0.0964,0.11918,0.1519,0.17355,5.1969958984375,4.87765859375,4.601477734375,4.54736162109375
11,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,119,0.0761,0.09343,0.1581,0.18323,6.9207814453125,6.57095564453125,4.509136328125,4.44095966796875
12,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,129,0.083,0.10603,0.1616,0.18782,6.9935275390625,6.6459845703125,4.406656640625,4.3257698828125
13,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,139,0.0817,0.09485,0.1634,0.19534,6.7554591796875,6.411249140625,4.3417681640625,4.2481498828125
14,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,149,0.0916,0.10486,0.1687,0.19988,6.918351171875,6.52823384765625,4.3258037109375,4.2281840625
15,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,159,0.0925,0.10618,0.171,0.20684,6.775095703125,6.41949625,4.2118408203125,4.09537806640625
16,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,169,0.0956,0.11671,0.1746,0.21025,8.087171875,7.5955054296875,4.1630990234375,4.03366912109375
17,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,179,0.086,0.10826,0.1776,0.21463,7.1994216796875,6.75118173828125,4.092746875,3.947076591796875
18,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,189,0.109,0.13699,0.1789,0.21823,5.7164044921875,5.29261474609375,4.03925107421875,3.878045810546875
19,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,199,0.0905,0.11269,0.1844,0.22076,7.97586875,7.39273345703125,3.9835220703125,3.802821787109375
20,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,209,0.0987,0.11429,0.1888,0.22313,7.0331591796875,6.53525015625,3.910145703125,3.706803681640625
21,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,219,0.0756,0.09803,0.1903,0.22767,7.3301484375,6.9579835546875,3.87109443359375,3.647611298828125
22,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,229,0.1236,0.1582,0.1931,0.23175,4.9596119140625,4.50198828125,3.82912197265625,3.58729048828125
23,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,239,0.0939,0.11014,0.1924,0.23608,7.1625533203125,6.67609328125,3.76831337890625,3.483165634765625
24,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,249,0.0861,0.09939,0.1962,0.2392,6.6912208984375,6.349895078125,3.747741796875,3.448842841796875
25,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,259,0.13,0.17115,0.1952,0.24421,5.5395166015625,4.92445880859375,3.72617412109375,3.412408935546875
26,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,269,0.0867,0.1096,0.1946,0.24569,6.8290765625,6.433229921875,3.7166849609375,3.398841455078125
27,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,279,0.1356,0.17798,0.1985,0.24825,5.1717681640625,4.59549107421875,3.7010384765625,3.35444990234375
28,TinyImageNet,fedprox,0,0.5,100,0.01,5,4,289,0.1293,0.16314,0.2006,0.25209,5.40150546875,4.86410001953125,3.69684091796875,3.320586025390625
